time,open,high,low,close,volume
09:30,6.16,6.1999,5.91,5.95,114873
09:31,5.9991,5.9991,5.6201,5.8,108296
09:32,5.78,5.9,5.65,5.68,44426
09:33,5.68,5.7,5.21,5.26,127303
09:34,5.24,5.27,5.21,5.21,12645
09:39,5,5.19,4.98,5.1228,58741
09:40,5.06,5.19,5.06,5.1398,15879
09:41,5.07,5.08,4.79,4.8151,75106
09:42,4.78,4.83,4.65,4.82,45398
09:43,4.83,5,4.7601,4.9,24716
09:44,4.9,4.96,4.8005,4.8005,8777
09:45,4.8099,4.81,4.7,4.7095,13798
09:46,4.8,4.8,4.7,4.77,18685
09:47,4.735,4.8136,4.71,4.7864,10220
09:48,4.785,4.82,4.7601,4.78,5454
09:49,4.78,4.8,4.7792,4.8,14901
09:50,4.84,4.89,4.825,4.8536,4047
09:51,4.8857,4.89,4.8501,4.8899,2429
09:52,4.88,5.1,4.88,5.05,23630
09:53,5.04,5.2,4.9701,5.1,24169
09:54,5.0799,5.0799,5,5.005,13668
09:55,5.005,5.01,5.0025,5.0025,8420
09:56,5.01,5.1799,5.01,5.155,12575
09:57,5.1182,5.12,5.1182,5.12,1862
09:58,5.13,5.16,5.13,5.15,676
09:59,5.15,5.15,5.0014,5.0014,5480
10:00,5.1392,5.145,5.01,5.0912,1853
10:01,5.01,5.01,5.01,5.01,443
10:02,5.095,5.099,5.05,5.05,2552
10:03,5.1,5.15,5.08,5.15,1483
10:04,5.12,5.1495,5.1005,5.12,1408
10:05,5.124,5.31,5.124,5.25,12284
10:06,5.2547,5.35,5.2547,5.3,8414
10:07,5.35,5.4,5.27,5.3055,9474
10:08,5.3,5.345,5.3,5.3,1266
10:09,5.3001,5.39,5.3001,5.39,6408
10:10,5.355,5.38,5.305,5.325,4431
10:11,5.3495,5.44,5.3001,5.385,4599
10:12,5.4369,5.45,5.3807,5.39,13648
10:13,5.385,5.385,5.385,5.385,273
10:15,5.3345,5.43,5.3345,5.43,852
10:16,5.4027,5.4027,5.3242,5.35,1575
10:17,5.33,5.33,5.2533,5.2922,1893
10:18,5.3,5.3,5.3,5.3,451
10:19,5.28,5.28,5.25,5.28,4629
10:20,5.28,5.335,5.28,5.28,1240
10:21,5.2834,5.33,5.2804,5.33,1020
10:22,5.37,5.37,5.3,5.3,1370
10:23,5.32,5.32,5.28,5.28,1698
10:24,5.29,5.3403,5.29,5.32,998
10:25,5.32,5.33,5.28,5.33,3018
10:27,5.2813,5.29,5.28,5.2801,826
10:28,5.3,5.3,5.3,5.3,452
10:29,5.28,5.3,5.28,5.3,1293
10:30,5.3446,5.3446,5.3446,5.3446,392
10:34,5.305,5.305,5.305,5.305,1110
10:35,5.3,5.3,5.2501,5.2501,2215
10:36,5.27,5.27,5.27,5.27,549
10:37,5.2681,5.3,5.25,5.25,6110
10:38,5.2501,5.285,5.2501,5.285,636
10:39,5.31,5.34,5.275,5.29,18273
10:40,5.334,5.334,5.2501,5.2501,955
10:42,5.32,5.32,5.3,5.3001,1500
10:44,5.3396,5.3396,5.3396,5.3396,179
10:45,5.32,5.33,5.3,5.33,2611
10:46,5.37,5.37,5.37,5.37,529
10:47,5.3608,5.4145,5.36,5.4145,4462
10:48,5.3701,5.38,5.37,5.37,350
10:49,5.38,5.43,5.3608,5.43,2538
10:51,5.44,5.5597,5.44,5.535,22655
10:52,5.54,5.55,5.47,5.475,6437
10:53,5.5,5.5,5.475,5.475,1436
10:54,5.475,5.475,5.4594,5.4594,890
10:55,5.4725,5.4725,5.47,5.47,395
10:57,5.484,5.4971,5.47,5.485,1009
10:58,5.4859,5.4859,5.4719,5.4719,1024
10:59,5.48,5.48,5.4701,5.48,2397
11:00,5.47,5.475,5.47,5.47,5219
11:01,5.47,5.475,5.47,5.475,305
11:02,5.4794,5.4794,5.475,5.475,335
11:03,5.47,5.47,5.46,5.46,701
11:04,5.46,5.46,5.46,5.46,193
11:05,5.46,5.475,5.4512,5.475,6214
11:06,5.47,5.475,5.4575,5.4575,1306
11:07,5.455,5.4599,5.41,5.43,4131
11:08,5.4006,5.4027,5.4006,5.4027,3044
11:09,5.4,5.4,5.4,5.4,1161
11:10,5.43,5.43,5.42,5.42,721
11:12,5.4144,5.44,5.4101,5.44,2895
11:13,5.44,5.46,5.44,5.46,603
11:14,5.4244,5.435,5.4244,5.435,370
11:15,5.4344,5.435,5.4344,5.435,1147
11:17,5.44,5.44,5.43,5.43,2717
11:18,5.44,5.44,5.44,5.44,797
11:19,5.458,5.46,5.458,5.46,3395
11:20,5.445,5.445,5.42,5.435,2963
11:22,5.435,5.435,5.435,5.435,100
11:23,5.425,5.425,5.425,5.425,500
11:25,5.4299,5.43,5.4,5.4,4343
11:26,5.3601,5.3601,5.36,5.36,306
11:27,5.38,5.38,5.3601,5.3601,5140
11:28,5.38,5.3959,5.361,5.38,1632
11:29,5.3604,5.45,5.3604,5.45,1885
11:30,5.4032,5.4032,5.4032,5.4032,160
11:31,5.37,5.405,5.37,5.405,682
11:32,5.44,5.44,5.44,5.44,1000
11:34,5.43,5.43,5.43,5.43,160
11:36,5.395,5.395,5.3654,5.3654,2311
11:37,5.43,5.5958,5.42,5.5958,7007
11:38,5.54,5.6499,5.48,5.48,2832
11:39,5.48,5.48,5.46,5.46,2940
11:40,5.4892,5.4892,5.4892,5.4892,650
11:44,5.3901,5.3901,5.3901,5.3901,205
11:45,5.46,5.46,5.46,5.46,363
11:49,5.43,5.46,5.41,5.46,1337
11:51,5.41,5.41,5.3613,5.3613,1540
11:52,5.46,5.46,5.46,5.46,270
11:53,5.42,5.45,5.42,5.42,2400
11:54,5.4,5.4,5.38,5.38,2765
11:55,5.38,5.4,5.38,5.4,2041
11:56,5.4,5.46,5.4,5.46,2725
11:57,5.425,5.46,5.425,5.46,414
11:58,5.46,5.46,5.46,5.46,164
11:59,5.46,5.46,5.46,5.46,102
12:00,5.425,5.46,5.4,5.4,478
12:01,5.425,5.425,5.425,5.425,131
12:02,5.425,5.46,5.425,5.46,300
12:03,5.39,5.425,5.39,5.39,1151
12:04,5.375,5.375,5.375,5.375,639
12:05,5.375,5.375,5.375,5.375,740
12:06,5.3756,5.3756,5.3601,5.3601,4268
12:07,5.375,5.45,5.375,5.45,2210
12:09,5.46,5.46,5.3991,5.46,3152
12:10,5.46,5.46,5.3619,5.41,706
12:11,5.4511,5.46,5.447338,5.447338,767
12:12,5.46,5.46,5.45,5.46,341
12:13,5.46,5.46,5.3601,5.3601,253
12:14,5.4,5.46,5.4,5.46,451
12:15,5.41,5.46,5.4099,5.46,600
12:16,5.46,5.46,5.4,5.4,913
12:17,5.46,5.46,5.42,5.42,203
12:18,5.4501,5.455,5.4501,5.455,1756
12:19,5.455,5.455,5.45,5.45,1504
12:20,5.445,5.445,5.4412,5.4412,779
12:21,5.445,5.45,5.395,5.395,4181
12:22,5.39,5.39,5.39,5.39,132
12:23,5.39,5.39,5.39,5.39,260
12:24,5.395,5.395,5.39,5.39,200
12:25,5.39,5.39,5.39,5.39,120
12:26,5.395,5.395,5.395,5.395,394
12:27,5.37,5.37,5.37,5.37,152
12:28,5.37,5.37,5.36,5.36,311
12:30,5.36,5.36,5.36,5.36,379
12:31,5.42,5.42,5.36,5.36,2257
12:32,5.36,5.36,5.36,5.36,362
12:33,5.3779,5.3779,5.3501,5.3501,410
12:34,5.355,5.355,5.355,5.355,356
12:35,5.36,5.36,5.3501,5.355,790
12:36,5.3502,5.3502,5.3502,5.3502,606
12:38,5.3501,5.3553,5.3501,5.3553,2620
12:39,5.3548,5.355,5.3548,5.355,9998
12:43,5.325,5.325,5.2763,5.3116,2900
12:44,5.28,5.28,5.28,5.28,200
12:45,5.2701,5.2701,5.2701,5.2701,674
12:46,5.275,5.275,5.2748,5.2748,210
12:47,5.275,5.275,5.08,5.08,6487
12:48,5.13,5.18,5.13,5.13,540
12:49,5.0817,5.16,5.0817,5.16,1712
12:52,5.14,5.14,5.14,5.14,829
12:54,5.1004,5.1369,5.1,5.1369,1380
12:55,5.12,5.12,5.0818,5.0818,8754
12:56,5.09,5.09,5.09,5.09,297
12:57,5.09,5.09,5.09,5.09,2021
12:58,5.09,5.09,5.09,5.09,816
12:59,5.09,5.09,5.09,5.09,1932
13:00,5.0904,5.0904,5.0904,5.0904,341
13:03,5.09,5.1,5.09,5.09,6357
13:06,5.06,5.06,5.05,5.05,967
13:07,5.06,5.06,5.025,5.025,521
13:08,5.06,5.06,5.03,5.03,407
13:09,5.0208,5.03,5.0208,5.03,1296
13:12,5.02,5.02,5,5.0096,2393
13:13,5,5.01,5,5.005,10912
13:14,5.005,5.005,5.005,5.005,305
13:17,5.005,5.005,5.00005,5.005,6695
13:18,5.005,5.01,4.945,4.945,4623
13:19,4.92,4.94,4.92,4.94,300
13:20,4.94,4.94,4.89,4.8999,3492
13:21,4.9,4.9,4.9,4.9,1031
13:22,4.945,4.945,4.945,4.945,122
