time,open,high,low,close,volume
09:30,1.72,1.75,1.66,1.695,1453132.0
09:31,1.695,1.7,1.6,1.62,1526206.0
09:32,1.62,1.66,1.56,1.57,1213840.0
09:33,1.5789,1.66,1.56,1.62,789864
09:34,1.61,1.62,1.54,1.5403,861874
09:35,1.54,1.56,1.48,1.5294,1178765.0
09:36,1.5288,1.55,1.52,1.53,423316
09:37,1.53,1.6,1.5,1.5708,683361
09:38,1.57,1.58,1.52,1.53,340970
09:39,1.5201,1.57,1.52,1.545,381907
09:40,1.5401,1.5401,1.5,1.505,359834
09:41,1.505,1.505,1.41,1.4795,1009993.0
09:42,1.4708,1.49,1.44,1.45,423562
09:43,1.4503,1.49,1.41,1.43,493698
09:44,1.4307,1.4307,1.37,1.3809,853697
09:45,1.3801,1.42,1.38,1.41,386387
09:46,1.4098,1.41,1.35,1.37,576178
09:47,1.36,1.39,1.35,1.38,303388
09:48,1.3799,1.43,1.37,1.4267,386747
09:49,1.42,1.44,1.4,1.435,329898
09:50,1.4395,1.44,1.41,1.4199,363401
09:51,1.41,1.42,1.32,1.355,520105
09:52,1.3599,1.36,1.32,1.3397,340426
09:53,1.3301,1.3497,1.28,1.3,538608
09:54,1.31,1.34,1.3,1.34,318061
09:55,1.3312,1.36,1.3312,1.35,146298
09:56,1.36,1.39,1.35,1.3899,265788
09:57,1.3898,1.4,1.35,1.3598,196814
09:58,1.36,1.37,1.36,1.37,115568
09:59,1.365,1.37,1.33,1.3453,135833
10:00,1.35,1.35,1.29,1.3093,223794
10:01,1.305,1.31,1.295,1.31,148676
10:02,1.31,1.34,1.31,1.32,124850
10:03,1.315,1.32,1.31,1.315,54161
10:04,1.3113,1.38,1.31,1.3699,193584
10:05,1.37,1.4,1.3607,1.3806,299215
10:06,1.3891,1.4,1.38,1.4,233226
10:07,1.392,1.4,1.39,1.3908,200511
10:08,1.3903,1.4,1.39,1.3901,110224
10:09,1.3994,1.4,1.36,1.38,214190
10:10,1.385,1.46,1.385,1.43,705598
10:11,1.435,1.48,1.43,1.4589,703765
10:12,1.4501,1.46,1.43,1.431,161884
10:13,1.4301,1.44,1.43,1.435,83132
10:14,1.431,1.44,1.4,1.4252,147004
10:15,1.425,1.4299,1.34,1.34,345198
10:16,1.349,1.37,1.34,1.345,205296
10:17,1.34,1.35,1.31,1.3252,251563
10:18,1.33,1.35,1.32,1.3495,103738
10:19,1.35,1.35,1.34,1.3497,69795
10:20,1.35,1.35,1.34,1.345,40225
10:21,1.345,1.35,1.33,1.34,84635
10:22,1.33,1.34,1.31,1.31,98309
10:23,1.3101,1.32,1.29,1.2952,154589
10:24,1.295,1.3,1.28,1.28,164817
10:25,1.28,1.29,1.26,1.285,214009
10:26,1.285,1.3,1.27,1.2795,144572
10:27,1.2712,1.28,1.26,1.26,81017
10:28,1.265,1.27,1.26,1.26,49572
10:29,1.265,1.29,1.26,1.28,109110
10:30,1.28,1.28,1.27,1.275,70908
10:31,1.2795,1.28,1.26,1.2648,69065
10:32,1.26,1.2698,1.24,1.245,153870
10:33,1.2401,1.275,1.23,1.27,289927
10:34,1.265,1.27,1.22,1.2289,158784
10:35,1.225,1.25,1.22,1.25,131831
10:36,1.25,1.25,1.24,1.24,51306
10:37,1.24,1.25,1.24,1.245,65580
10:38,1.2452,1.28,1.24,1.265,180824
10:39,1.2699,1.27,1.23,1.2306,170325
10:40,1.2312,1.24,1.23,1.235,52776
10:41,1.239,1.27,1.16,1.195,426252
10:42,1.195,1.22,1.1904,1.22,96383
10:43,1.2192,1.2299,1.21,1.2299,68247
10:44,1.2201,1.23,1.22,1.221,56574
