time,open,high,low,close,volume
09:30,7.783,7.783,7,7.158,90473.2
09:31,7.175,7.2299,6.71,6.747,38577.3
09:32,6.783,6.855,6.71,6.71,28737.8
09:33,6.755,6.82,6.6,6.783,36355
09:34,6.818,6.818,6.65,6.761,5059.8
09:35,6.761,6.761,6.501,6.6,21417.5
09:36,6.627,6.695,6.6,6.631,4095.1
09:37,6.64,6.66,6.55,6.58,16609.2
09:38,6.556,6.646,6.545,6.646,12494.3
09:39,6.624,6.649,6.6,6.638,3961.6
09:40,6.6,6.647,6.411,6.535,15703.8
09:41,6.535,6.647,6.52,6.599,5246.6
09:42,6.599,6.599,6.332,6.335,5350.9
09:43,6.334,6.451,6.334,6.4005,8633.4
09:44,6.4,6.401,6.333,6.333,6154.5
09:45,6.371,6.371,6.279,6.279,9959.1
09:46,6.279,6.28,6.115,6.193,21908.1
09:47,6.192,6.28,6.114,6.164,6309.7
09:48,6.116,6.154,6.112,6.154,3702.5
09:49,6.196,6.201,6.117,6.196,10148.8
09:50,6.2,6.486,6.197,6.401,7578.1
09:51,6.362,6.445,6.222,6.327,9693.3
09:52,6.3265,6.35,6.319,6.345,6161.1
09:53,6.348,6.35,6.256,6.256,4531.8
09:54,6.255,6.435,6.255,6.411,8534.8
09:55,6.433,6.433,6.3,6.311,2315.6
09:56,6.3315,6.389,6.259,6.26,3820.5
09:57,6.3,6.321,6.25,6.252,1561
09:58,6.229,6.274,6.2,6.273,7974
09:59,6.273,6.273,6.241,6.241,7782.7
10:00,6.241,6.244,6.2,6.2358,4325
10:01,6.233,6.236,6.201,6.215,2889.5
10:02,6.21,6.234,6.21,6.21,1923.4
10:03,6.201,6.299,6.2,6.257,2909.5
10:04,6.278,6.3735,6.258,6.3735,4940.7
10:05,6.35,6.498,6.35,6.392,15037.2
10:06,6.375,6.494,6.375,6.494,4066.2
10:07,6.44,6.492,6.35,6.468,9879.8
10:08,6.384,6.416,6.383,6.383,4294.2
10:09,6.385,6.3995,6.383,6.3995,116
10:10,6.404,6.468,6.35,6.417,3997.4
10:11,6.418,6.467,6.3955,6.3955,1035.5
10:12,6.395,6.432,6.395,6.413,1881.8
10:13,6.424,6.466,6.369,6.369,10840.5
10:14,6.351,6.393,6.245,6.319,7995.2
10:15,6.359,6.463,6.324,6.463,2166.6
10:16,6.429,6.467,6.379,6.467,6969.2
10:17,6.466,6.599,6.465,6.522,6995.6
10:18,6.522,6.5961,6.471,6.53,3462.8
10:19,6.551,6.579,6.53,6.533,4430.6
10:20,6.564,6.579,6.55,6.578,1434.8
10:21,6.578,6.578,6.551,6.573,2416.5
10:22,6.56,6.569,6.55,6.56,561.4
10:23,6.551,6.692,6.504,6.643,15915.5
10:24,6.649,6.69,6.602,6.689,10222
10:25,6.6889,6.6889,6.632,6.632,3637.7
10:26,6.632,6.69,6.632,6.662,2272.4
10:27,6.661,6.687,6.661,6.667,2188.1
10:28,6.666,6.667,6.602,6.65,603.8
10:29,6.621,6.676,6.62,6.676,3849.3
10:30,6.675,6.757,6.627,6.701,10782.5
10:31,6.701,6.743,6.694,6.726,5518.5
10:32,6.726,6.73,6.702,6.726,3083.8
10:33,6.707,6.713,6.641,6.709,6363.8
