time,open,high,low,close,volume
09:30,1.26,1.33,1.2212,1.3099,1035676.0
09:31,1.3098,1.42,1.3005,1.3891,1881955.0
09:32,1.382,1.48,1.37,1.4689,2311079.0
09:33,1.4652,1.47,1.43,1.44,1402617.0
09:34,1.45,1.55,1.41,1.5352,2425967.0
09:35,1.53,1.69,1.48,1.6601,3291073.0
09:36,1.66,1.83,1.66,1.82,4235461.0
09:37,1.82,1.83,1.7,1.705,2818759.0
09:38,1.701,1.74,1.59,1.6593,2819359.0
09:39,1.66,1.71,1.58,1.6399,2021139.0
09:40,1.63,1.65,1.49,1.5199,2664612.0
09:41,1.51,1.56,1.47,1.545,2060136.0
09:42,1.5497,1.6891,1.54,1.615,2676997.0
09:43,1.61,1.68,1.58,1.6711,2045206.0
09:44,1.67,1.69,1.61,1.625,1784848.0
09:45,1.625,1.8,1.62,1.76,3727253.0
09:46,1.7612,1.88,1.62,1.72,4024045.0
09:47,1.719,1.8,1.7,1.7898,1358610.0
09:48,1.7891,1.88,1.75,1.751,2778262.0
09:49,1.7599,1.95,1.751,1.89,3186770.0
09:50,1.885,1.9,1.76,1.8168,2425147.0
09:51,1.8102,1.85,1.78,1.8408,1223822.0
09:52,1.84,1.85,1.75,1.78,1217592.0
09:53,1.7812,1.79,1.67,1.675,1606190.0
09:54,1.6706,1.76,1.67,1.725,1349047.0
09:55,1.729,1.94,1.72,1.89,2611276.0
09:56,1.8801,1.98,1.81,1.88,3106048.0
09:57,1.88,1.8982,1.81,1.86,1263912.0
09:58,1.86,1.99,1.85,1.985,2865353.0
09:59,1.989,2.09,1.92,1.9508,3490316.0
10:00,1.95,2.08,1.95,1.98,2633514.0
10:01,1.985,2.17,1.96,2.085,2915201.0
10:02,2.082,2.22,2.08,2.2,2634722.0
10:03,2.2003,2.25,2.0501,2.2292,3060596.0
10:04,2.23,2.3499,2.22,2.31,3172131.0
10:05,2.31,2.32,2.16,2.185,2792972.0
10:06,2.1852,2.47,2.17,2.365,3782954.0
10:07,2.3612,2.45,2.28,2.3599,3388717.0
10:08,2.3581,2.41,2.3,2.3,1793716.0
10:09,2.3048,2.48,2.27,2.38,2966316.0
10:10,2.38,2.43,2.29,2.33,2197849.0
10:11,2.34,2.34,2.029,2.14,3934413.0
10:12,2.14,2.28,2.12,2.1391,2131047.0
10:13,2.1301,2.22,1.95,2.02,2970957.0
10:14,2.015,2.03,1.92,1.9801,2246520.0
10:15,1.98,1.99,1.92,1.94,1419626.0
10:16,1.9407,1.98,1.9,1.91,1925277.0
10:17,1.91,2.03,1.9,2.0299,1947135.0
10:18,2.025,2.09,2,2.0555,1691443.0
10:19,2.06,2.0799,1.96,2,1208985.0
10:20,2.008,2.02,1.84,1.87,1795795.0
10:21,1.8781,1.9277,1.72,1.7552,2927022.0
10:22,1.7512,1.78,1.74,1.7494,868808
10:23,1.7412,1.78,1.73,1.76,766136
10:24,1.7697,1.77,1.67,1.695,1508243.0
10:25,1.6911,1.74,1.67,1.738,757511
10:26,1.73,1.78,1.73,1.76,805720
10:27,1.7601,1.78,1.73,1.76,508706
10:28,1.765,1.77,1.68,1.725,611761
10:29,1.7295,1.73,1.68,1.695,370620
10:30,1.695,1.75,1.68,1.7207,766152
10:31,1.7201,1.82,1.72,1.8068,1040063.0
10:32,1.802,1.86,1.79,1.8401,1626795.0
10:33,1.84,1.8489,1.76,1.79,963051
10:34,1.785,1.86,1.78,1.821,809895
10:35,1.8289,1.8289,1.73,1.759,815829
10:36,1.75,1.79,1.73,1.755,552488
10:37,1.755,1.76,1.73,1.73,287096
10:38,1.73,1.77,1.73,1.7588,476102
10:39,1.7512,1.7665,1.56,1.6095,1610956.0
10:40,1.6052,1.67,1.6,1.6599,942748
10:41,1.65,1.66,1.61,1.62,510953
10:42,1.6299,1.64,1.59,1.593044,688588
10:43,1.5901,1.65,1.57,1.65,813392
10:44,1.65,1.65,1.581,1.6199,366287
10:45,1.6188,1.67,1.61,1.6647,288462
10:46,1.668,1.71,1.63,1.67,642324
10:47,1.66,1.68,1.65,1.665,212619
10:48,1.66,1.67,1.62,1.625,301111
10:49,1.6201,1.73,1.58,1.695,917022
10:50,1.6952,1.72,1.67,1.7182,598014
