time,open,high,low,close,volume
09:45,10.9258,10.9258,10.9258,10.9258,500
09:55,10.55,10.55,10.55,10.55,100
10:34,10.5,10.54,10.5,10.5,800
11:27,10.26,10.26,10.26,10.26,400
11:28,10.25,10.25,10.25,10.25,100
11:32,10.08,10.08,10.08,10.08,100
11:47,10.25,10.25,10.25,10.25,100
12:57,10.2132,10.2132,10.2132,10.2132,500
13:03,10.2768,10.2768,10.2768,10.2768,200
13:13,10.25,10.25,10.25,10.25,275
14:05,10.3884,10.3884,10.3884,10.3884,100
14:07,10.49,10.49,10.49,10.49,100
14:08,10.4957,10.4957,10.4957,10.4957,300
14:18,10.49,10.49,10.49,10.49,100
14:22,10.37,10.4,10.37,10.4,2976
14:25,10.37,10.37,10.37,10.37,895
14:32,10.37,10.37,10.37,10.37,585
14:38,10.31,10.31,10.31,10.31,400
14:47,10.26,10.26,10.25,10.25,425
15:01,10.37,10.39,10.37,10.39,927
15:02,10.39,10.39,10.39,10.39,286
15:04,10,10.195,10,10.195,2000
15:09,10.2,10.2,10.2,10.2,100
15:29,10.23,10.23,10.2,10.2,361
15:57,10.23,10.2921,10.06,10.098835,4818
09:30,10.01,10.01,10.01,10.01,4101
09:33,10,10,10,10,2992
09:35,9.99,10,9.9087,10,3208
09:58,9.8,9.8,9.8,9.8,500
10:03,9.8875,9.8875,9.8875,9.8875,1000
10:09,10,10,9.97,10,3010
10:10,9.9999,10,9.9087,9.9087,4370
10:12,10.31,10.36,10.2901,10.2901,1200
10:22,10.3,10.3,10.25,10.25,738
10:34,10.35,10.35,10.35,10.35,1619
10:39,10.35,10.35,10.35,10.35,769
10:46,10.37,10.37,10.37,10.37,2410
10:48,10.18,10.18,10.18,10.18,202
10:49,10.02,10.02,10,10,5000
11:11,10.23,10.23,10.13,10.17,1626
12:29,10.4999,10.4999,10.4999,10.4999,100
12:57,10.3703,10.3703,10.15,10.15,1998
13:40,10.18,10.2,10.18,10.1999,1400
14:15,10.1999,10.2,10.0795,10.0795,1900
14:16,10.1087,10.2,10.1087,10.1087,1424
14:18,10.12,10.12,10.12,10.12,204
14:33,10.2512,10.2512,10.2512,10.2512,1049
15:22,10.15,10.1625,10.15,10.1625,1252
15:23,10.08,10.08,10.08,10.08,137
15:31,10.0338,10.0338,10.0338,10.0338,314
15:32,10.1,10.1,10.1,10.1,100
15:34,10.09,10.09,10.09,10.09,186
15:54,9.88,9.88,9.88,9.88,100
15:58,10,10,10,10,194
