time,open,high,low,close,volume
09:30,10.535,10.58,10.435,10.435,8237
09:31,10.41,10.41,10.1,10.395,17830
09:32,10.29,10.41,10.17,10.3,7376
09:33,10.205,10.3,10.1,10.12,5377
09:34,10.12,10.13,9.87,9.94,13847
09:35,10,10.09,9.8,9.8,7234
09:36,9.75,9.75,9.428,9.65,16475
09:37,9.6492,9.6492,9.394,9.4952,14856
09:38,9.49,9.49,9.1117,9.3586,13307
09:39,9.3128,9.3128,9.11,9.25,28154
09:40,9.2825,9.2825,8.86,8.861,19669
09:41,8.8632,8.9856,8.8,8.8432,20358
09:42,8.93,8.99,8.88,8.97,4705
09:43,8.98,9.06,8.95,9.0294,9204
09:44,8.99,9.0168,8.96,8.965,6991
09:45,8.94,8.9594,8.84,8.9,8475
09:46,8.915,8.96,8.9022,8.9022,2491
09:47,8.945,9.29,8.945,9.08,6960
09:48,9.12,9.26,9.12,9.2467,3744
09:49,9.2,9.2,9.16,9.19,5310
09:50,9.125,9.13,9.0852,9.13,1031
09:51,9.1,9.11,9.05,9.11,3193
09:52,9.06,9.06,9.0452,9.0452,734
09:53,9.09,9.1,9.09,9.1,2753
09:54,9.24,9.24,9.18,9.2053,871
09:55,9.199,9.199,9.16,9.1891,857
09:56,9.163,9.163,9.145,9.145,1161
09:57,9.1,9.1291,8.9,8.94,5536
09:58,8.9987,8.9987,8.9001,8.95,991
09:59,8.92,8.97,8.92,8.97,740
10:00,8.9532,9.08,8.9532,9.08,1944
10:01,9.04,9.17,9.04,9.15,8795
10:02,9.15,9.15,9.09,9.13,855
10:03,9.15,9.15,9.06,9.1,683
10:04,9.05,9.05,8.9989,8.9989,1229
10:05,9.02,9.02,9.02,9.02,419
10:06,9,9,8.9353,8.96,3053
10:07,8.995,9.0033,8.995,9.0033,723
10:08,9.0035,9.01,9,9,1491
10:09,9,9,8.9407,8.9407,814
10:11,9.05,9.05,9,9.01,678
10:12,8.975,9.01,8.93,8.93,3024
10:13,8.9011,8.93,8.85,8.85,2605
10:14,8.86,8.86,8.6,8.67,11211
10:15,8.7425,8.7425,8.67,8.67,1013
10:16,8.7568,8.9,8.7032,8.9,2055
10:17,8.9,8.9,8.8,8.85,2874
10:18,8.85,8.8558,8.8,8.8,1761
10:19,8.9,8.9,8.8084,8.8084,1197
10:20,8.8,8.82,8.8,8.82,1732
10:21,8.82,8.82,8.66,8.68,3588
10:22,8.68,8.68,8.64,8.64,1388
10:23,8.6,8.6,8.5,8.5,7386
10:24,8.49,8.5,8.45,8.5,4669
10:25,8.5701,8.579,8.5701,8.5774,1845
10:26,8.6769,8.6769,8.63,8.667,1601
10:27,8.6464,8.66,8.6464,8.66,1656
10:28,8.6487,8.6487,8.58,8.58,1614
10:29,8.59,8.61,8.59,8.61,6162
10:30,8.59,8.635,8.59,8.635,1478
10:31,8.6,8.62,8.54,8.55,2222
10:32,8.5514,8.5514,8.5514,8.5514,307
10:33,8.5631,8.5631,8.5631,8.5631,734
10:34,8.56,8.58,8.55,8.58,992
10:35,8.57,8.6696,8.57,8.625,4720
10:36,8.6691,8.6691,8.6691,8.6691,412
10:37,8.58,8.58,8.55,8.55,882
10:38,8.5,8.56,8.5,8.56,1719
10:39,8.5666,8.5666,8.5666,8.5666,275
10:40,8.5031,8.5031,8.5,8.5,470
10:41,8.5061,8.52,8.3075,8.352,11799
10:42,8.2916,8.35,8.2,8.275,8903
10:43,8.25,8.35,8.25,8.28,1001
10:44,8.29,8.29,8.28,8.28,549
10:45,8.28,8.28,8.1963,8.2,8104
10:46,8.125,8.29,8.12,8.26,6307
10:47,8.25,8.26,8.25,8.26,1851
10:48,8.27,8.27,8.25,8.25,545
10:49,8.22,8.22,8.22,8.22,307
10:50,8.22,8.25,8.22,8.24,1322
10:53,8.27,8.38,8.27,8.29,2610
10:56,8.3,8.3,8.25,8.26,1613
10:57,8.25,8.2982,8.25,8.28,435
10:58,8.25,8.28,8.245,8.245,616
10:59,8.245,8.28,8.245,8.28,436
11:00,8.243,8.29,8.243,8.265,948
11:01,8.26,8.26,8.26,8.26,361
11:02,8.2483,8.2483,8.2483,8.2483,215
11:03,8.25,8.29,8.21,8.29,886
11:04,8.29,8.33,8.255,8.33,4650
