time,open,high,low,close,volume
09:31,7.1,7.1,7.1,7.1,112
09:42,6.74,6.74,6.74,6.74,202
09:58,7.4,7.4,7.4,7.4,190
09:59,7.3599,7.3599,7.3599,7.3599,977
10:10,6.75,6.75,6.75,6.75,957
10:13,7.31,7.31,6.74,6.93,522
11:04,6.73,6.73,6.73,6.73,3092
11:05,6.7,6.7,6.7,6.7,138
12:32,6.635,6.635,6.635,6.635,124
14:59,6.66,6.66,6.66,6.66,300
15:46,6.8,6.8,6.8,6.8,500
09:30,6.7,6.7,6.7,6.7,102
09:44,7.04,7.04,6.91,6.91,599
09:45,6.91,7.01,6.9,6.99,2583
09:46,6.9,6.9,6.7,6.7,305
09:47,7,7.55,6.73,6.73,5360
09:48,6.72,6.72,6.7,6.7,200
10:39,7.57,7.57,7.4,7.5,3505
11:02,7.4351,7.4351,7.4351,7.4351,1000
12:16,7.44,7.44,7.44,7.44,760
12:25,7.2,7.2,7.2,7.2,147
12:26,7.2,7.2,7.2,7.2,140
12:35,7.2,7.43,7.2,7.43,330
12:43,7.357,7.357,7.357,7.357,191
12:45,7.37,7.37,7.37,7.37,513
13:23,6.86,6.86,6.86,6.86,100
13:32,6.83,6.83,6.83,6.83,125
13:42,6.78,6.78,6.78,6.78,100
13:50,6.89,7.18,6.88,7.18,641
15:02,6.81,6.81,6.7,6.71,400
15:24,6.67,6.67,6.67,6.67,100
15:41,6.67,6.73,6.67,6.73,310
15:53,6.43,6.43,6.43,6.43,100
15:56,6.6,6.73,6.38,6.7,2000
15:57,6.9,7.27,6.6,6.6,1326
15:58,7.27,7.27,6.52,6.84,1180
15:59,6.73,6.73,6.55,6.55,500
