time,open,high,low,close,volume
09:30,3.7,3.7,3.7,3.7,7619
09:32,3.5015,3.5015,3.5015,3.5015,639
09:33,3.6198,3.6198,3.6198,3.6198,200
09:37,3.49,3.49,3.49,3.49,150
09:38,3.5263,3.5263,3.5263,3.5263,1000
09:40,3.5525,3.5525,3.5525,3.5525,139
09:44,3.525,3.525,3.49,3.49,6150
09:45,3.5,3.5,3.5,3.5,1950
09:48,3.6017,3.6075,3.56,3.6075,400
09:53,3.545,3.545,3.545,3.545,283
09:56,3.51,3.54,3.51,3.54,2404
09:57,3.572,3.572,3.572,3.572,206
09:58,3.51,3.51,3.51,3.51,600
10:01,3.5499,3.5499,3.5499,3.5499,338
10:02,3.5132,3.5132,3.51,3.51,450
10:03,3.5209,3.5209,3.5209,3.5209,566
10:05,3.5499,3.57,3.535,3.57,1538
10:07,3.55,3.55,3.55,3.55,300
10:10,3.5658,3.5658,3.5658,3.5658,321
10:13,3.558,3.558,3.558,3.558,874
10:16,3.531,3.531,3.52,3.52,1101
10:17,3.5011,3.51,3.5011,3.51,746
10:19,3.51,3.52,3.51,3.52,1028
10:21,3.5184,3.5184,3.5184,3.5184,1000
10:35,3.5,3.5,3.5,3.5,534
10:42,3.49,3.49,3.48,3.48,466
10:46,3.46,3.47,3.46,3.46,1096
10:51,3.49,3.49,3.4601,3.49,1420
11:01,3.49,3.49,3.49,3.49,100
11:11,3.5,3.5,3.5,3.5,1055
11:20,3.52,3.52,3.52,3.52,200
11:27,3.5192,3.5192,3.5192,3.5192,165
11:34,3.52,3.52,3.52,3.52,181
11:35,3.5004,3.5004,3.5004,3.5004,1136
11:41,3.51,3.51,3.51,3.51,192
11:54,3.51,3.51,3.51,3.51,129
12:18,3.52,3.52,3.52,3.52,385
12:29,3.53,3.54,3.52,3.52,7202
12:37,3.53,3.53,3.53,3.53,299
12:45,3.51,3.51,3.51,3.51,225
12:46,3.5,3.5,3.5,3.5,101
12:52,3.51,3.51,3.51,3.51,490
12:57,3.51,3.51,3.51,3.51,324
12:58,3.51,3.52,3.51,3.52,725
13:16,3.5,3.5,3.5,3.5,1436
13:34,3.5049,3.5049,3.5049,3.5049,100
13:35,3.5,3.53,3.5,3.53,1201
14:13,3.53,3.53,3.52,3.52,1154
14:16,3.52,3.5389,3.52,3.5389,903
14:17,3.5206,3.539,3.5206,3.539,706
14:18,3.5384,3.5384,3.5384,3.5384,205
14:19,3.52,3.55,3.52,3.55,6307
14:26,3.55,3.55,3.55,3.55,284
14:30,3.525,3.57,3.525,3.57,2014
14:46,3.545,3.545,3.545,3.545,100
14:53,3.57,3.57,3.57,3.57,200
14:58,3.575,3.59,3.575,3.59,344
14:59,3.59,3.59,3.59,3.59,281
15:00,3.6,3.6,3.59,3.59,1491
15:02,3.58,3.58,3.58,3.58,100
15:05,3.58,3.58,3.58,3.58,115
15:33,3.56,3.56,3.56,3.56,602
15:39,3.58,3.58,3.58,3.58,120
15:40,3.5787,3.5787,3.5787,3.5787,150
15:43,3.576,3.576,3.576,3.576,194
15:47,3.58,3.58,3.57,3.57,381
15:50,3.565,3.565,3.565,3.565,420
15:51,3.5548,3.5548,3.5548,3.5548,200
15:54,3.59,3.59,3.55,3.55,997
15:59,3.58,3.58,3.52,3.53,1160
09:30,3.62,3.62,3.62,3.62,976
09:47,3.5952,3.5952,3.5952,3.5952,105
09:49,3.5547,3.5547,3.5547,3.5547,501
09:52,3.5548,3.5548,3.55,3.55,200
09:58,3.481,3.481,3.481,3.481,400
10:08,3.55,3.55,3.55,3.55,201
10:11,3.55,3.55,3.55,3.55,989
10:17,3.54,3.565,3.53,3.54,834
10:18,3.54,3.54,3.54,3.54,340
10:21,3.57,3.57,3.57,3.57,101
10:22,3.54,3.54,3.54,3.54,225
10:33,3.53,3.53,3.53,3.53,450
10:34,3.53,3.53,3.53,3.53,100
10:35,3.53,3.53,3.53,3.53,306
10:55,3.5098,3.5098,3.5098,3.5098,118
10:58,3.5018,3.5018,3.5018,3.5018,100
11:04,3.46,3.46,3.46,3.46,299
11:14,3.495,3.495,3.495,3.495,115
11:28,3.5,3.505,3.5,3.505,462
11:31,3.515,3.5198,3.515,3.5198,714
12:00,3.51,3.51,3.51,3.51,237
12:10,3.5,3.51,3.5,3.51,2720
12:16,3.5188,3.5188,3.5188,3.5188,288
12:30,3.5013,3.5013,3.5013,3.5013,301
12:34,3.52,3.52,3.52,3.52,117
12:48,3.48,3.48,3.48,3.48,5066
12:49,3.48,3.48,3.46,3.46,5204
12:51,3.4502,3.4601,3.44,3.45,8523
12:52,3.45,3.45,3.4305,3.4305,1836
12:54,3.43,3.431,3.43,3.43,3157
12:57,3.42,3.42,3.42,3.42,297
12:59,3.41,3.42,3.4,3.4,6606
13:02,3.4,3.4,3.4,3.4,288
13:03,3.3981,3.3981,3.3981,3.3981,204
13:06,3.39,3.39,3.39,3.39,4767
13:07,3.4,3.4,3.39,3.4,5000
13:08,3.4,3.42,3.4,3.4,10115
13:38,3.43,3.44,3.43,3.44,888
13:49,3.47,3.47,3.47,3.47,603
14:00,3.46,3.46,3.46,3.46,120
14:10,3.47,3.47,3.47,3.47,121
14:22,3.44,3.44,3.44,3.44,396
14:37,3.445,3.445,3.445,3.445,201
14:44,3.4597,3.4597,3.4597,3.4597,597
14:50,3.44,3.44,3.44,3.44,120
15:08,3.47,3.47,3.47,3.47,300
15:18,3.455,3.455,3.455,3.455,620
15:19,3.455,3.47,3.455,3.47,600
15:29,3.52,3.52,3.52,3.52,186
15:33,3.49,3.49,3.49,3.49,257
15:40,3.48,3.49,3.48,3.49,967
15:41,3.47,3.47,3.47,3.47,518
15:52,3.49,3.49,3.49,3.49,221
15:53,3.52,3.52,3.52,3.52,111
15:55,3.46,3.46,3.46,3.46,338
15:59,3.453,3.485,3.453,3.485,783
