time,open,high,low,close,volume
09:30,2.94,2.94,2.83,2.91,10622
09:37,2.8201,2.8201,2.8201,2.8201,3947
09:43,2.865,2.865,2.865,2.865,243
09:47,2.865,2.865,2.865,2.865,100
09:53,2.865,2.865,2.865,2.865,130
09:59,2.87,2.87,2.87,2.87,100
10:03,2.95,2.95,2.95,2.95,501
10:05,2.9023,2.9023,2.9023,2.9023,101
10:12,2.92,2.92,2.92,2.92,672
10:13,2.905,2.905,2.905,2.905,171
10:22,2.95,2.95,2.95,2.95,130
10:23,2.905,2.905,2.905,2.905,560
10:25,2.87,2.8828,2.87,2.8828,323
10:32,2.885,2.8999,2.885,2.8998,1310
10:33,2.89,2.89,2.89,2.89,818
10:43,2.87,2.87,2.85,2.85,3147
10:50,2.82,2.82,2.8,2.81,1994
10:51,2.82,2.82,2.82,2.82,503
10:53,2.825,2.825,2.8,2.8,1247
10:58,2.781,2.781,2.781,2.781,100
11:04,2.78,2.78,2.75,2.75,743
11:05,2.75,2.75,2.73,2.73,14463
11:09,2.73,2.73,2.71,2.71,13412
11:11,2.72,2.7207,2.72,2.7207,10018
11:12,2.72,2.73,2.71,2.71,6018
11:13,2.734,2.734,2.7105,2.7105,6505
11:14,2.75,2.78,2.75,2.76,4694
11:25,2.77,2.78,2.77,2.78,1108
11:33,2.78,2.7864,2.78,2.7864,410
11:41,2.7899,2.7899,2.7899,2.7899,200
11:42,2.79,2.8,2.79,2.8,743
11:49,2.81,2.87,2.81,2.87,10341
11:56,2.7577,2.7577,2.7577,2.7577,149
12:25,2.7696,2.7696,2.7696,2.7696,270
12:36,2.79,2.79,2.73,2.73,10723
12:41,2.84,2.95,2.84,2.94,28967
12:42,2.92,2.93,2.92,2.93,353
12:48,2.95,2.95,2.95,2.95,105
12:50,2.95,2.95,2.95,2.95,200
12:52,2.94,2.96,2.94,2.96,1422
12:55,2.965,2.965,2.965,2.965,206
12:59,2.955,2.955,2.955,2.955,205
13:01,2.95,2.95,2.95,2.95,1135
13:15,2.95,2.95,2.95,2.95,180
13:17,2.9001,2.92,2.9001,2.92,594
13:18,2.92,2.92,2.92,2.92,350
13:20,2.92,2.92,2.91,2.91,304
13:24,2.915,2.92,2.915,2.92,452
13:32,2.92,2.92,2.92,2.92,300
13:36,2.91,2.911,2.9,2.9,6195
13:37,2.9,2.91,2.9,2.91,502
13:40,2.905,2.905,2.905,2.905,104
13:45,2.91,2.91,2.91,2.91,302
13:48,2.93,2.93,2.9299,2.9299,2800
13:51,2.91,2.91,2.91,2.91,160
13:52,2.9004,2.9004,2.9004,2.9004,2500
13:57,2.91,2.91,2.91,2.91,106
14:01,2.91,2.91,2.91,2.91,100
14:09,2.91,2.91,2.91,2.91,100
14:12,2.92,2.92,2.92,2.92,104
14:18,2.9201,2.9201,2.9201,2.9201,154
14:19,2.93,2.93,2.93,2.93,303
14:22,2.94,2.94,2.94,2.94,2686
14:25,2.93,2.93,2.93,2.93,106
14:29,2.93,2.93,2.93,2.93,110
14:31,2.935,2.935,2.935,2.935,103
14:35,2.9201,2.9201,2.9201,2.9201,165
14:36,2.92,2.9201,2.92,2.9201,1205
14:37,2.92,2.92,2.92,2.92,4607
14:41,2.915,2.92,2.915,2.92,6208
14:43,2.93,2.95,2.93,2.95,3971
14:53,2.93,2.93,2.93,2.93,100
14:57,2.935,2.955,2.935,2.955,409
14:58,2.99,2.99,2.99,2.99,100
15:09,2.98,2.98,2.98,2.98,109
15:14,2.99,2.99,2.99,2.99,100
15:19,2.99,2.99,2.99,2.99,109
15:21,2.9837,2.9837,2.9837,2.9837,300
15:23,2.99,2.99,2.99,2.99,100
15:30,2.97,2.97,2.97,2.97,358
15:38,2.97,2.97,2.97,2.97,600
15:39,3,3.01,3,3.01,4634
15:41,3.04,3.04,3.04,3.04,1450
15:51,3.04,3.05,3.03,3.0439,6719
15:53,3.01,3.01,3.01,3.01,201
15:57,2.99,2.99,2.99,2.99,110
15:59,3.025,3.025,3.025,3.025,229
09:30,3.1,3.13,3.07,3.1133,10623
09:32,3.07,3.07,3.07,3.07,3025
09:36,3.1,3.1,3.04,3.04,944
09:38,3.05,3.05,3.05,3.05,500
09:40,3.05,3.05,3,3.01,1801
09:53,3.0513,3.0513,3.0513,3.0513,300
09:54,3.0513,3.0513,3.0513,3.0513,354
09:56,3.0108,3.0108,3.0108,3.0108,1000
09:59,2.975,2.975,2.975,2.975,1877
10:02,3,3,3,3,250
10:05,2.96,2.96,2.96,2.96,1010
10:21,2.97,2.97,2.92,2.92,1349
10:25,2.935,2.935,2.935,2.935,3492
10:46,2.93,2.93,2.93,2.93,1000
10:50,2.9,2.92,2.9,2.92,7955
10:51,2.93,2.94,2.93,2.94,1239
10:55,2.9647,2.9647,2.9647,2.9647,161
11:02,2.9699,2.9699,2.9699,2.9699,1000
11:21,2.935,2.935,2.935,2.935,200
11:25,2.935,2.935,2.935,2.935,1566
11:33,2.96,2.96,2.96,2.96,805
11:39,2.97,2.97,2.97,2.97,405
11:41,2.9751,2.9751,2.9751,2.9751,250
11:53,2.98,2.98,2.9799,2.9799,800
12:04,2.98,3.02,2.98,3.02,1696
12:07,3.1,3.1,3.1,3.1,100
12:13,3.0453,3.0453,3.0453,3.0453,3000
12:28,2.95,2.95,2.95,2.95,100
12:29,2.95,2.95,2.95,2.95,500
12:33,2.99,2.99,2.99,2.99,182
12:36,2.95,2.95,2.95,2.95,2025
12:37,2.97,2.97,2.97,2.97,2050
13:15,2.9956,2.9956,2.9956,2.9956,286
13:33,2.97,2.97,2.97,2.97,2099
14:00,2.97,2.97,2.97,2.97,239
14:15,2.97,2.97,2.97,2.97,110
14:49,2.95,2.95,2.95,2.95,100
15:20,2.95,2.95,2.95,2.95,350
15:27,2.942,2.942,2.942,2.942,200
15:38,2.94,2.94,2.94,2.94,100
15:43,2.94,2.94,2.94,2.94,574
15:46,2.94,2.94,2.94,2.94,4394
15:47,2.91,2.91,2.91,2.91,118
15:50,2.95,2.95,2.91,2.9464,736
15:55,2.95,2.96,2.945,2.945,3372
15:58,2.96,2.96,2.96,2.96,314
15:59,2.95,2.95,2.95,2.95,320
