time,open,high,low,close,volume
10:07,13.49,13.49,12.78,12.78,230
11:34,12.46,12.5,12.45,12.48,1706
11:41,12.62,12.62,12.62,12.62,180
11:56,12.63,12.67,12.63,12.67,1297
12:52,12.45,12.45,12.45,12.45,1810
14:46,12.79,12.79,12.79,12.79,100
14:53,12.77,12.77,12.77,12.77,161
14:56,12.73,12.73,12.73,12.73,285
15:15,12.61,12.61,12.61,12.61,209
15:16,12.6,12.6,12.59,12.59,1098
15:20,12.535,12.535,12.535,12.535,100
15:25,12.4501,12.4501,12.4501,12.4501,735
15:31,12.45,12.45,12.45,12.45,414
15:37,12.45,12.45,12.45,12.45,753
15:43,12.45,12.49,12.45,12.49,630
15:48,12.45,12.45,12.45,12.45,556
15:52,12.45,12.45,12.45,12.45,543
15:54,12.45,12.5,12.45,12.5,1599
15:55,12.5,12.5,12.5,12.5,1827
15:58,12.45,12.45,12.45,12.45,610
15:59,12.45,12.47,12.45,12.47,863
09:30,12.45,12.45,12.45,12.45,102
09:39,13.48,13.48,13.48,13.48,125
10:30,12.8875,12.9325,12.8875,12.8875,376
11:12,12.9,12.9,12.9,12.9,100
12:06,12.75,12.75,12.75,12.75,124
12:48,12.46,12.46,12.46,12.46,117
14:04,12.76,12.76,12.76,12.76,100
14:49,12.76,12.76,12.76,12.76,484
14:52,12.815,12.815,12.815,12.815,2500
15:31,13.0371,13.0371,13.0371,13.0371,133
15:33,12.99,12.99,12.985,12.985,556
15:49,12.955,12.955,12.955,12.955,100
