time,open,high,low,close,volume
09:30,1.86,1.86,1.86,1.86,204
09:32,1.84,1.85,1.84,1.85,746
09:33,1.84,1.85,1.84,1.84,752
09:39,1.86,1.86,1.86,1.86,487
09:43,1.86,1.87,1.86,1.87,200
10:24,1.84,1.84,1.84,1.84,1299
10:34,1.84,1.84,1.84,1.84,100
10:37,1.84,1.84,1.84,1.84,900
10:59,1.8025,1.8025,1.8025,1.8025,550
12:05,1.79,1.8,1.77,1.8,1300
12:06,1.81,1.84,1.81,1.83,11793
12:07,1.82,1.8202,1.8,1.8,9293
12:08,1.8,1.8,1.78,1.78,1200
12:15,1.805,1.805,1.805,1.805,999
12:27,1.7985,1.7985,1.7985,1.7985,1000
13:30,1.7601,1.7601,1.7601,1.7601,2000
14:08,1.78,1.78,1.78,1.78,200
14:35,1.77,1.77,1.77,1.77,100
15:59,1.73,1.73,1.73,1.73,200
09:32,1.785,1.785,1.785,1.785,975
09:52,1.7004,1.7004,1.7004,1.7004,5000
09:59,1.7255,1.7255,1.7255,1.7255,125
10:13,1.7373,1.7373,1.7373,1.7373,229
10:24,1.71,1.71,1.71,1.71,161
10:44,1.72,1.7295,1.72,1.7295,570
11:24,1.72,1.72,1.72,1.72,100
11:36,1.7001,1.7001,1.7001,1.7001,6184
11:44,1.701,1.701,1.68,1.68,10413
11:48,1.68,1.6801,1.66,1.66,12803
11:49,1.66,1.6855,1.64,1.6855,8788
11:52,1.66,1.66,1.6525,1.6525,2000
11:53,1.66,1.66,1.635,1.6562,3000
11:54,1.6324,1.6324,1.6324,1.6324,2000
11:55,1.6562,1.6562,1.635,1.635,2000
11:56,1.65,1.66,1.65,1.66,4161
11:59,1.7,1.7,1.7,1.7,5000
12:07,1.66,1.66,1.66,1.66,802
12:24,1.69,1.69,1.69,1.69,100
13:16,1.68,1.68,1.68,1.68,100
13:38,1.7,1.7,1.7,1.7,100
13:42,1.72,1.72,1.7,1.7,955
13:55,1.74,1.74,1.74,1.74,100
14:01,1.74,1.74,1.74,1.74,100
14:13,1.71,1.71,1.69,1.69,15600
14:14,1.7,1.74,1.7,1.74,26500
14:15,1.72,1.72,1.7,1.7,1000
14:47,1.72,1.72,1.72,1.72,200
15:17,1.73,1.73,1.73,1.73,1000
15:59,1.7,1.7,1.7,1.7,184
