time,open,high,low,close,volume
10:19,1.48,1.49,1.48,1.48,13071
10:20,1.48,1.69,1.48,1.69,2897
10:21,1.6,1.635,1.56,1.56,10510
10:22,1.5683,1.5683,1.51,1.545,8608
10:23,1.52,1.52,1.5,1.52,700
10:30,1.51,1.51,1.51,1.51,100
10:45,1.52,1.52,1.52,1.52,300
11:26,1.54,1.54,1.52,1.52,727
11:28,1.54,1.54,1.54,1.54,122
11:29,1.55,1.55,1.55,1.55,100
11:35,1.54,1.5406,1.54,1.5406,299
11:37,1.5,1.5,1.5,1.5,103
11:39,1.5109,1.5109,1.5109,1.5109,222
11:51,1.55,1.55,1.55,1.55,400
11:52,1.56,1.56,1.55,1.55,11500
11:53,1.57,1.57,1.57,1.57,400
11:54,1.56,1.57,1.56,1.57,2900
11:55,1.6,1.6,1.59,1.59,3000
11:56,1.5865,1.5865,1.5865,1.5865,3300
11:57,1.5769,1.5769,1.52,1.545,6900
11:58,1.58,1.605,1.57,1.57,3300
12:03,1.52,1.52,1.52,1.52,279
15:30,1.53,1.53,1.53,1.53,200
09:46,1.57,1.57,1.57,1.57,172
10:31,1.58,1.58,1.58,1.58,323
10:43,1.6752,1.6752,1.6752,1.6752,595
10:57,1.63,1.63,1.63,1.63,1021
11:08,1.635,1.635,1.635,1.635,300
11:54,1.62,1.62,1.62,1.62,2019
11:55,1.64,1.64,1.64,1.64,1790
11:59,1.66,1.7,1.66,1.7,3148
12:00,1.66,1.66,1.66,1.66,1000
12:06,1.68,1.7,1.68,1.68,2117
12:07,1.7,1.7,1.69,1.695,1301
12:08,1.7,1.72,1.69,1.7195,6767
12:09,1.69,1.69,1.67,1.67,7500
12:10,1.65,1.65,1.65,1.65,1900
12:11,1.65,1.65,1.63,1.65,1823
12:16,1.61,1.61,1.6,1.6,400
12:17,1.6,1.62,1.6,1.62,5901
12:18,1.62,1.62,1.62,1.62,100
12:19,1.63,1.63,1.63,1.63,2000
12:22,1.63,1.63,1.63,1.63,1800
12:23,1.64,1.64,1.64,1.64,1201
12:24,1.64,1.64,1.64,1.64,800
12:28,1.65,1.65,1.65,1.65,1760
12:31,1.69,1.69,1.64,1.66,1100
12:42,1.62,1.62,1.62,1.62,885
12:43,1.62,1.64,1.61,1.64,2403
12:44,1.63,1.65,1.63,1.65,1800
12:56,1.63,1.67,1.63,1.67,1000
12:59,1.66,1.66,1.66,1.66,200
13:00,1.64,1.66,1.64,1.66,600
13:01,1.66,1.67,1.66,1.67,2400
13:04,1.66,1.67,1.66,1.67,734
13:05,1.66,1.69,1.66,1.69,567
13:06,1.67,1.67,1.67,1.67,259
13:07,1.68,1.69,1.68,1.69,1668
13:23,1.66,1.67,1.66,1.67,400
13:24,1.68,1.72,1.68,1.72,643
13:29,1.7,1.7,1.7,1.7,1000
13:30,1.69,1.695,1.69,1.6902,1452
13:34,1.7,1.7,1.7,1.7,1601
13:35,1.7,1.7,1.7,1.7,1500
13:36,1.7,1.7,1.69,1.69,2213
13:54,1.63,1.63,1.63,1.63,200
14:13,1.64,1.64,1.64,1.64,100
14:14,1.65,1.66,1.65,1.66,1202
14:37,1.64,1.64,1.64,1.64,100
14:38,1.64,1.64,1.64,1.64,100
14:42,1.64,1.67,1.64,1.67,1488
14:50,1.66,1.66,1.66,1.66,1000
15:13,1.61,1.61,1.61,1.61,500
15:35,1.65,1.66,1.65,1.66,562
15:44,1.65,1.65,1.65,1.65,900
