time,open,high,low,close,volume
09:30,3.41,3.45,3.4,3.4,7969
09:31,3.35,3.35,3.2,3.2,15915
09:32,3.2,3.275,3.2,3.2122,4680
09:33,3.2,3.2,3.2,3.2,1566
09:34,3.19,3.21,3.1814,3.2,4772
09:35,3.2,3.28,3.2,3.24,8779
09:36,3.21,3.23,3,3.04,18430
09:37,3.05,3.06,3.05,3.06,1226
09:38,3.052,3.0999,3.052,3.0753,975
09:39,3.01,3.09,3,3.09,10100
09:40,3.1323,3.2222,3.128,3.2222,1879
09:41,3.11,3.11,3.05,3.05,9696
09:42,3.0663,3.0663,3.0663,3.0663,351
09:49,3.14,3.16,3.14,3.16,1219
09:51,3.16,3.16,3.16,3.16,100
09:52,3.11,3.11,3.11,3.11,460
09:53,3.238,3.238,3.238,3.238,205
09:54,3.2066,3.2066,3.2066,3.2066,108
09:56,3.17,3.17,3.17,3.17,534
09:58,3.2099,3.2099,3.2099,3.2099,1852
10:00,3.21,3.21,3.21,3.21,1000
10:01,3.14,3.14,3.14,3.14,300
10:03,3.17,3.17,3.16,3.16,692
10:04,3.16,3.16,3.16,3.16,191
10:08,3.2198,3.2199,3.2198,3.2199,1505
10:15,3.101,3.101,3.101,3.101,300
10:23,3.125,3.125,3.125,3.125,327
10:26,3.1053,3.1053,3.1053,3.1053,700
10:28,3.15,3.15,3.15,3.15,100
10:34,3.16,3.1972,3.16,3.1972,3379
10:36,3.1943,3.1943,3.1943,3.1943,106
10:37,3.17,3.17,3.17,3.17,1058
10:40,3.17,3.17,3.17,3.17,1060
10:44,3.17,3.17,3.15,3.15,5280
10:47,3.1,3.1,3.1,3.1,1162
10:48,3.15,3.15,3.1,3.1,800
10:49,3.11,3.11,3.11,3.11,4602
10:54,3.122,3.122,3.122,3.122,267
11:09,3.13,3.13,3.13,3.13,900
11:11,3.14,3.14,3.14,3.14,674
11:13,3.14,3.14,3.14,3.14,363
11:16,3.13,3.13,3.13,3.13,1491
11:18,3.15,3.15,3.13,3.13,250
11:28,3.15,3.15,3.15,3.15,578
11:30,3.16,3.16,3.16,3.16,322
11:31,3.14,3.14,3.14,3.14,571
11:35,3.13,3.1301,3.13,3.1301,2000
11:36,3.17,3.17,3.17,3.17,1000
11:39,3.13,3.13,3.13,3.13,2010
11:41,3.17,3.17,3.17,3.17,100
11:42,3.13,3.13,3.13,3.13,699
11:43,3.16,3.16,3.16,3.16,804
11:50,3.145,3.15,3.0801,3.0801,34556
11:55,3.1,3.17,3.1,3.17,2692
12:00,3.2088,3.2099,3.2088,3.2099,1075
12:04,3.2005,3.2005,3.2005,3.2005,520
12:29,3.14,3.14,3.14,3.14,500
12:35,3.14,3.14,3.14,3.14,250
12:40,3.1201,3.1201,3.12,3.12,2134
12:43,3.09,3.12,3.08,3.12,2295
13:06,3.1426,3.1426,3.1426,3.1426,162
13:12,3.115,3.115,3.115,3.115,1982
13:16,3.1447,3.1447,3.1447,3.1447,1242
13:32,3.0862,3.09,3.0862,3.09,279
13:35,3.115,3.115,3.115,3.115,694
13:36,3.115,3.115,3.115,3.115,400
13:50,3.09,3.09,3.09,3.09,482
13:51,3.08,3.08,3.07,3.07,509
13:52,3.09,3.09,3.09,3.09,360
13:53,3.1,3.11,3.1,3.11,600
13:58,3.0928,3.0928,3.0928,3.0928,835
14:26,3.09,3.09,3.09,3.09,1062
14:28,3.08,3.08,3.08,3.08,262
14:39,3.05,3.05,3.05,3.05,228
14:42,3.06,3.06,3.0501,3.0501,5649
14:48,3.0587,3.1292,3.0587,3.1292,340
14:51,3.03,3.05,3,3.01,12287
14:54,3.113,3.113,3.113,3.113,322
14:58,3.001,3.001,3.001,3.001,100
15:01,3.0969,3.0969,3.0969,3.0969,582
15:02,3.05,3.05,3.05,3.05,400
15:18,3.04,3.04,3.04,3.04,907
15:29,3.03,3.03,3.03,3.03,728
15:33,3.03,3.03,3.03,3.03,197
15:35,3.03,3.03,3.03,3.03,210
15:42,3.03,3.04,3.03,3.04,2246
15:44,3,3,3,3,2632
15:46,2.9837,2.9837,2.98,2.98,1661
15:48,3.007,3.007,3.007,3.007,276
15:50,2.98,2.98,2.95,2.95,2807
15:52,2.95,2.95,2.95,2.95,4736
15:53,2.975,2.975,2.975,2.975,4042
15:54,2.9566,2.9566,2.9566,2.9566,160
15:55,2.9505,2.9505,2.9505,2.9505,152
15:56,2.9501,2.9501,2.9501,2.9501,232
15:58,2.95,2.95,2.95,2.95,968
15:59,2.95,2.99,2.95,2.99,6606
09:30,2.87,3.045,2.87,3,7705
09:35,2.87,2.87,2.85,2.85,4756
09:36,2.85,2.865,2.801,2.865,2264
09:37,2.83,2.8585,2.83,2.8585,610
09:38,2.87,2.87,2.87,2.87,316
09:39,2.85,2.85,2.83,2.85,755
09:40,2.865,2.865,2.865,2.865,192
09:41,2.86,2.86,2.86,2.86,310
09:42,2.85,2.85,2.8309,2.8309,475
09:43,2.9,2.9,2.9,2.9,200
09:46,2.85,2.85,2.8371,2.8371,421
09:48,2.88,2.88,2.88,2.88,500
09:49,2.831,2.905,2.831,2.905,946
09:50,2.98,2.98,2.98,2.98,335
09:54,2.905,2.905,2.905,2.905,214
09:55,2.96,3.2,2.96,3.0202,13087
10:02,2.981,2.981,2.981,2.981,102
10:22,2.888,2.888,2.888,2.888,102
10:23,2.9,2.9,2.9,2.9,1552
10:29,2.88,2.88,2.88,2.88,259
10:30,2.895,2.895,2.85,2.85,2449
10:31,2.8318,2.89,2.83,2.89,3026
10:32,2.85,2.85,2.805,2.81,23136
10:33,2.81,2.815,2.73,2.73,23219
10:34,2.74,2.76,2.71,2.76,1878
10:35,2.76,2.8584,2.76,2.7601,3600
10:36,2.7669,2.7669,2.76,2.76,1001
10:37,2.74,2.74,2.71,2.71,524
10:38,2.78,2.78,2.78,2.78,191
10:40,2.79,2.79,2.77,2.77,800
10:41,2.82,2.82,2.77,2.77,1417
10:47,2.76,2.76,2.74,2.74,874
10:48,2.76,2.76,2.73,2.73,1501
10:50,2.7103,2.7103,2.71,2.71,4402
10:52,2.7141,2.7141,2.69,2.7,7235
10:56,2.69,2.7,2.69,2.7,1302
11:00,2.709,2.709,2.709,2.709,1045
11:14,2.7658,2.7658,2.7658,2.7658,320
11:20,2.76,2.7609,2.76,2.7609,1030
11:21,2.78,2.78,2.78,2.78,280
11:23,2.7301,2.7301,2.7301,2.7301,300
11:28,2.7314,2.7409,2.7314,2.7409,584
11:30,2.7357,2.7357,2.7349,2.7349,505
11:33,2.7349,2.7349,2.7349,2.7349,300
11:35,2.78,2.78,2.78,2.78,187
11:38,2.76,2.76,2.7301,2.7301,800
11:41,2.74,2.74,2.74,2.74,249
11:45,2.74,2.74,2.7302,2.7302,1401
11:46,2.7461,2.7461,2.7461,2.7461,200
11:48,2.73,2.73,2.73,2.73,375
11:52,2.71,2.73,2.7,2.73,2157
11:56,2.76,2.76,2.76,2.76,100
11:57,2.7652,2.7652,2.7652,2.7652,300
11:58,2.76,2.76,2.72,2.72,319
12:00,2.8399,2.8399,2.8399,2.8399,200
12:05,2.79,2.82,2.79,2.8,2459
12:16,2.7836,2.7836,2.7836,2.7836,600
12:19,2.78,2.78,2.78,2.78,213
12:21,2.8265,2.8265,2.8265,2.8265,532
12:22,2.805,2.83,2.7504,2.7504,7003
12:24,2.8455,2.8455,2.8455,2.8455,200
12:28,2.84,2.84,2.82,2.82,600
12:29,2.7723,2.7723,2.7723,2.7723,210
12:45,2.7301,2.7301,2.73,2.73,330
12:46,2.73,2.76,2.7,2.71,2141
12:47,2.811,2.811,2.811,2.811,178
12:55,2.71,2.71,2.71,2.71,1207
12:56,2.71,2.71,2.7,2.7,2845
13:01,2.7002,2.7002,2.7,2.7,1059
13:06,2.71,2.71,2.71,2.71,1520
13:09,2.76,2.76,2.76,2.76,339
13:18,2.81,2.81,2.8001,2.8001,2049
13:19,2.83,2.83,2.83,2.83,253
13:23,2.82,2.82,2.82,2.82,251
13:40,2.8,2.8,2.8,2.8,250
14:08,2.72,2.76,2.72,2.75,1477
14:18,2.78,2.79,2.78,2.79,715
14:19,2.79,2.8,2.79,2.8,500
14:20,2.82,2.82,2.82,2.82,1104
14:21,2.82,2.82,2.78,2.82,1500
14:22,2.82,2.82,2.82,2.82,1000
14:23,2.82,2.9,2.82,2.89,2798
14:24,2.87,2.87,2.87,2.87,302
14:25,2.91,2.92,2.87,2.87,598
14:26,2.87,2.92,2.87,2.92,506
14:27,2.9699,3.09,2.9699,3.09,4380
14:29,2.984,2.99,2.9201,2.99,804
14:31,3.05,3.05,2.97,2.97,365
14:40,3.04,3.04,3.04,3.04,210
14:42,3.02,3.02,3.02,3.02,200
14:43,2.99,2.99,2.99,2.99,1100
14:44,2.99,2.99,2.99,2.99,900
14:45,2.99,2.99,2.99,2.99,800
14:46,2.99,2.99,2.99,2.99,639
14:47,2.99,2.99,2.99,2.99,800
14:48,2.99,2.99,2.99,2.99,600
14:49,2.99,2.99,2.99,2.99,795
14:50,2.99,2.99,2.99,2.99,900
14:51,2.99,2.99,2.988,2.988,1369
14:52,2.99,2.99,2.99,2.99,800
14:53,2.99,2.99,2.99,2.99,1400
14:54,2.99,2.99,2.99,2.99,1000
14:55,2.99,2.99,2.99,2.99,700
14:56,2.99,3.01,2.99,3.01,2514
14:57,3.03,3.03,2.97,3.03,1340
14:59,3.06,3.15,3.055,3.15,1938
15:01,3.12,3.12,3.12,3.12,442
15:02,3.105,3.11,3.105,3.105,1798
15:03,3.1,3.1,3.1,3.1,178
15:04,3.085,3.085,3.085,3.085,193
15:05,3.085,3.085,3.085,3.085,400
15:06,3.08,3.1,3.08,3.1,600
15:08,3.07,3.07,3.07,3.07,400
15:11,3.055,3.055,3.055,3.055,300
15:12,3.0745,3.0745,3.0745,3.0745,324
15:14,3.08,3.08,3.055,3.055,301
15:15,3.03,3.08,3.03,3.08,830
15:16,3.07,3.08,3.02,3.05,759
15:17,3.024,3.05,3.024,3.05,250
15:20,3.05,3.05,3.05,3.05,200
15:24,3.05,3.05,3.05,3.05,500
15:26,3.03,3.03,3.03,3.03,100
15:27,3.04,3.05,3.02,3.02,600
15:28,3.01,3.02,2.9726,3.02,2043
15:30,3.03,3.04,2.99,3,1316
15:31,3.02,3.02,3.02,3.02,206
15:34,3.04,3.05,3.04,3.05,247
15:35,3.04,3.04,3.04,3.04,300
15:38,3.0499,3.0499,3.0499,3.0499,100
15:46,2.96,2.96,2.96,2.96,294
15:48,2.8301,2.8301,2.8301,2.8301,189
15:50,2.9599,2.9599,2.9599,2.9599,1060
15:51,2.96,2.96,2.96,2.96,176
15:53,2.96,2.96,2.96,2.96,715
15:54,2.97,2.97,2.97,2.97,170
15:55,2.88,2.93,2.88,2.89,574
15:56,2.88,2.88,2.88,2.88,2400
15:57,2.84,2.92,2.82,2.82,815
15:58,2.78,2.89,2.78,2.89,283
