time,open,high,low,close,volume
09:30,1.12,1.12,1.12,1.12,130
09:33,1.13,1.13,1.12,1.12,1200
09:48,1.14,1.14,1.14,1.14,467
09:52,1.1391,1.1391,1.1391,1.1391,299
10:17,1.1389,1.1389,1.1389,1.1389,100
10:18,1.1306,1.1306,1.1306,1.1306,150
10:24,1.1352,1.1352,1.1352,1.1352,2096
10:25,1.14,1.16,1.14,1.16,4411
10:32,1.16,1.16,1.16,1.16,200
10:38,1.1769,1.1769,1.1769,1.1769,100
10:49,1.165,1.165,1.165,1.165,1089
11:19,1.19,1.19,1.19,1.19,500
11:21,1.19,1.19,1.18,1.18,1100
11:28,1.2,1.2,1.2,1.2,105
11:34,1.2,1.2,1.19,1.19,3600
11:36,1.2,1.2,1.2,1.2,999
12:01,1.22,1.22,1.2,1.2,3400
12:05,1.24,1.24,1.24,1.24,1000
12:08,1.2344,1.2344,1.2344,1.2344,100
13:15,1.22,1.22,1.22,1.22,110
13:18,1.225,1.225,1.2202,1.2202,220
13:41,1.22,1.22,1.22,1.22,130
14:03,1.21,1.21,1.2,1.2001,3641
14:04,1.2049,1.2049,1.2049,1.2049,238
14:18,1.2,1.21,1.19,1.21,4030
14:45,1.2098,1.2099,1.2098,1.2099,2614
15:04,1.2,1.2,1.2,1.2,2100
15:15,1.19,1.19,1.19,1.19,940
15:16,1.181,1.181,1.181,1.181,1882
15:24,1.183,1.183,1.183,1.183,496
15:28,1.19,1.19,1.18,1.18,1000
09:30,1.17,1.17,1.17,1.17,1153
12:59,1.2,1.2,1.2,1.2,100
14:23,1.185,1.185,1.17,1.17,1899
14:29,1.155,1.155,1.155,1.155,136
14:59,1.14,1.15,1.14,1.15,2900
15:14,1.175,1.175,1.175,1.175,400
15:35,1.13,1.13,1.13,1.13,1506
15:38,1.155,1.155,1.155,1.155,100
15:40,1.13,1.13,1.13,1.13,2500
15:56,1.155,1.155,1.155,1.155,900
15:59,1.13,1.155,1.13,1.155,228
