time,open,high,low,close,volume
09:30,1.22,1.22,1.22,1.22,15304
09:36,1.17,1.19,1.17,1.19,1229
09:37,1.18,1.18,1.18,1.18,600
09:45,1.18,1.18,1.18,1.18,200
09:50,1.18,1.18,1.18,1.18,280
09:52,1.17,1.17,1.17,1.17,400
09:59,1.17,1.17,1.15,1.15,603
10:53,1.155,1.155,1.155,1.155,104
10:55,1.155,1.155,1.155,1.155,153
10:57,1.16,1.16,1.16,1.16,200
11:22,1.165,1.165,1.165,1.165,100
11:34,1.16,1.16,1.155,1.155,411
12:15,1.1591,1.16,1.1591,1.16,691
12:22,1.155,1.155,1.155,1.155,250
12:29,1.15,1.15,1.15,1.15,205
12:33,1.155,1.155,1.155,1.155,100
12:34,1.155,1.155,1.155,1.155,100
13:20,1.1502,1.155,1.1502,1.155,3867
13:21,1.1549,1.155,1.145,1.155,6430
13:22,1.155,1.155,1.155,1.155,100
13:24,1.1519,1.1519,1.15,1.15,1722
15:01,1.145,1.145,1.145,1.145,120
15:04,1.1407,1.1407,1.1407,1.1407,280
15:12,1.15,1.15,1.15,1.15,100
15:22,1.145,1.145,1.145,1.145,204
15:24,1.15,1.15,1.15,1.15,536
15:39,1.15,1.15,1.15,1.15,780
15:49,1.15,1.155,1.15,1.155,450
15:52,1.15,1.15,1.15,1.15,400
15:58,1.15,1.15,1.145,1.145,1932
15:59,1.15,1.15,1.15,1.15,805
10:00,1.12,1.12,1.12,1.12,100
10:04,1.14,1.14,1.14,1.14,100
10:15,1.14,1.14,1.14,1.14,801
10:24,1.145,1.145,1.145,1.145,123
10:28,1.145,1.145,1.145,1.145,100
10:34,1.14,1.14,1.14,1.14,100
10:59,1.145,1.145,1.145,1.145,100
11:01,1.145,1.15,1.145,1.15,6953
11:06,1.15,1.15,1.15,1.15,500
11:09,1.15,1.15,1.15,1.15,124
11:11,1.15,1.15,1.143,1.143,496
11:15,1.15,1.15,1.15,1.15,104
11:37,1.145,1.145,1.145,1.145,190
11:50,1.15,1.15,1.145,1.145,201
12:43,1.15,1.15,1.15,1.15,106
12:46,1.145,1.145,1.145,1.145,306
13:30,1.145,1.145,1.145,1.145,379
13:36,1.145,1.145,1.145,1.145,101
14:44,1.14,1.14,1.14,1.14,714
14:51,1.145,1.145,1.145,1.145,100
14:55,1.15,1.15,1.145,1.145,688
15:05,1.145,1.145,1.145,1.145,103
15:12,1.145,1.145,1.145,1.145,196
15:13,1.15,1.15,1.145,1.145,285
15:17,1.145,1.145,1.145,1.145,728
15:18,1.145,1.145,1.145,1.145,100
15:30,1.15,1.15,1.15,1.15,508
15:34,1.15,1.15,1.148,1.15,1613
15:39,1.15,1.15,1.15,1.15,100
15:50,1.15,1.15,1.15,1.15,100
15:59,1.15,1.15,1.15,1.15,100
