time,open,high,low,close,volume
09:30,1.3,1.3,1.3,1.3,500
09:34,1.301,1.35,1.301,1.35,2547
09:41,1.3002,1.3002,1.28,1.28,5596
09:59,1.29,1.29,1.29,1.29,108
10:28,1.26,1.26,1.26,1.26,282
10:39,1.29,1.29,1.29,1.29,100
10:52,1.29,1.29,1.29,1.29,150
10:53,1.28,1.28,1.27,1.27,200
11:01,1.2601,1.2601,1.25,1.25,9984
11:11,1.27,1.27,1.27,1.27,250
11:12,1.27,1.27,1.27,1.27,100
11:46,1.28,1.28,1.28,1.28,350
11:52,1.26,1.26,1.26,1.26,200
12:58,1.26,1.26,1.26,1.26,340
14:01,1.2622,1.2622,1.2622,1.2622,500
15:09,1.265,1.265,1.25,1.25,690
15:10,1.255,1.3,1.255,1.29,33920
15:11,1.29,1.29,1.27,1.2801,2076
15:12,1.28,1.28,1.25,1.27,5240
15:13,1.26,1.26,1.22,1.2343,7220
15:14,1.23,1.231,1.21,1.21,7437
15:15,1.214,1.214,1.2,1.204,1326
15:59,1.22,1.22,1.22,1.22,276
09:30,1.24,1.24,1.24,1.24,505
10:46,1.24,1.24,1.24,1.24,1000
11:21,1.2594,1.2594,1.2594,1.2594,200
11:27,1.25,1.25,1.25,1.25,1000
11:55,1.23,1.23,1.23,1.23,1000
11:58,1.23,1.23,1.23,1.23,1000
12:12,1.2101,1.2101,1.2101,1.2101,178
12:33,1.22,1.22,1.22,1.22,100
12:48,1.2182,1.2182,1.2182,1.2182,100
14:09,1.2015,1.2015,1.2015,1.2015,500
14:16,1.21,1.21,1.21,1.21,187
14:47,1.2021,1.2021,1.2021,1.2021,165
15:05,1.211,1.2149,1.2,1.2,4259
15:07,1.2162,1.2162,1.2162,1.2162,252
15:19,1.22,1.22,1.22,1.22,2000
15:24,1.2,1.2,1.2,1.2,109
15:26,1.2,1.2,1.2,1.2,100
