time,open,high,low,close,volume
09:31,1.09,1.09,1.09,1.09,500
10:17,1.0018,1.0018,1.0018,1.0018,100
10:34,1.02,1.02,1.02,1.02,200
10:55,1.01,1.01,1.01,1.01,202
11:13,1.0108,1.0108,1.0108,1.0108,165
11:40,1.0002,1.0002,1,1,450
12:44,1.01,1.01,1.01,1.01,297
13:35,1.015,1.015,1.015,1.015,475
14:50,1.015,1.015,1.015,1.015,143
15:02,1,1,1,1,241
15:14,1.035,1.035,1.035,1.035,398
09:30,1.03,1.03,1.02,1.025,1507
09:37,1.03,1.03,1.03,1.03,6162
09:39,1.06,1.06,1.06,1.06,101
10:45,1.06,1.06,1.06,1.06,112
11:24,1.06,1.06,1.06,1.06,100
12:11,1.07,1.07,1.07,1.07,100
12:12,1.04,1.04,1.04,1.04,900
12:22,1.0851,1.0851,1.0851,1.0851,300
12:23,1.09,1.09,1.089,1.089,4600
12:27,1.1,1.1,1.1,1.1,2250
12:35,1.11,1.11,1.1,1.1,927
12:37,1.075,1.075,1.075,1.075,1287
12:50,1.1,1.1,1.1,1.1,250
13:11,1.1079,1.1079,1.1079,1.1079,1184
13:12,1.1073,1.1077,1.1073,1.1077,1600
13:13,1.11,1.11,1.11,1.11,368
13:14,1.0808,1.0808,1.0808,1.0808,200
14:20,1.1078,1.1081,1.1078,1.1081,2500
14:28,1.0803,1.095,1.08,1.08,1985
14:51,1.08,1.08,1.08,1.08,904
15:19,1.089,1.089,1.089,1.089,289
15:44,1.1097,1.1097,1.1097,1.1097,441
15:48,1.1,1.1,1.1,1.1,100
