time,open,high,low,close,volume
09:30,5.35,5.7299,5.35,5.6907,5401
09:32,5.33,5.33,5.33,5.33,250
09:35,5.33,5.33,5.1701,5.1701,650
09:36,5.345,5.345,5.345,5.345,465
09:37,5.455,5.51,5.455,5.4818,653
09:38,5.2,5.2,5.2,5.2,1625
09:47,5.2,5.2,5.2,5.2,869
09:48,5.4851,5.4851,5.4851,5.4851,1720
09:49,5.22,5.2423,5.22,5.2423,280
09:51,5.2459,5.2459,5.2459,5.2459,210
09:52,5.24,5.24,5.24,5.24,207
09:58,5.22,5.22,5.2,5.2,354
09:59,5.2,5.2,5.2,5.2,100
10:05,5.21,5.21,5.21,5.21,256
10:06,5.205,5.205,5.2,5.2004,1715
10:07,5.2,5.201,5.2,5.2,907
10:08,5.2,5.2,5.09,5.16,5418
10:11,5.08,5.08,5.08,5.08,142
10:13,5.14,5.16,5.07,5.07,2044
10:15,5.08,5.08,5.08,5.08,526
10:37,5.19,5.19,5.19,5.19,210
10:39,5.0701,5.0701,5.0701,5.0701,322
10:43,5.11,5.11,5.11,5.11,186
10:49,5.0701,5.0701,5.0701,5.0701,155
11:01,5.105,5.105,5.105,5.105,400
11:02,5.105,5.11,5.105,5.11,200
11:07,5.09,5.09,5,5,5756
11:08,5.0456,5.0456,5,5.01,1044
11:10,5.01,5.02,5.01,5.02,200
11:11,5.009,5.009,5.009,5.009,250
11:12,5.006,5.006,5.006,5.006,1030
11:16,5.02,5.02,5.02,5.02,526
11:21,5.03,5.03,5.03,5.03,100
11:32,5.0763,5.0763,5.0763,5.0763,410
11:34,5.04,5.04,5.04,5.04,450
11:36,5.03,5.03,5.03,5.03,201
11:41,5.03,5.03,5.03,5.03,250
11:47,5.05,5.05,5.05,5.05,200
11:48,5.04,5.07,5.04,5.07,3217
11:49,5.06,5.07,5.06,5.07,301
11:58,5.07,5.07,5.07,5.07,241
11:59,5.12,5.12,5.12,5.12,112
12:00,5.081,5.13,5.081,5.12,3215
12:11,5.1524,5.1524,5.1524,5.1524,170
12:12,5.12,5.12,5.12,5.12,125
12:17,5.116,5.116,5.116,5.116,500
12:21,5.0701,5.12,5.0701,5.08,4040
12:23,5.11,5.11,5.11,5.11,100
12:45,5.08,5.08,5.03,5.08,4600
12:46,5.035,5.04,5.03,5.03,608
12:47,5.04,5.04,5.03,5.03,600
12:57,5.041,5.041,5,5,2614
13:03,5.0506,5.0506,5.0506,5.0506,600
13:04,5.055,5.055,5.055,5.055,500
13:09,5.1099,5.1099,5.1099,5.1099,196
13:29,5.16,5.16,5.16,5.16,350
13:31,5.07,5.07,5.07,5.07,250
13:35,5,5,5,5,316
13:40,5,5,5,5,600
13:41,5,5,5,5,100
13:53,5.025,5.025,5.025,5.025,1000
14:11,5.025,5.025,5.025,5.025,1188
14:12,5.025,5.025,5.025,5.025,1149
14:14,5.0275,5.03,5.0275,5.03,1263
14:17,5.0499,5.0499,5.0499,5.0499,395
14:24,5.0001,5.03,5.0001,5.0001,1015
14:28,5,5.0002,5,5.0002,1662
14:32,5.0499,5.0499,5.0499,5.0499,1000
14:40,5.0438,5.0438,5.0438,5.0438,131
14:42,5.02,5.02,5.02,5.02,1025
14:57,5.03,5.03,5.03,5.03,1005
15:04,5.03,5.0599,5.03,5.0599,966
15:05,5,5,5,5,540
15:06,5,5,5,5,933
15:07,5,5,5,5,1398
15:12,4.92,4.92,4.91,4.9139,829
15:13,4.93,4.99,4.93,4.99,1128
15:41,4.9992,5,4.97,4.97,1249
15:44,5.01,5.01,5.01,5.01,240
15:45,5.0847,5.0847,5.0847,5.0847,836
