time,open,high,low,close,volume
09:30,1.62,1.62,1.55,1.56,3516
09:37,1.5638,1.5638,1.5638,1.5638,629
09:40,1.52,1.535,1.52,1.52,3091
09:41,1.5,1.53,1.5,1.53,1576
09:42,1.52,1.5221,1.515,1.515,310
09:45,1.515,1.52,1.515,1.52,347
09:46,1.575,1.575,1.53,1.54,23435
09:47,1.54,1.63,1.54,1.6,18290
09:48,1.58,1.58,1.56,1.56,4064
09:49,1.56,1.58,1.49,1.5301,20379
09:51,1.52,1.52,1.52,1.52,475
09:52,1.51,1.51,1.5,1.5,2100
09:53,1.53,1.53,1.53,1.53,2500
09:54,1.5189,1.5189,1.51,1.51,1696
09:57,1.51,1.51,1.5,1.5,958
09:58,1.5,1.5,1.5,1.5,2126
09:59,1.49,1.49,1.49,1.49,413
10:03,1.5,1.5,1.5,1.5,544
10:06,1.51,1.51,1.51,1.51,500
10:07,1.51,1.55,1.51,1.55,2300
10:16,1.5399,1.5399,1.5399,1.5399,400
10:17,1.5398,1.6,1.5398,1.6,1000
10:19,1.5898,1.5899,1.5898,1.5899,1005
10:20,1.53,1.53,1.53,1.53,743
10:24,1.5898,1.5899,1.5898,1.5898,850
10:31,1.58,1.58,1.58,1.58,100
10:39,1.55,1.55,1.55,1.55,689
10:43,1.56,1.56,1.56,1.56,200
10:55,1.56,1.56,1.56,1.56,2000
10:56,1.56,1.56,1.56,1.56,603
10:58,1.5502,1.5508,1.55,1.55,4826
11:03,1.53,1.56,1.53,1.56,6379
11:12,1.55,1.55,1.55,1.55,1104
11:13,1.56,1.56,1.56,1.56,225
11:20,1.5799,1.5799,1.5794,1.5799,500
11:22,1.5766,1.5766,1.5766,1.5766,3027
11:33,1.5694,1.57,1.56,1.56,1902
11:36,1.55,1.55,1.55,1.55,1000
11:46,1.5501,1.5501,1.5501,1.5501,461
11:47,1.56,1.56,1.56,1.56,228
12:05,1.56,1.56,1.56,1.56,515
12:16,1.56,1.58,1.56,1.58,1692
12:18,1.5503,1.5503,1.5503,1.5503,966
12:21,1.55,1.55,1.55,1.55,1548
12:23,1.55,1.55,1.55,1.55,706
12:32,1.578,1.578,1.545,1.57,2112
12:50,1.51,1.51,1.51,1.51,1517
13:02,1.54,1.55,1.54,1.55,1140
13:18,1.545,1.545,1.545,1.545,400
13:21,1.545,1.545,1.545,1.545,243
13:31,1.51,1.51,1.51,1.51,1000
14:04,1.56,1.56,1.56,1.56,490
14:10,1.56,1.56,1.56,1.56,700
14:18,1.56,1.56,1.56,1.56,200
14:26,1.5461,1.5461,1.5461,1.5461,107
14:43,1.55,1.55,1.55,1.55,100
14:54,1.51,1.51,1.51,1.51,200
14:57,1.54,1.55,1.54,1.55,1423
15:05,1.54,1.54,1.54,1.54,300
15:11,1.52,1.52,1.52,1.52,400
