time,open,high,low,close,volume
09:30,5.5,5.55,5.5,5.55,3347
09:31,5.55,5.55,5.55,5.55,1001
09:32,5.5718,5.5718,5.55,5.55,683
09:34,5.555,5.6089,5.5,5.6089,1898
09:35,5.61,5.61,5.57,5.57,446
09:37,5.57,5.57,5.57,5.57,314
09:38,5.57,5.6037,5.57,5.6037,963
09:39,5.51,5.555,5.5005,5.5005,2600
09:40,5.5,5.5,5.41,5.42,12120
09:41,5.3259,5.4426,5.3259,5.4426,3740
09:43,5.4393,5.4393,5.4393,5.4393,350
09:44,5.3734,5.3734,5.3734,5.3734,1002
09:45,5.475,5.5399,5.475,5.5399,1784
09:46,5.41,5.48,5.41,5.48,4583
09:47,5.42,5.495,5.4,5.495,4069
09:48,5.48,5.5541,5.48,5.5541,329
09:49,5.49,5.49,5.49,5.49,110
09:50,5.5444,5.57,5.49,5.56,1276
09:51,5.565,5.5937,5.55,5.5937,1322
09:52,5.575,5.5937,5.575,5.5937,509
09:55,5.55,5.55,5.5,5.5,1208
09:56,5.5,5.5,5.5,5.5,312
09:58,5.51,5.51,5.4911,5.4911,769
09:59,5.6,5.6,5.6,5.6,210
10:00,5.4854,5.4854,5.4854,5.4854,400
10:01,5.47,5.53,5.47,5.53,434
10:04,5.5474,5.5474,5.53,5.53,400
10:05,5.565,5.5698,5.565,5.5698,590
10:06,5.61,5.61,5.57,5.61,1748
10:07,5.64,5.73,5.64,5.6618,2576
10:08,5.655,5.74,5.57,5.57,5201
10:09,5.524,5.7315,5.48,5.7315,1201
10:11,5.4985,5.6744,5.4985,5.6,4234
10:12,5.7441,5.7441,5.5,5.5,2200
10:13,5.605,5.605,5.48,5.48,1120
10:20,5.6893,5.6893,5.6893,5.6893,221
10:21,5.74,5.74,5.6,5.6,2200
10:22,5.6757,5.6764,5.64,5.64,738
10:23,5.7192,5.7192,5.7192,5.7192,295
10:24,5.6001,5.6001,5.6001,5.6001,610
10:26,5.69,5.69,5.48,5.48,3750
10:28,5.5409,5.55,5.52,5.55,1882
10:31,5.5251,5.5251,5.5251,5.5251,200
10:34,5.6889,5.6889,5.5228,5.5228,515
10:36,5.51,5.51,5.51,5.51,200
10:40,5.5001,5.5001,5.5001,5.5001,315
10:41,5.7,5.7,5.5,5.5,3210
10:43,5.495,5.495,5.4914,5.4914,311
10:44,5.5327,5.5327,5.5327,5.5327,202
10:48,5.4381,5.4381,5.4381,5.4381,100
10:51,5.4486,5.49,5.4486,5.49,364
10:52,5.4248,5.45,5.4248,5.45,2292
10:55,5.41,5.41,5.325,5.4001,12233
11:01,5.4745,5.4745,5.4745,5.4745,500
11:02,5.445,5.5,5.445,5.49,969
11:03,5.42,5.42,5.42,5.42,208
11:10,5.43,5.43,5.43,5.43,342
11:11,5.4457,5.4457,5.395,5.395,2111
11:15,5.395,5.395,5.395,5.395,100
11:19,5.3019,5.3019,5.3019,5.3019,1000
11:21,5.3216,5.3216,5.3216,5.3216,107
11:22,5.3874,5.3874,5.3874,5.3874,152
11:23,5.48,5.48,5.48,5.48,351
11:35,5.3,5.3,5.3,5.3,331
12:08,5.3666,5.3666,5.3666,5.3666,4950
12:09,5.34,5.34,5.34,5.34,200
12:13,5.37,5.41,5.31,5.31,2280
12:15,5.37,5.37,5.3,5.3,3210
12:20,5.365,5.365,5.365,5.365,100
12:27,5.36,5.36,5.36,5.36,253
12:31,5.36,5.36,5.2511,5.2511,2477
12:41,5.27,5.27,5.25,5.25,758
12:42,5.235,5.235,5.235,5.235,1252
12:43,5.25,5.25,5.25,5.25,300
12:44,5.24,5.25,5.235,5.2378,1496
12:45,5.21,5.24,5.2,5.24,3046
12:48,5.241,5.241,5.241,5.241,170
13:03,5.1287,5.1287,5.1287,5.1287,300
13:05,5.175,5.175,5.12,5.12,286
13:07,5.24,5.24,5.24,5.24,221
13:11,5.227,5.227,5.227,5.227,200
13:16,5.24,5.24,5.24,5.24,200
13:17,5.19,5.19,5.19,5.19,205
13:20,5.23,5.24,5.22,5.23,855
13:26,5.21,5.21,5.21,5.21,212
13:40,5.17,5.17,5.15,5.15,2019
13:41,5.2124,5.2124,5.16,5.16,1120
13:42,5.11,5.1552,5.11,5.1552,209
13:44,5.11,5.2132,5.11,5.2132,1400
13:45,5.2188,5.2188,5.2188,5.2188,191
13:46,5.11,5.11,5.11,5.11,100
13:48,5.1,5.1552,5.1,5.1552,600
13:50,5.1,5.1,5.1,5.1,100
13:51,5.155,5.155,5.155,5.155,720
13:52,5.1,5.1,5.1,5.1,100
13:54,5.1,5.1001,5.1,5.1001,300
