time,open,high,low,close,volume
09:31,2.62,2.65,2.62,2.65,300
09:33,2.66,2.66,2.66,2.66,1020
09:34,2.38,2.7,2.38,2.5,400
09:35,2.5,2.51,2.5,2.51,1370
09:36,2.5,2.5,2.5,2.5,4319
09:39,2.6,2.6,2.6,2.6,103
09:44,2.545,2.56,2.52,2.56,2401
09:48,2.42,2.42,2.42,2.42,100
09:50,2.4,2.4,2.39,2.39,215
09:56,2.54,2.54,2.54,2.54,100
09:58,2.59,2.59,2.59,2.59,308
10:05,2.5946,2.6,2.5946,2.6,3400
10:07,2.74,2.74,2.74,2.74,105
10:08,2.71,2.71,2.7,2.7,305
10:09,2.7,2.7,2.7,2.7,105
10:10,2.68,2.73,2.68,2.68,912
10:14,2.5899,2.5899,2.5899,2.5899,100
10:15,2.605,2.605,2.58,2.58,1305
10:18,2.55,2.56,2.55,2.56,200
10:21,2.53,2.53,2.53,2.53,100
10:22,2.54,2.54,2.54,2.54,100
10:24,2.5,2.5,2.49,2.49,360
10:34,2.38,2.38,2.37,2.37,205
10:37,2.33,2.33,2.33,2.33,305
10:40,2.33,2.33,2.33,2.33,1935
10:41,2.32,2.32,2.31,2.31,300
10:56,2.32,2.32,2.3199,2.3199,518
11:01,2.32,2.32,2.32,2.32,100
11:02,2.32,2.32,2.32,2.32,100
11:03,2.32,2.32,2.32,2.32,100
11:05,2.31,2.31,2.31,2.31,100
11:07,2.3,2.3,2.3,2.3,100
11:09,2.32,2.32,2.31,2.31,200
11:11,2.275,2.275,2.27,2.27,1000
11:14,2.25,2.25,2.25,2.25,105
11:27,2.24,2.24,2.24,2.24,100
11:28,2.27,2.27,2.27,2.27,100
11:29,2.27,2.27,2.27,2.27,100
11:31,2.27,2.27,2.27,2.27,100
11:32,2.27,2.27,2.27,2.27,100
11:33,2.26,2.26,2.26,2.26,100
11:35,2.26,2.26,2.26,2.26,100
11:36,2.25,2.25,2.25,2.25,100
11:38,2.25,2.25,2.25,2.25,200
11:39,2.25,2.25,2.25,2.25,100
11:41,2.23,2.23,2.23,2.23,300
11:43,2.26,2.26,2.26,2.26,100
11:45,2.26,2.26,2.26,2.26,100
11:46,2.25,2.25,2.25,2.25,100
11:48,2.24,2.24,2.24,2.24,100
11:49,2.23,2.23,2.23,2.23,200
11:51,2.25,2.25,2.25,2.25,100
11:52,2.25,2.25,2.25,2.25,100
11:53,2.24,2.24,2.24,2.24,100
11:54,2.24,2.24,2.24,2.24,100
11:55,2.23,2.23,2.23,2.23,393
11:56,2.23,2.23,2.23,2.23,200
11:57,2.24,2.24,2.24,2.24,200
11:58,2.23,2.23,2.23,2.23,130
11:59,2.21,2.21,2.21,2.21,100
12:00,2.21,2.21,2.21,2.21,100
12:02,2.26,2.26,2.26,2.26,100
12:03,2.27,2.27,2.27,2.27,100
12:05,2.27,2.27,2.27,2.27,100
12:06,2.28,2.28,2.28,2.28,100
12:07,2.26,2.26,2.26,2.26,100
12:09,2.27,2.27,2.27,2.27,100
12:10,2.27,2.27,2.27,2.27,100
12:12,2.26,2.26,2.26,2.26,100
12:13,2.27,2.27,2.27,2.27,100
12:14,2.26,2.26,2.26,2.26,100
12:16,2.27,2.27,2.27,2.27,100
12:17,2.27,2.27,2.27,2.27,100
12:18,2.28,2.28,2.28,2.28,100
12:20,2.29,2.29,2.29,2.29,100
12:21,2.28,2.28,2.28,2.28,100
12:23,2.26,2.26,2.26,2.26,100
12:24,2.26,2.26,2.26,2.26,100
12:25,2.27,2.27,2.27,2.27,100
