time,open,high,low,close,volume
09:30,2.09,2.09,2.09,2.09,5993
09:31,2.0886,2.0886,2.0886,2.0886,1250
09:33,2.065,2.09,2.065,2.0659,1366
09:35,2.0861,2.09,2.0841,2.0864,1380
09:36,2.0833,2.0833,2.08,2.08,1163
09:37,2.0864,2.11,2.0864,2.0878,4377
09:38,2.105,2.124,2.1,2.124,5954
09:39,2.085,2.1277,2.085,2.1277,749
09:40,2.12,2.12,2.1188,2.1188,1761
09:44,2.0512,2.1221,2.0512,2.085,2940
09:47,2.11,2.11,2.11,2.11,255
09:49,2.11,2.11,2.11,2.11,101
09:51,2.13,2.13,2.11,2.11,300
09:52,2.0777,2.0895,2.0777,2.085,892
09:56,2.13,2.15,2.0869,2.13,5705
09:57,2.0801,2.179,2.0801,2.179,2013
09:58,2.15,2.15,2.15,2.15,483
10:00,2.135,2.135,2.135,2.135,161
10:04,2.17,2.17,2.16,2.16,1019
10:05,2.1636,2.1636,2.1636,2.1636,1000
10:06,2.155,2.155,2.14,2.1436,1266
10:07,2.155,2.155,2.155,2.155,500
10:08,2.155,2.1967,2.155,2.1813,6533
10:09,2.1831,2.19,2.165,2.19,3835
10:10,2.195,2.195,2.17,2.17,637
10:11,2.175,2.19,2.17,2.17,1250
10:13,2.17,2.19,2.16,2.18,3103
10:14,2.165,2.2799,2.165,2.2721,10556
10:15,2.24,2.245,2.24,2.245,210
10:16,2.245,2.32,2.21,2.21,2102
10:17,2.249,2.263,2.249,2.263,650
10:18,2.235,2.32,2.235,2.3048,21932
10:19,2.3199,2.3199,2.3199,2.3199,2505
10:20,2.3,2.3,2.3,2.3,259
10:21,2.309,2.32,2.2976,2.32,3574
10:22,2.31,2.31,2.285,2.285,1451
10:23,2.285,2.285,2.285,2.285,264
10:25,2.2965,2.2965,2.2965,2.2965,1000
10:26,2.295,2.295,2.26,2.26,1357
10:27,2.2464,2.2464,2.2464,2.2464,159
10:28,2.265,2.265,2.265,2.265,550
10:29,2.2406,2.25,2.2406,2.25,2250
10:30,2.2659,2.2659,2.2659,2.2659,294
10:31,2.24,2.24,2.21,2.21,1363
10:33,2.2102,2.28,2.2,2.28,29254
10:34,2.25,2.26,2.25,2.26,1400
10:36,2.2342,2.2342,2.2342,2.2342,154
10:41,2.23,2.23,2.23,2.23,3000
10:45,2.25,2.25,2.25,2.25,100
10:48,2.23,2.24,2.23,2.23,1183
10:54,2.233,2.242,2.233,2.242,254
10:56,2.23,2.239,2.2,2.239,2623
10:57,2.245,2.245,2.245,2.245,147
11:08,2.24,2.24,2.23,2.23,298
11:09,2.2,2.2,2.2,2.2,2000
11:10,2.22,2.22,2.22,2.22,600
11:11,2.22,2.24,2.22,2.2377,3227
11:12,2.24,2.25,2.24,2.245,1600
11:13,2.24,2.27,2.24,2.27,1285
11:14,2.2586,2.26,2.25,2.25,300
11:21,2.24,2.24,2.24,2.24,818
11:25,2.225,2.225,2.225,2.225,122
11:27,2.2,2.2,2.2,2.2,1978
11:29,2.2079,2.2079,2.2079,2.2079,307
11:30,2.225,2.225,2.225,2.225,300
11:31,2.225,2.225,2.225,2.225,100
11:32,2.25,2.25,2.25,2.25,565
11:34,2.2001,2.2001,2.2001,2.2001,500
11:37,2.21,2.22,2.21,2.22,1666
11:38,2.21,2.21,2.2,2.2,1003
11:39,2.22,2.22,2.22,2.22,105
11:40,2.22,2.22,2.22,2.22,100
11:41,2.23,2.23,2.23,2.23,125
11:45,2.22,2.22,2.22,2.22,200
11:47,2.2335,2.2335,2.2335,2.2335,203
11:49,2.2599,2.2599,2.2599,2.2599,2045
11:50,2.22,2.22,2.22,2.22,190
11:54,2.2149,2.2149,2.21,2.21,1367
11:55,2.2153,2.2153,2.2153,2.2153,100
12:03,2.21,2.22,2.21,2.22,323
12:05,2.21,2.21,2.21,2.21,283
12:08,2.215,2.215,2.215,2.215,173
12:10,2.21,2.21,2.2,2.2,10449
12:11,2.2452,2.2452,2.23,2.23,600
12:13,2.23,2.23,2.23,2.23,100
12:14,2.215,2.215,2.215,2.215,100
12:20,2.22,2.22,2.22,2.22,336
12:22,2.22,2.22,2.22,2.22,153
12:23,2.2205,2.235,2.2205,2.235,627
12:29,2.24,2.24,2.24,2.24,2000
12:38,2.23,2.23,2.23,2.23,1121
12:50,2.235,2.235,2.235,2.235,100
12:51,2.235,2.235,2.235,2.235,507
13:36,2.23,2.23,2.23,2.23,154
13:40,2.23,2.23,2.22,2.22,929
13:41,2.22,2.22,2.22,2.22,2200
13:43,2.22,2.235,2.22,2.223,3974
13:51,2.2525,2.2525,2.2525,2.2525,100
13:53,2.22,2.22,2.22,2.22,2407
13:54,2.225,2.225,2.225,2.225,589
14:04,2.21,2.21,2.21,2.21,100
14:11,2.22,2.22,2.2101,2.2101,1000
14:14,2.23,2.23,2.23,2.23,100
14:26,2.22,2.22,2.22,2.22,105
14:41,2.23,2.23,2.23,2.23,100
14:42,2.23,2.23,2.23,2.23,200
14:43,2.23,2.23,2.23,2.23,1000
14:44,2.23,2.23,2.23,2.23,1000
14:57,2.22,2.22,2.21,2.2165,5241
14:58,2.2073,2.2073,2.2073,2.2073,2000
15:00,2.2001,2.2001,2.2001,2.2001,1502
15:01,2.215,2.215,2.215,2.215,100
15:20,2.2,2.2,2.2,2.2,3000
15:24,2.2495,2.2495,2.2495,2.2495,170
15:28,2.21,2.21,2.21,2.21,500
15:33,2.23,2.247419,2.2299,2.247419,1498
15:34,2.23,2.25,2.23,2.23,4600
15:35,2.23,2.23,2.23,2.23,5082
15:36,2.23,2.23,2.23,2.23,705
15:41,2.2301,2.24,2.2301,2.24,600
15:42,2.2,2.2057,2.2,2.2057,1400
15:43,2.2101,2.2101,2.2101,2.2101,200
15:51,2.24,2.24,2.24,2.24,903
15:54,2.21,2.225,2.21,2.225,500
15:57,2.23,2.2378,2.23,2.2378,655
15:58,2.23,2.23,2.23,2.23,528
15:59,2.2216,2.235,2.2216,2.235,1785
09:30,2.25,2.27,2.25,2.2698,5246
09:31,2.27,2.3062,2.27,2.2724,1160
09:32,2.3,2.32,2.295,2.32,1307
09:33,2.32,2.32,2.27,2.2762,1800
09:35,2.3199,2.32,2.3017,2.3017,1548
09:36,2.3109,2.3109,2.31,2.31,527
09:37,2.31,2.31,2.3,2.3,1400
09:38,2.3,2.31,2.3,2.31,404
09:40,2.3,2.3,2.3,2.3,3203
09:42,2.3,2.3,2.3,2.3,100
09:43,2.3,2.3,2.3,2.3,100
09:44,2.3,2.3,2.2999,2.2999,400
09:45,2.2549,2.26,2.2506,2.2534,2296
09:46,2.2999,2.2999,2.2999,2.2999,812
09:47,2.275,2.28,2.275,2.28,642
09:48,2.2502,2.26,2.25,2.25,2859
09:51,2.245,2.245,2.245,2.245,200
09:52,2.2757,2.2757,2.2757,2.2757,250
09:53,2.2149,2.2149,2.2149,2.2149,1000
09:59,2.245,2.245,2.21,2.21,1386
10:00,2.24,2.2406,2.24,2.2406,500
10:02,2.2001,2.2001,2.2001,2.2001,2393
10:17,2.22,2.2373,2.22,2.2373,441
10:21,2.2004,2.2004,2.2004,2.2004,650
10:22,2.2014,2.2016,2.1,2.1,6977
10:23,2.125,2.125,2.12,2.12,1800
10:25,2.125,2.125,2.125,2.125,1099
10:26,2.125,2.1265,2.125,2.1265,558
10:27,2.12,2.12,2.1001,2.1001,1001
10:28,2.1,2.1054,2.1,2.1054,1222
10:29,2.125,2.125,2.1225,2.1225,2005
10:33,2.13,2.13,2.13,2.13,545
