time,open,high,low,close,volume
09:30,6.54,6.585,6.49,6.585,4253
09:31,6.53,6.91,6.53,6.765,74371
09:32,6.8299,7.05,6.8001,7.05,27278
09:33,6.99,7.24,6.99,7.15,31711
09:34,7.15,7.25,6.95,6.9825,31594
09:35,7.0067,7.1499,7,7.0532,22492
09:36,7.08,7.2,7.08,7.1739,19784
09:37,7.145,7.35,7.145,7.34,19532
09:38,7.34,7.48,7.3,7.4525,22008
09:39,7.4776,7.4776,7.39,7.445,15334
09:40,7.47,7.55,7.41,7.55,36222
09:41,7.5398,7.5398,7.45,7.47,17467
09:42,7.475,7.4995,7.27,7.3,44427
09:43,7.355,7.4,7.2815,7.3,5573
09:44,7.32,7.355,7.21,7.2532,36394
09:45,7.25,7.29,7.22,7.25,7845
09:46,7.2257,7.25,7.2101,7.25,6603
09:47,7.2457,7.29,7.17,7.21,28055
09:48,7.23,7.23,7.13,7.23,9449
09:49,7.225,7.26,7.2006,7.25,2071
09:50,7.23,7.245,7.1904,7.23,18001
09:51,7.23,7.23,7.15,7.175,12540
09:52,7.2,7.24,7.195,7.205,15452
09:53,7.205,7.3599,7.205,7.3599,36143
09:54,7.28,7.33,7.28,7.33,1065
09:55,7.2944,7.365,7.2944,7.3649,6985
09:56,7.33,7.37,7.318,7.362,3891
09:57,7.38,7.38,7.32,7.34,8090
09:58,7.3504,7.39,7.35,7.38,9674
09:59,7.3614,7.4,7.3601,7.38,3803
10:00,7.385,7.47,7.385,7.4404,15898
10:01,7.4652,7.5,7.4403,7.48,19355
10:02,7.4973,7.53,7.49,7.505,24923
10:03,7.5,7.5099,7.42,7.43,21768
10:04,7.43,7.4303,7.38,7.43,8488
10:05,7.4214,7.43,7.39,7.39,7324
10:06,7.38,7.4388,7.37,7.4388,17628
10:07,7.4351,7.45,7.43,7.45,2849
10:08,7.45,7.46,7.43,7.46,6589
10:09,7.46,7.46,7.43,7.43,5615
10:10,7.435,7.485,7.4241,7.485,10203
10:11,7.49,7.5,7.48,7.49,8635
10:12,7.51,7.56,7.51,7.56,12568
10:13,7.56,7.575,7.54,7.56,10040
10:14,7.551,7.63,7.55,7.625,46254
10:15,7.625,7.65,7.61,7.61,17521
10:16,7.61,7.6182,7.51,7.5557,37279
10:17,7.56,7.62,7.56,7.62,17420
10:18,7.63,7.66,7.51,7.535,41906
10:19,7.525,7.525,7.5,7.51,8417
10:20,7.52,7.545,7.515,7.54,2915
10:21,7.53,7.53,7.51,7.52,4463
10:22,7.5191,7.5208,7.495,7.5,5615
10:23,7.49,7.49,7.46,7.48,6475
10:24,7.49,7.53,7.4892,7.52,17691
10:25,7.52,7.52,7.45,7.46,12335
10:26,7.46,7.535,7.46,7.52,10375
10:27,7.525,7.53,7.505,7.52,4163
10:28,7.51,7.5699,7.51,7.5424,10195
10:29,7.56,7.56,7.49,7.4988,18940
10:30,7.52,7.585,7.5173,7.585,11627
10:31,7.58,7.65,7.58,7.64,11263
10:32,7.64,7.65,7.61,7.61,30167
10:33,7.61,7.61,7.58,7.58,13785
10:34,7.59,7.66,7.59,7.635,22960
10:35,7.64,7.655,7.62,7.62,35974
10:36,7.61,7.61,7.5725,7.61,8104
10:37,7.61,7.61,7.58,7.5801,13989
10:38,7.59,7.615,7.56,7.57,9408
10:39,7.5624,7.6,7.5624,7.6,11041
10:40,7.5907,7.6,7.58,7.6,9400
10:41,7.605,7.64,7.6,7.625,4645
10:42,7.62,7.685,7.62,7.63,25051
10:43,7.63,7.64,7.62,7.63,29458
10:44,7.6224,7.645,7.6224,7.645,5019
10:45,7.65,7.655,7.6409,7.6494,21414
10:46,7.65,7.65,7.6009,7.6039,7895
10:47,7.61,7.61,7.595,7.61,3556
10:48,7.61,7.64,7.59,7.625,7439
10:49,7.6375,7.6375,7.6,7.61,23617
10:50,7.615,7.6301,7.615,7.63,2011
10:51,7.65,7.65,7.64,7.6408,4960
10:52,7.65,7.655,7.645,7.65,7805
10:53,7.65,7.65,7.612,7.612,8364
10:54,7.6101,7.625,7.6015,7.62,6235
10:55,7.6299,7.64,7.625,7.64,2558
10:56,7.64,7.64,7.62,7.63,4306
10:57,7.62,7.6299,7.61,7.6299,1766
10:58,7.63,7.66,7.61,7.6487,34006
10:59,7.65,7.65,7.6479,7.6479,8155
11:00,7.65,7.655,7.64,7.65,17212
11:01,7.65,7.655,7.6412,7.645,15641
11:02,7.645,7.645,7.61,7.611,16681
11:03,7.6145,7.63,7.61,7.63,4887
11:04,7.63,7.64,7.62,7.63,3471
11:05,7.64,7.64,7.6302,7.6302,1346
11:06,7.635,7.64,7.62,7.6381,7494
11:07,7.65,7.655,7.6445,7.649,12742
11:08,7.65,7.65,7.52,7.52,43583
11:09,7.52,7.52,7.4824,7.4892,10510
11:10,7.49,7.5,7.4801,7.5,4584
11:11,7.5,7.51,7.5,7.51,1580
11:12,7.51,7.52,7.505,7.505,5381
11:13,7.5051,7.5051,7.485,7.485,9093
11:14,7.481,7.51,7.47,7.51,12307
11:15,7.51,7.5165,7.5,7.5025,4565
11:16,7.495,7.51,7.495,7.51,6449
11:17,7.52,7.53,7.51,7.51,6162
11:18,7.54,7.55,7.47,7.4806,16486
11:19,7.48,7.48,7.45,7.469,6832
11:20,7.45,7.45,7.41,7.42,18150
11:21,7.41,7.41,7.41,7.41,513
11:22,7.41,7.41,7.36,7.36,10358
11:23,7.36,7.4084,7.35,7.4,16591
11:24,7.4,7.4,7.375,7.385,13574
11:25,7.38,7.38,7.35,7.3501,22716
11:26,7.36,7.37,7.31,7.31,20981
11:27,7.31,7.31,7.27,7.28,4488
11:28,7.28,7.29,7.27,7.27,7328
11:29,7.2702,7.279,7.25,7.25,19625
11:30,7.245,7.27,7.24,7.25,22539
11:31,7.25,7.26,7.21,7.21,15930
11:32,7.22,7.31,7.22,7.3,6226
11:33,7.31,7.31,7.28,7.28,3020
11:34,7.29,7.29,7.28,7.28,1510
11:35,7.3,7.33,7.3,7.31,13640
11:36,7.315,7.34,7.305,7.34,3212
11:37,7.35,7.41,7.35,7.39,14282
11:38,7.4076,7.4076,7.37,7.38,16586
11:39,7.38,7.38,7.36,7.36,5192
11:40,7.39,7.43,7.39,7.42,11686
11:41,7.41,7.44,7.41,7.435,6281
11:42,7.44,7.44,7.4,7.41,5693
11:43,7.4102,7.4102,7.34,7.34,20567
11:44,7.33,7.33,7.26,7.29,25672
11:45,7.3,7.33,7.29,7.29,3779
11:46,7.3,7.3,7.25,7.255,15198
11:47,7.255,7.2665,7.215,7.23,11250
11:48,7.23,7.25,7.23,7.24,3220
11:49,7.26,7.26,7.225,7.225,2824
