time,open,high,low,close,volume
09:30,1.21,1.21,1.21,1.21,216
09:35,1.15,1.15,1.14,1.14,1000
09:38,1.22,1.22,1.2,1.2,4137
09:40,1.2,1.2,1.2,1.2,101
09:42,1.2,1.2,1.2,1.2,180
09:44,1.2057,1.2057,1.2057,1.2057,440
09:47,1.204649,1.2057,1.204649,1.2057,900
09:53,1.1545,1.1545,1.1545,1.1545,770
09:54,1.1743,1.1743,1.1743,1.1743,1435
10:01,1.15,1.15,1.1,1.1,5288
10:02,1.08,1.1099,1.08,1.1099,7238
10:03,1.08,1.08,1.08,1.08,500
10:04,1.1099,1.1099,1.085,1.085,1538
10:08,1.1009,1.1009,1.1009,1.1009,205
10:12,1.1,1.1,1.1,1.1,1000
10:14,1.1096,1.1096,1.1096,1.1096,1000
10:29,1.1,1.1,1.1,1.1,100
10:33,1.09,1.1099,1.0701,1.1099,2101
10:43,1.1,1.1913,1.1,1.1913,2160
10:45,1.1543,1.1543,1.14,1.15,4815
10:46,1.1893,1.1893,1.1893,1.1893,101
10:50,1.17,1.17,1.16,1.17,7814
10:51,1.17,1.1946,1.17,1.1946,3300
10:52,1.18,1.2,1.18,1.18,1820
10:53,1.17,1.2,1.17,1.17,2760
10:55,1.16,1.1803,1.16,1.1803,299
11:16,1.14,1.16,1.14,1.15,794
11:18,1.1588,1.1588,1.1588,1.1588,200
11:21,1.16,1.16,1.15,1.15,5100
11:23,1.155,1.155,1.15,1.15,1400
11:24,1.1599,1.1599,1.1599,1.1599,200
11:32,1.1638,1.1638,1.1638,1.1638,100
11:33,1.14,1.14,1.12,1.12,3383
11:34,1.1398,1.14,1.1398,1.14,3725
11:35,1.1399,1.1399,1.1399,1.1399,400
11:36,1.138,1.138,1.138,1.138,500
11:37,1.1399,1.1399,1.1399,1.1399,1000
11:38,1.138,1.138,1.138,1.138,500
11:39,1.1371,1.1371,1.1371,1.1371,200
11:43,1.1399,1.14,1.12,1.1342,2312
11:44,1.1399,1.14,1.1399,1.1399,501
11:55,1.14,1.14,1.14,1.14,2328
12:00,1.1589,1.1589,1.1589,1.1589,100
12:01,1.14,1.14,1.14,1.14,304
12:02,1.1548,1.1548,1.1548,1.1548,100
12:12,1.16,1.16,1.14,1.15,2487
12:19,1.15,1.18,1.15,1.18,29700
12:22,1.17,1.22,1.17,1.215,36913
12:23,1.2,1.2,1.15,1.16,11200
12:24,1.15,1.155,1.125,1.125,7702
12:25,1.16,1.165,1.16,1.165,300
12:26,1.1761,1.1761,1.1761,1.1761,100
12:35,1.165,1.165,1.165,1.165,100
12:37,1.15,1.15,1.14,1.14,900
12:57,1.14,1.14,1.14,1.14,2000
12:58,1.14,1.14,1.14,1.14,1000
12:59,1.14,1.14,1.14,1.14,1000
13:00,1.1301,1.1301,1.1301,1.1301,500
13:06,1.148,1.148,1.148,1.148,100
13:09,1.15,1.15,1.15,1.15,100
13:10,1.16,1.165,1.16,1.165,760
13:17,1.15,1.15,1.15,1.15,1507
13:20,1.1699,1.1699,1.1699,1.1699,100
13:23,1.169,1.169,1.169,1.169,100
13:24,1.16,1.16,1.16,1.16,600
13:26,1.15,1.165,1.15,1.165,900
13:43,1.14,1.14,0.86,0.86,53254
13:44,0.93,1.0418,0.93,1.0418,3790
13:45,1.04,1.04,1.01,1.01,1470
13:47,1.05,1.0825,1.05,1.0825,700
13:55,1.08,1.08,1.08,1.08,500
13:56,1.0999,1.0999,1.0999,1.0999,200
13:58,1.0999,1.0999,1.0999,1.0999,500
13:59,1.0626,1.0626,1.0626,1.0626,439
14:59,1.125,1.1605,1.125,1.1605,200
15:38,1.1,1.1,1.08,1.08,1424
15:50,1.0401,1.0401,1.02,1.02,2818
15:52,1.0001,1.0001,1.0001,1.0001,3000
15:53,1.02,1.02,1.02,1.02,14213
15:54,1.0518,1.0518,1.0518,1.0518,179
15:56,1.05,1.06,1.05,1.06,4000
15:57,1.0998,1.126,1.0998,1.126,1027
15:58,1.12,1.14,1.12,1.14,3017
15:59,1.12,1.13,1.12,1.13,1354
16:00,1.13,1.16,1.13,1.16,500
09:33,1.04,1.044,1.04,1.044,1000
09:34,1.04,1.04,1.04,1.04,1365
09:38,1.05,1.05,1.05,1.05,671
09:40,1.08,1.08,1.08,1.08,103
09:41,1.08,1.08,1.08,1.08,100
09:42,1.09,1.09,1.09,1.09,100
09:43,1.08,1.08,1.08,1.08,300
09:45,1.09,1.09,1.09,1.09,200
09:48,1.08,1.08,1.08,1.08,200
09:49,1.08,1.09,1.08,1.08,1704
09:51,1.07,1.07,1.07,1.07,931
10:18,1.0799,1.08,1.0799,1.08,515
10:19,1.0899,1.0899,1.0899,1.0899,200
10:24,1.09,1.09,1.09,1.09,400
10:34,1.09,1.09,1.09,1.09,114
10:37,1.08,1.08,1.08,1.08,100
10:39,1.09,1.09,1.09,1.09,360
10:40,1.105,1.105,1.105,1.105,100
10:45,1.1,1.1,1.1,1.1,100
10:47,1.11,1.11,1.1,1.1,380
