time,open,high,low,close,volume
09:30,9.21,9.3,9.175,9.21,16356
09:31,9.25,9.3,9.15,9.27,12706
09:32,9.28,9.4434,9.2201,9.345,11168
09:33,9.385,9.638,9.35,9.638,43353
09:34,9.638,9.738,9.56,9.7,32171
09:35,9.6628,9.86,9.6628,9.8099,10326
09:36,9.8,9.8503,9.7595,9.8503,5362
09:37,9.87,9.94,9.7705,9.94,8351
09:38,9.895,10.09,9.845,9.965,26045
09:39,9.927891,9.97,9.82,9.885,15173
09:40,9.86,9.87,9.75,9.785,15894
09:41,9.785,9.84,9.77,9.8,8706
09:42,9.77,9.795,9.56,9.6146,18268
09:43,9.5601,9.61,9.45,9.45,14410
09:44,9.5,9.55,9.4633,9.55,4145
09:45,9.4789,9.4789,9.4789,9.4789,248
09:46,9.5,9.66,9.5,9.66,9709
09:47,9.59,9.6,9.41,9.59,93445
09:48,9.59,9.7,9.54,9.69,18305
09:49,9.69,9.8,9.69,9.77,11538
09:50,9.775,9.86,9.76,9.86,15489
09:51,9.86,9.8762,9.76,9.78,5947
09:52,9.76,9.76,9.635,9.635,4166
09:53,9.6406,9.67,9.62,9.67,4762
09:54,9.68,9.76,9.68,9.74,7099
09:55,9.76,9.765,9.76,9.765,1531
09:56,9.75,9.79,9.73,9.79,1340
09:57,9.76,9.76,9.66,9.66,3790
09:58,9.69,9.69,9.63,9.69,7422
09:59,9.66,9.72,9.62,9.68,11110
10:00,9.67,9.72,9.595,9.595,3867
10:01,9.595,9.695,9.59,9.67,4861
10:02,9.7189,9.7189,9.64,9.67,882
10:03,9.69,9.69,9.675,9.675,2093
10:04,9.675,9.675,9.675,9.675,542
10:05,9.69,9.735,9.69,9.73,5220
10:06,9.73,9.75,9.72,9.74,983
10:07,9.74,9.788,9.7,9.71,6835
10:08,9.705,9.705,9.681,9.69,2413
10:09,9.7,9.7,9.64,9.675,9755
10:10,9.65,9.65,9.6244,9.65,5670
10:11,9.6585,9.67,9.6585,9.67,2027
10:12,9.68,9.71,9.68,9.695,2601
10:13,9.685,9.738,9.67,9.695,10291
