time,open,high,low,close,volume
09:30,17,17,16.64,16.64,1242
09:41,16.915,16.915,16.915,16.915,102
09:42,16.915,16.915,16.915,16.915,200
09:47,16.855,16.855,16.855,16.855,201
09:48,16.8695,16.9743,16.8695,16.8695,500
09:49,16.91,17,16.91,17,1036
09:50,17.075,17.415,17.0675,17.415,1855
09:51,17.4065,17.4065,17.4065,17.4065,200
09:52,17.12,17.12,17.12,17.12,200
09:53,17.13,17.16,17.12,17.12,1262
09:54,17.02,17.1825,17,17.06,3069
09:58,17.015,17.015,17.015,17.015,100
10:00,17.0015,17.0565,16.9817,17.0565,510
10:01,17.15,17.15,16.9801,16.9801,300
10:02,16.9801,16.9801,16.9801,16.9801,120
10:03,16.9801,16.9966,16.9801,16.9966,200
10:04,16.9801,17.065,16.9801,17.065,200
10:08,16.99,17.042,16.93,17,812
10:12,17,17,16.9301,16.9301,656
10:13,17.215,17.215,17.215,17.215,142
10:14,17.26,17.26,17.26,17.26,292
10:23,17.2,17.325,17.2,17.325,203
10:25,17.357,17.357,17.357,17.357,423
10:26,17.2401,17.2401,17.2401,17.2401,200
10:27,17.37,17.37,17.37,17.37,505
10:28,17.4,17.4,17.33,17.37,516
10:29,17.357,17.5,17.357,17.5,1436
10:30,17.5,17.5,17.5,17.5,173
10:31,17.535,17.535,17.535,17.535,150
10:40,17.64,17.64,17.64,17.64,257
10:41,17.4898,17.515,17.4898,17.515,281
10:54,17.8238,17.8238,17.82,17.82,4250
10:57,18.1111,18.1111,18.1111,18.1111,2039
10:58,18.07,18.12,18.07,18.12,359
11:22,17.995,18.0904,17.995,18.0904,200
11:23,18.12,18.185,18.12,18.185,1167
11:24,18.295,18.295,18.27,18.27,491
11:25,18.12,18.12,18.12,18.12,183
11:29,18,18,18,18,1100
11:33,18,18,18,18,610
11:34,17.735,18,17.32,17.32,1081
11:48,17.85,17.85,17.85,17.85,264
11:51,17.8,17.8,17.8,17.8,100
11:53,17.9,17.9,17.9,17.9,100
12:06,18.055,18.055,18.055,18.055,1262
12:36,18.105,18.105,18.105,18.105,100
12:37,18.105,18.105,18.105,18.105,379
12:52,17.94,17.94,17.93,17.93,1266
12:58,18.1447,18.15,18.1447,18.15,782
13:00,18.15,18.24,18.15,18.21,1144
13:02,17.99,17.99,17.99,17.99,124
13:13,17.6201,17.6201,17.6201,17.6201,352
13:19,18.101,18.101,17.92,17.98,1639
13:23,17.83,17.9,17.83,17.9,1657
13:30,17.895,17.9301,17.8248,17.8248,1110
13:37,17.895,17.895,17.895,17.895,103
13:45,18.15,18.15,18.15,18.15,423
14:07,18,18,18,18,106
14:12,18,18.1,18,18.01,1460
14:13,18,18,18,18,446
14:19,18,18.1,18,18.1,978
14:38,18.15,18.15,18.15,18.15,147
15:09,18.03,18.03,18.03,18.03,173
15:25,18.15,18.15,18.15,18.15,373
15:27,18.0775,18.0775,18.04,18.04,445
15:28,18.115,18.115,18.115,18.115,303
15:31,18.04,18.04,18.04,18.04,223
15:49,18.06,18.06,18.06,18.06,315
15:50,18.06,18.06,18.06,18.06,196
15:54,18.02,18.02,18.02,18.02,827
15:55,18,18,18,18,594
15:56,17.99,18.031,17.99,18.031,523
15:57,18.02,18.02,18.02,18.02,214
15:59,18.01,18.04,18.01,18.04,907
09:30,17.83,17.83,17.83,17.83,461
09:31,18.065,18.065,18.065,18.065,102
09:43,18.125,18.125,18.125,18.125,105
10:14,18.3221,18.3221,18.3221,18.3221,606
10:17,18.35,18.36,18.35,18.36,659
10:18,18.4723,18.5,18.4723,18.5,1439
10:39,18.58,18.58,18.58,18.58,410
10:40,18.7,18.7,18.7,18.7,259
10:46,18.75,18.75,18.75,18.75,200
10:54,18.6487,18.6487,18.6487,18.6487,200
10:59,18.58,18.75,18.58,18.75,856
11:01,18.7136,18.7136,18.7136,18.7136,242
11:06,18.565,18.565,18.565,18.565,500
11:12,18.565,18.565,18.565,18.565,188
11:13,18.75,18.76,18.75,18.76,814
11:14,18.825,18.825,18.825,18.825,100
11:17,18.66,18.66,18.65,18.65,213
11:20,18.45,18.45,18.45,18.45,100
11:26,18.8166,18.8166,18.8166,18.8166,500
11:38,18.3637,18.3637,18.3637,18.3637,1000
12:27,18.49,18.5,18.49,18.5,722
12:28,18.4575,18.4575,18.4575,18.4575,105
12:50,18.48,18.48,18.48,18.48,100
13:05,18.405,18.405,18.2141,18.375,2785
13:06,18.57,18.57,18.57,18.57,300
13:10,18.57,18.57,18.57,18.57,397
13:24,18.65,18.65,18.65,18.65,503
13:26,18.65,18.65,18.325,18.325,611
13:43,18.5791,18.5791,18.5791,18.5791,602
13:46,18.5978,18.635,18.31,18.31,1177
13:55,18.67,18.68,18.455,18.455,1264
14:06,18.4942,18.4942,18.4942,18.4942,100
14:26,18.6796,18.6796,18.6796,18.6796,1000
14:43,18.45,18.45,18.45,18.45,100
15:12,18.322,18.322,18.322,18.322,619
15:13,18.2302,18.2302,18.2302,18.2302,400
15:14,18.2,18.2,18.2,18.2,101
15:18,18.35,18.35,18.35,18.35,102
15:42,18.42,18.42,18.42,18.42,104
15:46,18.21,18.21,17.84,17.88,5384
15:52,17.8,17.8,17.8,17.8,110
15:55,17.77,17.77,17.77,17.77,156
15:59,17.79,17.79,17.79,17.79,614
