time,open,high,low,close,volume
09:30,2.84,2.84,2.84,2.84,605
09:35,2.6801,2.742,2.6801,2.7,1504
09:40,2.75,2.75,2.75,2.75,100
10:00,2.7,2.7,2.7,2.7,211
10:02,2.7,2.7,2.7,2.7,200
10:14,2.7,2.7,2.7,2.7,200
10:28,2.69,2.69,2.69,2.69,120
10:29,2.68,2.68,2.68,2.68,1381
10:30,2.65,2.65,2.65,2.65,100
10:42,2.67,2.67,2.67,2.67,1200
11:24,2.69,2.69,2.69,2.69,200
11:38,2.65,2.65,2.65,2.65,241
11:40,2.6479,2.6479,2.6479,2.6479,1000
11:54,2.65,2.65,2.65,2.65,301
11:55,2.65,2.65,2.65,2.65,1000
12:02,2.645,2.645,2.645,2.645,615
12:13,2.66,2.66,2.66,2.66,100
12:18,2.63,2.63,2.63,2.63,3844
12:23,2.65,2.65,2.65,2.65,226
12:25,2.66,2.66,2.66,2.66,400
12:44,2.65,2.7,2.65,2.7,18800
12:56,2.67,2.69,2.67,2.67,375
12:57,2.67,2.69,2.67,2.69,1200
12:58,2.7,2.7,2.7,2.7,100
13:09,2.665,2.665,2.665,2.665,101
13:21,2.7,2.7,2.7,2.7,100
13:45,2.7,2.74,2.7,2.74,1281
14:02,2.71,2.71,2.71,2.71,100
14:08,2.73,2.73,2.73,2.73,200
14:46,2.7,2.72,2.7,2.72,200
15:11,2.7,2.7,2.7,2.7,200
15:23,2.7074,2.71,2.7074,2.71,400
15:26,2.67,2.675,2.67,2.675,3100
15:27,2.72,2.72,2.72,2.72,1000
15:48,2.7,2.7,2.6489,2.7,3030
15:49,2.665,2.665,2.63,2.63,503
15:59,2.69,2.69,2.69,2.69,104
09:30,2.69,2.69,2.69,2.69,231
09:47,2.65,2.65,2.65,2.65,200
10:04,2.69,2.69,2.69,2.69,100
10:06,2.6574,2.6574,2.65,2.65,1000
10:37,2.725,2.725,2.725,2.725,113
10:41,2.7136,2.7136,2.7136,2.7136,400
10:43,2.6662,2.6662,2.6662,2.6662,105
10:44,2.68,2.68,2.68,2.68,400
10:47,2.7,2.7,2.7,2.7,200
10:48,2.7,2.7695,2.7,2.7695,200
11:04,2.6616,2.6616,2.6616,2.6616,200
11:23,2.68,2.68,2.68,2.68,1400
11:46,2.71,2.71,2.71,2.71,195
11:51,2.75,2.75,2.75,2.75,1054
12:18,2.7485,2.7485,2.7485,2.7485,147
12:22,2.71,2.71,2.71,2.71,753
12:27,2.71,2.71,2.71,2.71,700
12:32,2.71,2.71,2.71,2.71,300
12:37,2.71,2.71,2.71,2.71,305
12:42,2.7491,2.7491,2.7491,2.7491,116
13:07,2.6737,2.6737,2.6737,2.6737,290
13:13,2.7,2.7,2.7,2.7,200
13:19,2.67,2.67,2.67,2.67,300
13:23,2.67,2.67,2.67,2.67,1484
13:30,2.65,2.65,2.65,2.65,1761
13:44,2.61,2.61,2.55,2.55,3086
13:46,2.7399,2.7399,2.7399,2.7399,265
13:54,2.6,2.6,2.6,2.6,400
13:56,2.665,2.665,2.665,2.665,100
14:30,2.65,2.65,2.65,2.65,300
14:31,2.65,2.65,2.65,2.65,205
14:35,2.65,2.65,2.65,2.65,500
14:47,2.61,2.625,2.56,2.625,3248
15:51,2.6122,2.6122,2.6122,2.6122,340
15:59,2.63,2.63,2.62,2.62,415
