time,open,high,low,close,volume
09:30,1.09,1.09,1.09,1.09,101
09:35,1.01,1.01,1.01,1.01,330
09:40,1.0499,1.0499,1.0499,1.0499,5000
10:20,1.03,1.03,1.01,1.01,1115
10:24,1.03,1.03,1.03,1.03,500
10:55,1.01,1.0246,1.01,1.0246,2915
12:33,1.0131,1.0131,1.0131,1.0131,1000
13:18,1.0303,1.0303,1.0303,1.0303,500
13:19,1.0308,1.0308,1.01,1.01,2129
13:58,1.005,1.005,1.005,1.005,1480
14:17,1,1.02,0.9701,0.9701,9482
14:40,1.0591,1.0591,1.0591,1.0591,100
14:50,0.9862,0.9862,0.9862,0.9862,400
14:51,0.9715,0.9715,0.9715,0.9715,201
15:15,0.985,0.985,0.985,0.985,186
15:34,0.99,0.99,0.99,0.99,100
15:48,1,1,1,1,500
15:51,0.97,0.985,0.97,0.97,1299
15:57,0.952,0.952,0.9505,0.9505,600
15:58,0.952,0.952,0.9505,0.9505,400
15:59,0.952,0.96,0.952,0.96,621
09:30,1,1,1,1,802
10:12,1,1,1,1,501
10:39,0.998,0.998,0.998,0.998,100
10:44,0.9999,0.9999,0.9999,0.9999,100
10:45,0.9999,0.9999,0.9999,0.9999,100
10:46,0.995,0.9999,0.995,0.9999,200
10:50,0.995,0.995,0.995,0.995,100
10:55,0.9999,0.9999,0.9999,0.9999,100
10:58,0.995,0.995,0.995,0.995,300
11:07,0.99,0.99,0.99,0.99,360
11:12,0.99,0.99,0.99,0.99,100
11:14,0.9801,0.9801,0.9801,0.9801,275
11:52,0.98,0.98,0.98,0.98,201
12:12,1,1.01,1,1.01,537
12:15,1,1,1,1,500
12:26,1.0007,1.0007,1.0007,1.0007,500
12:27,1.0001,1.0001,1.0001,1.0001,120
12:39,1,1,1,1,2385
12:52,1,1,1,1,112
13:11,1,1,1,1,773
13:21,1.0043,1.005,1.0043,1.005,500
13:50,1,1,1,1,100
15:03,1,1,1,1,500
15:05,1.0055,1.0055,1.0055,1.0055,100
15:06,1.009,1.009,1.009,1.009,100
15:09,1.0055,1.0055,1.0055,1.0055,100
15:28,1,1,1,1,433
15:45,0.99,0.99,0.99,0.99,284
15:48,0.97,0.97,0.97,0.97,100
15:52,0.961,0.961,0.961,0.961,100
15:53,0.96,0.96,0.96,0.96,100
15:55,0.96,0.9746,0.95,0.9501,16300
15:56,0.9463,0.9463,0.9463,0.9463,100
