time,open,high,low,close,volume
09:30,7.78,8.2,7.69,8.185,34246
09:31,8.12,8.45,7.96,8.445,14902
09:32,8.445,8.725,8.445,8.51,12847
09:33,8.485,8.54,8.485,8.54,7103
09:34,8.54,8.65,8.5,8.55,22696
09:35,8.55,8.55,8.34,8.37,7363
09:36,8.37,8.37,8.1,8.21,19371
09:37,8.21,8.22,8.07,8.1233,6595
09:38,8.1,8.1,8.06,8.1,1293
09:39,8.09,8.12,8.09,8.1,684
09:40,8.1,8.15,8.1,8.15,1748
09:41,8.205,8.36,8.205,8.34,17158
09:42,8.3263,8.3263,8.24,8.24,3166
09:43,8.2447,8.3409,8.2447,8.26,2473
09:44,8.27,8.27,8.25,8.25,4269
09:45,8.25,8.25,8.1,8.105,2233
09:46,8.15,8.16,8.14,8.14,1237
09:47,8.16,8.16,8.16,8.16,2464
09:49,8.21,8.23,8.19,8.2,2923
09:50,8.19,8.19,8.125,8.13,6230
09:51,8.13,8.13,8.02,8.02,12362
09:52,8.05,8.1,8.03,8.1,3846
09:53,8.1,8.11,8.09,8.09,2189
09:54,8.12,8.14,8.12,8.12,27479
09:56,8.14,8.18,8.14,8.18,3223
09:58,8.23,8.23,8.23,8.23,518
09:59,8.23,8.3,8.23,8.3,11186
10:00,8.25,8.25,8.23,8.24,2570
10:01,8.22,8.22,8.19,8.19,1278
10:02,8.16,8.16,8.15,8.16,982
10:03,8.16,8.17,8.15,8.17,1809
10:05,8.18,8.18,8.18,8.18,771
10:10,8.17,8.18,8.17,8.17,1485
10:11,8.17,8.195,8.15,8.16,4155
10:12,8.15,8.15,8.12,8.12,608
10:13,8.12,8.16,8.11,8.16,5012
10:14,8.15,8.155,8.14,8.155,1789
10:16,8.13,8.13,8.13,8.13,332
10:17,8.125,8.16,8.125,8.16,3601
10:18,8.15,8.17,8.11,8.165,5032
10:19,8.15,8.15,8.15,8.15,138
10:20,8.15,8.21,8.15,8.19,3193
10:21,8.19,8.2,8.19,8.2,2222
10:22,8.18,8.19,8.18,8.19,711
10:23,8.19,8.2,8.18,8.18,1530
10:24,8.175,8.22,8.175,8.22,2364
10:25,8.23,8.23,8.23,8.23,595
10:27,8.23,8.23,8.2002,8.2002,1209
10:28,8.2,8.22,8.2,8.22,2835
10:30,8.235,8.3,8.235,8.3,2105
10:31,8.295,8.32,8.295,8.32,879
10:33,8.32,8.32,8.28,8.28,1462
10:34,8.3,8.38,8.3,8.36,33982
