time,open,high,low,close,volume
09:30,1.45,1.45,1.45,1.45,198
09:37,1.45,1.45,1.4092,1.4092,2629
10:15,1.4269,1.4269,1.4269,1.4269,250
10:16,1.45,1.45,1.45,1.45,112
10:18,1.445,1.445,1.445,1.445,500
10:34,1.47,1.47,1.47,1.47,100
10:49,1.42,1.42,1.4,1.4014,2593
10:51,1.44,1.56,1.44,1.475,2845
10:53,1.475,1.475,1.4081,1.4081,2600
11:11,1.5302,1.5302,1.5302,1.5302,2400
11:13,1.46,1.52,1.46,1.52,200
11:17,1.5184,1.5184,1.5184,1.5184,209
11:35,1.48,1.48,1.48,1.48,100
11:44,1.44,1.44,1.4,1.4,2442
11:45,1.4665,1.4665,1.435,1.44,2870
11:47,1.44,1.44,1.44,1.44,1912
11:50,1.43,1.43,1.43,1.43,600
11:59,1.44,1.44,1.44,1.44,1198
12:07,1.465,1.465,1.465,1.465,100
12:30,1.4421,1.4421,1.442,1.442,300
12:54,1.47,1.47,1.47,1.47,707
12:56,1.47,1.47,1.47,1.47,100
13:38,1.46,1.46,1.4,1.4,2500
14:07,1.4,1.41,1.4,1.41,2525
14:47,1.42,1.445,1.4,1.4,2701
15:52,1.41,1.42,1.4,1.41,2700
15:56,1.425,1.425,1.425,1.425,100
15:57,1.4,1.41,1.4,1.4,2650
15:59,1.425,1.425,1.425,1.425,217
10:59,1.41,1.41,1.35,1.35,2528
11:00,1.36,1.36,1.36,1.36,200
11:01,1.415,1.415,1.415,1.415,2400
11:08,1.37,1.37,1.3601,1.3601,2000
11:09,1.4799,1.4799,1.4799,1.4799,1900
11:12,1.3701,1.3701,1.3701,1.3701,2000
11:14,1.4738,1.4738,1.425,1.425,2000
11:15,1.455,1.455,1.455,1.455,113
11:26,1.3924,1.3924,1.3924,1.3924,100
11:34,1.3612,1.3612,1.3612,1.3612,1900
11:37,1.4788,1.4788,1.4788,1.4788,1800
11:38,1.3665,1.3665,1.3665,1.3665,1800
11:39,1.41,1.43,1.41,1.41,420
11:43,1.41,1.41,1.41,1.41,100
12:12,1.405,1.405,1.405,1.405,200
12:19,1.405,1.405,1.405,1.405,100
12:21,1.44,1.44,1.405,1.405,200
12:47,1.4176,1.42,1.4176,1.42,1000
13:06,1.47,1.47,1.47,1.47,100
13:09,1.44,1.44,1.44,1.44,102
13:50,1.4667,1.4667,1.4667,1.4667,2000
14:42,1.46,1.46,1.46,1.46,100
14:50,1.4076,1.4076,1.4076,1.4076,100
14:51,1.4668,1.4668,1.4668,1.4668,150
15:03,1.47,1.47,1.44,1.44,220
15:07,1.445,1.445,1.445,1.445,100
15:15,1.425,1.425,1.425,1.425,100
15:16,1.415,1.415,1.415,1.415,200
15:18,1.42,1.42,1.42,1.42,100
15:27,1.415,1.415,1.415,1.415,100
15:29,1.4,1.4,1.4,1.4,349
15:44,1.44,1.44,1.44,1.44,100
15:47,1.4124,1.4124,1.4124,1.4124,320
15:58,1.41,1.41,1.41,1.41,500
