time,open,high,low,close,volume
09:30,4,4,4,4,11000
09:32,3.815,3.82,3.803,3.82,1528
09:36,3.855,3.855,3.855,3.855,414
09:37,3.73,3.9186,3.73,3.9186,770
09:38,3.79,3.79,3.79,3.79,605
09:39,3.6428,3.8815,3.64,3.8189,1056
09:40,3.755,3.77,3.755,3.76,1575
09:42,3.6233,3.6233,3.6233,3.6233,2006
09:43,3.67,3.745,3.55,3.55,7650
09:44,3.7,3.7,3.7,3.7,125
09:45,3.7,3.7,3.7,3.7,648
09:46,3.725,3.725,3.55,3.56,5948
09:47,3.62,3.67,3.5514,3.5801,3357
09:48,3.62,3.62,3.62,3.62,226
09:49,3.62,3.62,3.62,3.62,251
09:53,3.62,3.62,3.62,3.62,312
09:54,3.5501,3.5501,3.5501,3.5501,1000
10:01,3.625,3.625,3.625,3.625,471
10:03,3.62,3.62,3.62,3.62,200
10:06,3.62,3.62,3.5594,3.5594,302
10:08,3.68,3.68,3.56,3.56,200
10:15,3.57,3.57,3.56,3.56,500
10:19,3.56,3.56,3.541,3.56,2414
10:20,3.55,3.55,3.55,3.55,100
10:26,3.51,3.51,3.41,3.43,5783
10:27,3.42,3.5399,3.4113,3.5399,2478
10:28,3.42,3.42,3.42,3.42,307
10:32,3.4615,3.4615,3.4615,3.4615,101
10:34,3.465,3.465,3.465,3.465,200
10:35,3.4415,3.47,3.4415,3.47,403
10:36,3.45,3.45,3.4491,3.4491,1060
10:41,3.46,3.46,3.46,3.46,110
10:43,3.4538,3.4538,3.4538,3.4538,150
10:44,3.455,3.475,3.45,3.45,3480
10:45,3.45,3.45,3.44,3.4401,1300
10:46,3.41,3.475,3.4,3.475,5630
10:47,3.44,3.44,3.44,3.44,106
10:49,3.535,3.535,3.535,3.535,1000
10:50,3.525,3.525,3.525,3.525,112
10:58,3.42,3.43,3.41,3.41,781
11:00,3.4477,3.4477,3.4477,3.4477,200
11:01,3.43,3.4301,3.41,3.43,1472
11:02,3.45,3.4502,3.3001,3.3001,4830
11:03,3.539,3.539,3.539,3.539,1110
11:04,3.55,3.55,3.4422,3.4422,1710
11:06,3.3526,3.3526,3.3526,3.3526,307
11:07,3.36,3.36,3.36,3.36,515
11:15,3.44,3.44,3.44,3.44,120
11:19,3.4385,3.4385,3.4385,3.4385,1000
11:20,3.3644,3.3644,3.3644,3.3644,800
11:22,3.4,3.4,3.31,3.325,717
11:24,3.34,3.38,3.34,3.38,2200
11:25,3.265,3.37,3.1,3.22,7145
11:28,3.26,3.34,3.26,3.33,2823
11:31,3.315,3.315,3.315,3.315,400
11:32,3.3999,3.3999,3.24,3.24,1100
11:33,3.2524,3.2524,3.2524,3.2524,1000
11:35,3.2757,3.2757,3.2757,3.2757,235
11:36,3.2492,3.3941,3.2492,3.3941,1500
11:37,3.2492,3.2492,3.2492,3.2492,1084
11:44,3.25,3.2968,3.25,3.2968,1000
11:46,3.3787,3.3787,3.3787,3.3787,207
11:47,3.3085,3.3085,3.3085,3.3085,1000
11:55,3.265,3.3,3.265,3.3,1200
11:56,3.301,3.301,3.301,3.301,350
12:01,3.3535,3.3535,3.3,3.3,1276
12:04,3.2999,3.2999,3.2999,3.2999,160
12:06,3.3,3.3,3.3,3.3,243
12:13,3.2928,3.2928,3.2928,3.2928,100
12:16,3.29093,3.29093,3.29093,3.29093,354
12:20,3.42,3.42,3.42,3.42,305
12:26,3.365,3.365,3.365,3.365,370
12:27,3.41,3.41,3.41,3.41,100
12:35,3.3575,3.3575,3.29,3.29,1150
12:43,3.3,3.3,3.3,3.3,221
12:52,3.3578,3.3578,3.29,3.29,3127
12:54,3.4126,3.4126,3.4126,3.4126,1000
12:55,3.29,3.29,3.23,3.23,2152
13:02,3.23,3.23,3.17,3.17,1459
13:03,3.17,3.17,3.17,3.17,2000
13:09,3.1316,3.21,3.1316,3.21,914
13:10,3.2899,3.2899,3.2899,3.2899,100
13:12,3.21,3.21,3.21,3.21,200
13:16,3.2,3.2,3.2,3.2,1000
13:18,3.21,3.21,3.13,3.13,676
13:19,3.2,3.2,3.2,3.2,150
13:21,3.24,3.24,3.14,3.14,2260
13:22,3.14,3.17,3.11,3.11,2223
13:23,3.12,3.12,3.02,3.08,3815
13:37,3.19,3.19,3.19,3.19,100
13:40,3.115,3.115,3.115,3.115,100
13:42,3.12,3.12,3.12,3.12,104
13:46,3.115,3.115,3.115,3.115,195
13:52,3.17,3.17,3.17,3.17,145
13:56,3.1524,3.1524,3.1524,3.1524,300
13:57,3.1279,3.1279,3.1279,3.1279,100
14:12,3.18,3.18,3.18,3.18,240
14:13,3.1799,3.1799,3.1799,3.1799,4000
14:15,3.1699,3.19,3.15,3.19,9381
14:19,3.21,3.21,3.21,3.21,400
14:20,3.235,3.235,3.235,3.235,259
14:27,3.22,3.22,3.21,3.21,450
14:48,3.1829,3.1829,3.1829,3.1829,2500
15:05,3.3024,3.3024,3.3024,3.3024,223
15:11,3.3237,3.3237,3.3237,3.3237,100
15:16,3.26,3.26,3.24,3.24,420
15:23,3.24,3.24,3.1901,3.1901,312
15:32,3.265,3.265,3.265,3.265,139
15:41,3.2393,3.2393,3.2393,3.2393,650
15:44,3.23,3.23,3.23,3.23,100
15:50,3.32,3.32,3.285,3.285,801
15:52,3.23,3.23,3.23,3.23,305
15:53,3.25,3.27,3.2,3.2014,3400
15:54,3.2,3.21,3.2,3.2,508
15:55,3.2,3.2,3.2,3.2,200
15:56,3.27,3.2995,3.22,3.22,680
15:58,3.2006,3.3024,3.2006,3.22,1594
15:59,3.33,3.33,3.2106,3.24,3900
