time,open,high,low,close,volume
09:30,1.29,1.31,1.27,1.295,105523
09:31,1.2901,1.2999,1.28,1.2983,11009
09:32,1.29,1.29,1.2801,1.285,8969
09:33,1.2837,1.285,1.27,1.275,36375
09:34,1.275,1.28,1.26,1.2708,43138
09:35,1.2793,1.2793,1.2609,1.265,9769
09:36,1.2699,1.27,1.26,1.2646,12296
09:37,1.27,1.28,1.27,1.28,3656
09:38,1.275,1.28,1.275,1.275,10559
09:39,1.275,1.28,1.261,1.2694,35403
09:40,1.265,1.275,1.265,1.27,9745
09:41,1.2758,1.28,1.27,1.27,106449
09:42,1.27,1.27,1.26,1.265,39204
09:43,1.265,1.269,1.26,1.261,43773
09:44,1.26,1.27,1.26,1.265,8875
09:45,1.2699,1.27,1.265,1.265,10755
09:46,1.2635,1.28,1.2635,1.28,7203
09:47,1.2763,1.28,1.27,1.279,30222
09:48,1.2799,1.28,1.275,1.275,6652
09:49,1.28,1.28,1.2737,1.28,6682
09:50,1.271,1.2781,1.265,1.265,15713
09:51,1.2689,1.2699,1.26,1.265,16018
09:52,1.27,1.27,1.26,1.2611,15372
09:53,1.26,1.2697,1.26,1.265,1573
09:54,1.2699,1.2699,1.261,1.2647,10670
09:55,1.265,1.27,1.265,1.265,3950
09:56,1.2635,1.27,1.2635,1.2637,12820
09:57,1.265,1.265,1.265,1.265,1030
09:58,1.265,1.27,1.2635,1.2699,12378
09:59,1.265,1.27,1.2647,1.265,1779
10:00,1.2645,1.265,1.2601,1.265,2855
10:01,1.265,1.27,1.260826,1.2699,3530
10:02,1.269,1.27,1.265,1.27,2862
10:03,1.26,1.27,1.26,1.2601,61569
10:04,1.2601,1.27,1.26,1.26,10085
10:05,1.265,1.27,1.2612,1.265,9824
10:06,1.265,1.27,1.26,1.2607,10705
10:07,1.265,1.265,1.265,1.265,937
10:08,1.265,1.2699,1.2601,1.265,28613
10:09,1.2699,1.27,1.265,1.27,16170
10:10,1.275,1.28,1.27,1.275,13340
10:11,1.275,1.2763,1.2746,1.275,2314
10:12,1.2711,1.28,1.27,1.275,26143
10:13,1.275,1.2799,1.2701,1.2763,10031
10:14,1.275,1.285,1.275,1.285,10278
10:15,1.2897,1.29,1.28,1.28,35055
10:16,1.285,1.285,1.28,1.285,2735
10:17,1.285,1.29,1.28,1.2899,12483
10:18,1.288769,1.29,1.281,1.2891,5597
10:19,1.29,1.29,1.2811,1.2811,5261
10:20,1.285,1.29,1.28,1.29,7882
10:21,1.2872,1.3,1.285,1.295,45787
10:22,1.2989,1.2989,1.285,1.285,16121
10:23,1.285,1.289,1.285,1.289,2576
10:24,1.29,1.3,1.285,1.2987,20367
10:25,1.29,1.3,1.29,1.295,27061
10:26,1.2989,1.2989,1.29,1.2909,13455
10:27,1.2932,1.3092,1.29,1.305,77803
10:28,1.305,1.3186,1.3,1.3183,29125
