time,open,high,low,close,volume
09:30,1.54,1.69,1.5,1.6898,71862
09:31,1.695,1.7,1.63,1.66,20066
09:32,1.6672,1.67,1.65,1.67,16731
09:33,1.69,1.7,1.69,1.69,17129
09:34,1.69,1.7799,1.6817,1.76,57338
09:35,1.7464,1.7694,1.7,1.71,54418
09:36,1.715,1.7494,1.71,1.74,71640
09:37,1.76,1.77,1.7106,1.7106,39202
09:38,1.7106,1.7351,1.6549,1.67,11093
09:39,1.67,1.675,1.67,1.67,11549
09:40,1.6701,1.6701,1.64,1.6406,2634
09:41,1.65,1.65,1.63,1.63,7895
09:42,1.64,1.64,1.63,1.63,6434
09:43,1.63,1.63,1.595,1.595,17532
09:44,1.5999,1.61,1.5999,1.6098,10538
09:45,1.59,1.59,1.57,1.57,2020
09:46,1.5699,1.575,1.5699,1.57,3027
09:47,1.57,1.5755,1.57,1.5755,3688
09:48,1.5715,1.5715,1.5699,1.5699,5197
09:49,1.5612,1.59,1.5612,1.59,5868
09:50,1.585,1.585,1.56,1.575,4310
09:51,1.56,1.56,1.555,1.555,4553
09:52,1.55,1.55,1.54,1.55,3048
09:53,1.5559,1.5559,1.535,1.55,9806
09:55,1.555,1.5699,1.555,1.5699,3514
09:56,1.57,1.58,1.57,1.5799,9460
09:57,1.575,1.575,1.57,1.575,580
09:59,1.575,1.6095,1.575,1.6095,28296
10:00,1.605,1.615,1.595,1.5954,21385
10:01,1.5992,1.605,1.59,1.605,15174
10:02,1.605,1.605,1.605,1.605,405
10:03,1.605,1.6053,1.605,1.605,3531
10:04,1.6,1.6,1.595,1.595,1824
10:05,1.6,1.64,1.6,1.635,30098
10:06,1.6394,1.6599,1.6394,1.6591,10660
10:07,1.659,1.6599,1.655,1.655,4365
10:08,1.655,1.655,1.6145,1.6145,13756
10:09,1.615,1.62,1.6108,1.615,4380
10:10,1.615,1.6191,1.615,1.615,1794
10:11,1.615,1.6199,1.615,1.6199,5622
10:12,1.61,1.61,1.6,1.6008,5491
10:13,1.605,1.605,1.6006,1.6006,1834
10:14,1.6094,1.6094,1.6,1.6003,10092
10:15,1.6006,1.6006,1.59,1.5972,5539
10:16,1.595,1.595,1.595,1.595,1206
10:17,1.59,1.595,1.59,1.5901,8787
10:18,1.59,1.59,1.58,1.59,1710
10:19,1.5994,1.5994,1.595,1.595,830
10:20,1.595,1.595,1.585,1.585,1338
10:21,1.585,1.5928,1.585,1.5928,2353
10:22,1.6,1.6,1.595,1.595,1179
10:23,1.6,1.6,1.595,1.595,406
10:24,1.595,1.595,1.595,1.595,254
10:25,1.595,1.6,1.595,1.6,304
10:26,1.595,1.595,1.595,1.595,176
10:28,1.59,1.59,1.59,1.59,677
10:30,1.585,1.605,1.585,1.605,4623
10:31,1.605,1.605,1.605,1.605,2369
10:32,1.605,1.615,1.605,1.615,10814
10:33,1.615,1.635,1.615,1.635,10122
10:34,1.635,1.635,1.625,1.625,2586
10:35,1.6299,1.6299,1.625,1.625,1200
10:38,1.6206,1.63,1.6206,1.63,801
10:39,1.6298,1.6298,1.6298,1.6298,276
10:40,1.62,1.625,1.62,1.6206,1600
10:42,1.625,1.63,1.61,1.6199,19143
10:44,1.6148,1.6148,1.6148,1.6148,347
10:45,1.6107,1.625,1.605,1.625,11630
10:46,1.625,1.63,1.625,1.63,4529
10:47,1.62,1.62,1.62,1.62,153
10:48,1.62,1.62,1.62,1.62,101
10:49,1.62,1.625,1.62,1.625,312
10:50,1.62,1.62,1.62,1.62,1301
10:51,1.61,1.6154,1.61,1.6154,1554
10:52,1.6199,1.6199,1.61,1.61,11676
10:53,1.61,1.615,1.61,1.615,442
10:54,1.615,1.6199,1.6101,1.6101,1452
10:55,1.61,1.61,1.605,1.605,715
10:56,1.605,1.605,1.6002,1.605,1925
10:57,1.605,1.605,1.605,1.605,560
