time,open,high,low,close,volume
09:30,1.46,1.46,1.37,1.39,7376
09:31,1.39,1.4,1.39,1.394,4692
09:32,1.395,1.395,1.39,1.394,568
09:33,1.39,1.39,1.375,1.375,915
09:34,1.374,1.374,1.374,1.374,387
09:35,1.374,1.374,1.374,1.374,192
09:36,1.374,1.374,1.374,1.374,192
09:37,1.374,1.374,1.374,1.374,192
09:39,1.375,1.375,1.375,1.375,384
09:41,1.375,1.375,1.375,1.375,476
09:42,1.375,1.375,1.375,1.375,197
09:43,1.375,1.375,1.375,1.375,192
09:44,1.375,1.375,1.375,1.375,192
09:46,1.375,1.375,1.375,1.375,434
09:47,1.375,1.375,1.375,1.375,194
09:48,1.375,1.375,1.375,1.375,192
09:49,1.37,1.37,1.37,1.37,192
09:50,1.37,1.37,1.37,1.37,843
09:51,1.37,1.37,1.37,1.37,192
09:52,1.379,1.379,1.37,1.37,378
09:54,1.37,1.37,1.37,1.37,384
09:55,1.37,1.37,1.37,1.37,192
09:56,1.37,1.37,1.37,1.37,192
09:57,1.37,1.37,1.37,1.37,194
09:59,1.37,1.37,1.37,1.37,406
10:00,1.37,1.37,1.37,1.37,192
10:02,1.3642,1.3642,1.3642,1.3642,603
10:03,1.36,1.37,1.36,1.37,5209
10:12,1.37,1.37,1.37,1.37,200
10:25,1.37,1.37,1.37,1.37,100
10:35,1.3706,1.3706,1.3706,1.3706,1080
10:37,1.375,1.375,1.375,1.375,100
10:38,1.3795,1.38,1.375,1.38,636
10:43,1.375,1.38,1.375,1.38,1700
10:45,1.3799,1.3799,1.3799,1.3799,4000
10:51,1.3705,1.3705,1.3705,1.3705,357
10:53,1.38,1.38,1.38,1.38,363
10:55,1.3891,1.3893,1.38,1.3893,5832
11:00,1.38,1.38,1.38,1.38,500
11:13,1.38,1.38,1.38,1.38,5000
11:14,1.3722,1.3722,1.3722,1.3722,183
11:36,1.38,1.38,1.37,1.37,1094
11:59,1.38,1.38,1.38,1.38,118
12:04,1.39,1.39,1.39,1.39,198
12:07,1.3899,1.41,1.38,1.38,38979
12:22,1.395,1.395,1.395,1.395,100
12:27,1.3996,1.3996,1.3988,1.3988,425
12:36,1.4,1.4,1.4,1.4,100
12:38,1.39,1.39,1.39,1.39,156
12:41,1.4,1.4,1.3999,1.3999,600
12:42,1.405,1.41,1.405,1.4063,4100
12:43,1.4008,1.4008,1.4,1.4,202
12:49,1.41,1.41,1.41,1.41,735
12:51,1.42,1.42,1.42,1.42,1044
12:52,1.43,1.43,1.43,1.43,1000
12:53,1.43,1.435,1.43,1.435,3199
12:55,1.4325,1.44,1.4325,1.44,5008
12:56,1.44,1.45,1.44,1.45,1272
12:57,1.44,1.45,1.44,1.45,6237
12:59,1.44,1.44,1.44,1.44,150
13:12,1.44,1.44,1.42,1.42,41907
13:14,1.4202,1.4202,1.42,1.4202,1984
13:17,1.4013,1.4013,1.4,1.4,1599
13:24,1.4186,1.4186,1.4186,1.4186,100
13:35,1.4199,1.4199,1.4199,1.4199,1000
13:36,1.4195,1.4195,1.4195,1.4195,423
13:37,1.41,1.41,1.4012,1.4012,614
13:39,1.4,1.4,1.4,1.4,202
14:13,1.4007,1.4007,1.4007,1.4007,189
14:24,1.4099,1.41,1.4099,1.41,278
14:35,1.41,1.41,1.405,1.41,2407
14:40,1.4,1.4,1.4,1.4,3000
14:44,1.4097,1.4099,1.405,1.405,2339
14:54,1.41,1.41,1.41,1.41,318
15:01,1.41,1.41,1.41,1.41,550
15:15,1.4018,1.4018,1.4018,1.4018,150
15:25,1.4,1.4,1.4,1.4,1000
15:26,1.4,1.41,1.4,1.41,3100
15:27,1.4,1.4,1.4,1.4,6000
15:40,1.41,1.41,1.41,1.41,710
15:41,1.41,1.44,1.41,1.43,45473
15:42,1.4,1.4,1.4,1.4,797
15:50,1.43,1.43,1.43,1.43,100
15:52,1.4165,1.4165,1.4165,1.4165,500
15:53,1.43,1.43,1.43,1.43,100
15:55,1.43,1.43,1.43,1.43,101
15:56,1.43,1.43,1.43,1.43,500
15:57,1.43,1.43,1.43,1.43,100
15:58,1.43,1.43,1.43,1.43,130
15:59,1.43,1.43,1.43,1.43,451
