time,open,high,low,close,volume
09:30,8.2,8.34,8.13,8.13,5121
09:31,8.1443,8.5,8.1443,8.5,6512
09:32,8.3,8.313,8.25,8.25,4403
09:33,8.24,8.25,8.24,8.25,2838
09:34,8.26,8.26,8,8,12859
09:35,8.045,8.103,7.984,8.103,2097
09:36,8,8.2594,8,8.2594,16883
09:37,8.33,8.33,8.33,8.33,8898
09:38,8.325,8.33,8,8,14517
09:39,8.2,8.2,8.2,8.2,645
09:40,8.28,8.28,8.28,8.28,319
09:42,8.17,8.17,8.17,8.17,260
09:43,8.17,8.17,8.0501,8.0501,757
09:44,8.0659,8.1,8.0659,8.1,901
09:45,8.295,8.295,8.295,8.295,273
09:46,8.3,8.4426,8.28,8.28,3169
09:47,8.2504,8.2504,8.25,8.25,452
09:48,8.25,8.25,8.1,8.1,1813
09:49,8.295,8.295,8.2,8.2,856
09:51,8.2648,8.4899,8.2266,8.4456,3850
09:52,8.4773,8.6435,8.445,8.6053,7015
09:53,8.6999,8.6999,8.6999,8.6999,316
09:54,8.6,8.6,8.53,8.53,886
09:55,8.53,8.5483,8.36,8.36,2481
09:56,8.3832,8.5368,8.1,8.5368,5163
09:57,8.455,8.455,8.44,8.44,455
09:59,8.3613,8.4,8.3613,8.3964,989
10:00,8.3602,8.4,8.31,8.3833,2543
10:01,8.55,8.55,8.38,8.53,1028
10:02,8.504,8.5281,8.4506,8.5281,1065
10:03,8.45,8.53,8.45,8.5169,2786
10:04,8.5,8.5915,8.4504,8.57,1542
10:05,8.57,8.7199,8.57,8.7199,6009
10:06,8.7022,8.7022,8.7022,8.7022,317
10:07,8.6,8.6784,8.6,8.6784,1202
10:08,8.65,8.7244,8.64,8.66,2163
10:09,8.69,8.74,8.65,8.685,4566
10:10,8.65,8.65,8.3676,8.52,11592
10:11,8.58,8.6186,8.58,8.61,3437
10:12,8.61,8.7399,8.61,8.7399,2947
10:13,8.54,8.54,8.54,8.54,262
10:14,8.68,8.68,8.621,8.6779,499
10:15,8.7199,8.7199,8.71,8.71,490
10:17,8.69,8.69,8.69,8.69,324
10:19,8.625,8.625,8.6,8.6,360
10:20,8.5701,8.6705,8.57,8.57,2245
10:21,8.57,8.6,8.53,8.5556,2538
10:22,8.53,8.53,8.2201,8.2369,11859
10:23,8.3,8.49,8.3,8.41,1762
10:24,8.4,8.4,8.3,8.3,5858
10:25,8.3455,8.41,8.3455,8.41,1238
10:26,8.41,8.41,8.4,8.4,541
10:27,8.45,8.45,8.45,8.45,102
10:28,8.4,8.43,8.4,8.43,1986
10:29,8.4,8.4499,8.4,8.4408,794
10:31,8.44,8.44,8.3827,8.3827,724
10:32,8.39,8.4999,8.3205,8.3205,6583
10:35,8.3407,8.4693,8.3407,8.423,1087
10:36,8.42,8.42,8.42,8.42,197
10:37,8.33,8.4,8.3216,8.4,1557
10:38,8.3645,8.3645,8.3645,8.3645,252
10:39,8.33,8.33,8.31,8.31,764
10:40,8.3333,8.36,8.3,8.3,585
10:42,8.3,8.3,8.2855,8.2855,815
10:43,8.28,8.31,8.239,8.239,2733
10:44,8.3,8.3,8.2083,8.2083,911
10:45,8.2417,8.2417,8.23,8.23,310
10:46,8.28,8.28,8.28,8.28,149
10:48,8.2894,8.29,8.2894,8.29,989
10:49,8.2366,8.2366,8.2366,8.2366,326
10:50,8.3,8.34,8.3,8.34,859
10:51,8.4,8.46,8.4,8.46,1046
10:52,8.4,8.4799,8,8.4,11016
10:54,8.16,8.16,8.0863,8.0863,221
10:55,8.06,8.16,8.06,8.16,902
10:56,8.3508,8.3508,8.1,8.1,3000
10:57,8.19,8.19,8.19,8.19,700
11:01,8.155,8.155,8.11,8.11,1234
11:02,8.11,8.11,8.1,8.1,1772
11:03,8.06,8.09,8.06,8.0602,4739
11:04,8.19,8.19,8.19,8.19,250
11:06,8.08,8.09,8.06,8.06,2128
11:07,8.15,8.15,8.06,8.131,598
11:09,8.06,8.0852,8.0389,8.0389,3035
11:10,8.06,8.06,8.02,8.02,1858
11:11,8.0397,8.05,8.01,8.04,2601
11:12,8.05,8.05,8.05,8.05,204
11:13,8.02,8.02,8.02,8.02,106
11:14,8.05,8.2,8.02,8.2,2426
11:17,8.169,8.169,8.0676,8.0676,654
11:18,8.1224,8.1224,8.05,8.05,2724
11:19,8.09,8.09,8.09,8.09,9094
11:23,8.01,8.015,8,8,3103
11:24,8.03,8.1825,8.03,8.1825,301
11:25,8.11,8.11,7.91,7.9102,4741
11:26,7.91,7.9824,7.84,7.84,2398
11:27,7.81,7.84,7.8,7.81,2858
11:28,7.825,7.844,7.8075,7.81,1573
11:29,7.8001,7.83,7.8001,7.81,4585
11:31,7.9423,7.9423,7.9423,7.9423,3000
11:32,7.91,7.91,7.9,7.9,312
11:33,7.89,7.89,7.86,7.87,869
11:34,7.9316,7.9399,7.9316,7.9399,200
11:41,7.9,7.94,7.9,7.94,378
11:42,8.1,8.1,8.01,8.01,3320
11:44,7.858,7.858,7.858,7.858,112
11:45,7.82,8.0061,7.82,7.8299,14585
11:47,7.8854,7.8854,7.82,7.8201,5013
11:48,7.82,7.85,7.6201,7.6201,4281
11:49,7.7415,7.7415,7.6396,7.6396,1367
11:50,7.62,7.6353,7.62,7.6353,7691
11:51,7.6222,7.6811,7.6222,7.6811,549
11:52,7.67,7.83,7.67,7.83,430
11:56,7.8214,7.8214,7.702,7.702,440
12:01,7.702,7.765,7.702,7.74,817
12:02,7.765,7.765,7.765,7.765,160
12:03,7.79,7.79,7.79,7.79,340
12:06,7.8,7.8,7.8,7.8,108
12:07,7.765,7.82,7.7479,7.7479,485
12:09,7.829,7.83,7.8194,7.8194,3704
12:10,7.765,7.83,7.765,7.83,243
12:12,7.8,7.8,7.77,7.77,301
