time,open,high,low,close,volume
11:58,2.25,2.25,2.25,2.25,100
12:12,2.22,2.22,2.22,2.22,100
12:55,2.0744,2.0744,2.0744,2.0744,500
12:57,2.23,2.23,2.23,2.23,157
13:12,2.06,2.1231,2.05,2.1231,4857
15:35,2.126,2.162577,1.965,2,4440
15:38,1.965,1.965,1.965,1.965,100
15:41,1.965,1.965,1.965,1.965,190
15:43,1.97,1.97,1.97,1.97,306
15:44,1.97,1.97,1.97,1.97,100
15:46,1.96,1.96,1.96,1.96,104
15:48,1.95,1.95,1.9348,1.9348,510
15:50,1.95,1.95,1.95,1.95,136
15:51,1.93,1.93,1.93,1.93,247
15:55,1.94,1.94,1.94,1.94,170
15:56,1.94,2.014501,1.93,1.93,1779
