time,open,high,low,close,volume
09:30,8.9999,8.9999,8.9999,8.9999,158
09:31,9,9,8.39,8.79,16962
09:32,8.8,8.99,8.8,8.9633,3394
09:33,8.895,8.895,8.895,8.895,385
09:34,8.9,9.46,8.85,9.46,8203
09:35,9.46,9.5,9.2415,9.2415,2560
09:36,9.425,9.5641,9.415,9.415,1243
09:37,9.2364,9.2364,9.2364,9.2364,161
09:38,9.3837,9.3837,9.24,9.24,439
09:39,9.22,9.3,9.1785,9.3,2430
09:40,9.2802,9.6,9.13,9.5375,5318
09:41,9.55,9.6249,9.55,9.6249,1988
09:42,9.64,9.67,9.64,9.67,2013
09:43,9.623,9.87,9.6,9.87,7655
09:44,9.98,9.98,9.71,9.96,3919
09:45,9.9346,10,9.78,9.9268,5466
09:46,9.8673,9.93,9.798,9.93,2095
09:47,9.78,10.02,9.78,10,7699
09:48,9.93,10.01,9.83,9.9354,3868
09:49,9.735,9.95,9.71,9.72,9424
09:50,9.8,9.835,9.8,9.8199,1848
09:51,9.82,9.82,9.7717,9.7717,2615
09:52,9.77,10.3,9.77,10.01,15629
09:53,10.15,10.1982,10.09,10.1805,2236
09:54,10.185,10.185,10,10.0826,1220
09:55,10.078,10.078,9.89,9.985,833
09:56,9.985,10.07,9.89,9.9,2764
09:57,9.9,10.04,9.9,10.02,1623
09:58,9.86,9.96,9.85,9.85,1145
09:59,9.86,9.965,9.86,9.965,784
10:00,9.71,9.71,9.13,9.64,17706
10:02,9.6399,9.6399,9.3,9.38,798
10:03,9.3758,9.53,9.3758,9.53,1188
10:04,9.6311,9.65,9.413,9.413,1320
10:05,9.71,9.71,9.71,9.71,189
10:07,9.6,9.6,9.6,9.6,1375
10:08,9.51,9.6592,9.5,9.6592,1486
10:09,9.43,9.69,9.43,9.555,378
10:10,9.4526,9.4526,9.4526,9.4526,433
10:11,9.44,9.5899,9.36,9.5899,995
10:13,9.5352,9.59,9.505,9.505,1961
10:14,9.5989,9.5989,9.56,9.56,323
10:15,9.41,9.59,9.41,9.59,629
10:17,9.5868,9.5915,9.5868,9.5915,680
10:18,9.4991,9.5,9.43,9.44,5150
10:21,9.5885,9.5885,9.43,9.43,1579
10:22,9.5774,9.5774,9.5774,9.5774,280
10:23,9.5869,9.6,9.46,9.6,3573
10:24,9.615,9.75,9.615,9.6831,1359
10:26,9.6839,9.6839,9.46,9.46,771
10:27,9.58,9.58,9.4801,9.4801,1033
10:29,9.5,9.5,9.5,9.5,110
10:30,9.48,9.49,9.48,9.49,686
10:31,9.45,9.46,9.44,9.44,1489
10:32,9.4926,9.4926,9.4926,9.4926,220
10:33,9.4101,9.4101,9.4101,9.4101,124
10:34,9.5,9.5,9.5,9.5,608
10:35,9.42,9.42,9.31,9.31,3355
10:37,9.4,9.4,9.31,9.31,1365
10:38,9.3863,9.395,9.31,9.31,354
10:39,9.395,9.395,9.395,9.395,580
10:40,9.395,9.4799,9.31,9.4799,1313
10:43,9.4658,9.4658,9.395,9.4658,784
10:44,9.46,9.48,9.46,9.48,785
10:46,9.69,9.69,9.51,9.51,303
10:47,9.6899,9.6899,9.51,9.51,290
10:48,9.6,9.6,9.6,9.6,295
10:51,9.55,9.5586,9.55,9.5586,892
10:52,9.57,9.57,9.57,9.57,163
10:54,9.51,9.51,9.51,9.51,383
10:55,9.5375,9.5375,9.5375,9.5375,755
10:57,9.5,9.5,9.47,9.47,1443
10:59,9.47,9.47,9.47,9.47,315
11:00,9.5,9.52,9.5,9.5,2806
11:01,9.48,9.48,9.48,9.48,261
11:03,9.48,9.48,9.48,9.48,362
11:08,9.45,9.5,9.45,9.5,1843
11:09,9.4301,9.4301,9.4301,9.4301,276
11:10,9.4941,9.4941,9.4941,9.4941,347
11:11,9.465,9.465,9.465,9.465,545
11:12,9.5,9.5,9.465,9.465,335
11:13,9.44,9.44,9.41,9.41,2362
11:15,9.49,9.49,9.31,9.31,1944
11:18,9.4,9.4,9.4,9.4,190
11:19,9.45,9.613,9.45,9.613,3849
11:20,9.53,9.55,9.53,9.55,605
11:23,9.53,9.5884,9.53,9.55,822
11:24,9.62,9.62,9.545,9.545,603
11:25,9.629,9.629,9.629,9.629,642
11:28,9.5945,9.63,9.57,9.57,1867
11:29,9.57,9.57,9.57,9.57,223
11:31,9.5101,9.5101,9.5101,9.5101,320
11:33,9.53,9.585,9.53,9.585,412
11:34,9.55,9.55,9.53,9.54,993
11:35,9.545,9.545,9.52,9.52,310
11:36,9.52,9.52,9.45,9.45,7595
11:38,9.435,9.435,9.435,9.435,350
11:39,9.32,9.4,9.32,9.4,508
11:41,9.4293,9.4293,9.4,9.4,267
11:42,9.31,9.31,9.31,9.31,120
11:45,9.3225,9.3225,9.31,9.31,317
11:47,9.31,9.31,9.31,9.31,119
11:48,9.3507,9.3507,9.3507,9.3507,137
11:49,9.31,9.31,9.31,9.31,101
11:50,9.3,9.3,9.29,9.29,2301
11:51,9.245,9.245,9.2118,9.2118,381
11:52,9.25,9.3,9.25,9.3,676
11:53,9.22,9.22,9.215,9.215,200
11:54,9.2925,9.2925,9.22,9.22,708
11:55,9.255,9.255,9.255,9.255,200
