time,open,high,low,close,volume
09:30,11.03,11.03,10.805,10.805,2272
09:34,10.6525,10.6525,10.4273,10.4273,2050
09:35,10.605,10.605,10.605,10.605,100
09:36,10.8,10.8,10.8,10.8,8035
09:37,10.8,10.8,10.8,10.8,1255
09:38,10.65,10.65,10.65,10.65,8000
09:39,10.7605,10.8,10.7605,10.8,8601
09:40,10.8,10.8,10.8,10.8,7736
09:42,10.63,10.63,10.63,10.63,16107
09:47,10.67,10.67,10.67,10.67,16000
09:48,10.65,10.7,10.6,10.6985,600
09:51,10.61,10.61,10.4,10.535,13701
09:53,10.39,10.4,10.39,10.4,8800
09:55,10.275,10.275,10.275,10.275,240
09:58,10.17,10.17,10.17,10.17,16340
10:01,10.25,10.25,10.185,10.25,16958
10:03,10.11,10.11,10,10,10898
10:04,9.9,9.9,9.9,9.9,553
10:05,9.8,9.96,9.8,9.96,263
10:07,9.9,9.9,9.9,9.9,710
10:08,10,10,9.9,9.9,379
10:09,9.8998,10.135,9.8955,10.135,1306
10:10,10.19,10.19,10.15,10.15,817
10:12,9.99,9.99,9.99,9.99,8022
10:13,9.7635,9.955,9.76,9.76,2867
10:14,9.689,9.689,9.689,9.689,140
10:16,9.9,9.9,9.9,9.9,194
10:18,9.61,9.63,9.6,9.6,660
10:19,9.51,9.51,9.5,9.505,607
10:29,9.5,9.5,9.5,9.5,172
10:33,9.51,9.51,9.5,9.51,631
10:36,9.5,9.5,9.12,9.2,3777
10:38,9.25,9.25,9.21,9.21,502
10:40,9.267,9.267,9.1,9.1,1037
10:41,9.02,9.05,9,9.04,1228
10:42,8.98,8.9898,8.8273,8.9898,1294
10:43,9,9.12,8.99,9.1,9761
10:45,8.95,9,8.9,8.94,9067
10:46,8.841,8.945,8.841,8.93,1174
10:47,8.9265,8.9265,8.71,8.8437,1210
10:48,8.84,8.84,8.6,8.6,8513
10:49,8.5,8.5,8.41,8.5,2319
10:50,8.5,8.5,8.5,8.5,321
10:51,8.51,8.55,8.51,8.55,2715
10:52,8.51,8.7,8.51,8.7,2000
10:53,8.825,8.865,8.81,8.865,1422
10:54,8.9707,8.9707,8.75,8.75,8958
10:55,8.905,8.905,8.81,8.81,620
10:56,8.7,8.9,8.7,8.89,767
10:58,8.76,8.76,8.76,8.76,228
10:59,8.76,8.96,8.76,8.95,2987
11:00,8.93,8.93,8.93,8.93,112
11:04,8.75,8.84,8.6,8.72,9565
11:07,8.89,8.89,8.81,8.89,554
11:08,8.91,8.91,8.91,8.91,354
11:15,8.91,8.91,8.91,8.91,115
11:17,8.95,8.95,8.95,8.95,571
11:18,8.9999,9,8.9,9,9607
11:19,8.92,9,8.92,9,345
11:20,9.05,9.075,9.05,9.05,7104
11:33,9.2,9.2,9.2,9.2,278
11:35,9.145,9.145,9.145,9.145,145
11:51,9.15,9.15,9.15,9.15,432
11:52,9.16,9.18,9.11,9.18,7971
11:53,9.24,9.24,9.24,9.24,1407
11:54,9.6,9.6,9.6,9.6,2051
11:55,9.41,9.48,9.25,9.25,6573
11:58,9.13,9.31,9.122,9.15,530
12:05,9.15,9.45,9.15,9.45,16543
12:07,9.2,9.2,9.2,9.2,8034
12:08,9.43,9.44,9.42,9.44,1502
12:09,9.43,9.43,9.2067,9.2067,353
12:11,9.45,9.45,9.31,9.31,8157
12:12,9.45,9.45,9.34,9.34,340
12:14,9.6475,9.805,9.64,9.75,2071
12:15,9.655,9.655,9.655,9.655,278
12:18,9.65,9.65,9.65,9.65,10108
12:19,9.4766,9.73,9.4766,9.725,1315
12:22,9.8434,9.8434,9.8434,9.8434,336
12:27,9.75,9.75,9.75,9.75,10018
12:28,9.78,9.81,9.61,9.805,9878
12:29,9.65,9.73,9.64,9.65,8001
12:30,9.66,9.66,9.66,9.66,358
12:38,9.7999,9.7999,9.7999,9.7999,1787
12:41,9.8,9.83,9.8,9.83,312
12:52,9.805,9.9,9.805,9.9,8006
12:53,9.9,9.9,9.9,9.9,586
12:55,10,10,10,10,336
12:56,10.1325,10.1325,10.1325,10.1325,100
13:07,10,10,10,10,648
13:09,10.0224,10.0224,10.0224,10.0224,200
13:10,9.99,9.99,9.98,9.99,8200
13:11,10.1,10.1,10.1,10.1,160
13:14,10.15,10.15,10.15,10.15,8100
13:18,10.15,10.15,10.15,10.15,8000
13:20,10.05,10.24,10.05,10.24,8104
13:27,10.2,10.2,10.2,10.2,8164
13:33,10.24,10.24,10.24,10.24,8500
13:37,10.2,10.2,10.2,10.2,8500
13:39,10.24,10.24,10.24,10.24,8514
13:41,10.2,10.2,10.2,10.2,5010
13:42,10.45,10.45,10.24,10.24,5100
13:44,10.24,10.24,10.24,10.24,8595
13:45,10.27,10.28,10.27,10.28,485
13:46,10.27,10.45,10.27,10.28,8743
13:47,10.25,10.25,10.25,10.25,8069
13:48,10.25,10.25,10.25,10.25,8000
13:50,10.25,10.25,10.25,10.25,8933
13:51,10.28,10.28,10.25,10.25,9662
13:52,10.15,10.15,10.11,10.11,700
13:55,10.11,10.11,9.88,9.88,1164
13:56,9.9,9.9,9.9,9.9,123
13:57,9.86,9.87,9.66,9.66,11052
14:00,9.38,9.38,9.38,9.38,132
14:06,9.66,9.7,9.66,9.7,16741
14:07,9.7,9.7,9.39,9.39,424
14:10,9.59,9.59,9.59,9.59,107
14:11,9.75,9.75,9.75,9.75,5000
14:12,9.79,9.79,9.79,9.79,5000
14:14,9.7,9.7,9.7,9.7,8000
14:15,9.54,9.7,9.54,9.7,8100
14:17,9.59,9.72,9.59,9.72,8601
14:18,9.57,9.57,9.57,9.57,100
14:19,9.73,9.73,9.73,9.73,8646
14:21,9.71,9.71,9.71,9.71,16920
14:22,9.56,9.56,9.56,9.56,270
14:23,9.68,9.68,9.58,9.58,17144
14:24,9.62,9.62,9.55,9.59,16983
14:26,9.605,9.605,9.605,9.605,100
14:27,9.65,9.66,9.56,9.57,17418
14:29,9.6599,9.7,9.4928,9.7,10033
14:30,9.86,10,9.6752,10,3035
14:32,10.08,10.08,10.08,10.08,5005
14:34,10.105,10.105,10.0001,10.0001,5804
14:35,10.15,10.15,10,10,500
14:36,10,10,9.95,9.95,322
14:37,9.92,9.95,9.91,9.94,1431
14:39,10.01,10.05,10.01,10.05,7491
14:41,10.07,10.07,10.07,10.07,8000
14:47,9.99,9.99,9.99,9.99,159
14:48,9.93,9.93,9.93,9.93,100
14:49,10,10,9.95,10,8658
14:52,10.14,10.14,9.96,9.96,8086
14:53,10.01,10.01,9.99,9.99,8010
14:55,10.075,10.075,10.075,10.075,300
14:56,9.99,10,9.99,10,10319
14:57,9.7931,10.04,9.7931,10.04,2581
14:58,10.0399,10.04,9.67,10.04,3818
14:59,10.06,10.15,10.06,10.15,5401
15:00,10.12,10.2657,10.12,10.25,612
15:01,10.25,10.25,10.11,10.11,1281
15:02,10.06,10.06,10,10,882
15:03,10.1,10.1,10.1,10.1,100
15:04,10.16,10.27,10.16,10.27,5608
15:05,10.25,10.3,10.25,10.295,6455
15:07,10.3694,10.4499,10.32,10.3448,3033
15:08,10.4303,10.45,10.3694,10.45,6107
15:09,10.5,10.57,10.5,10.57,1061
15:10,10.62,10.64,10.41,10.41,16080
15:12,10.36,10.38,10.36,10.38,500
15:15,10.5,10.5,10.4,10.4,1122
15:18,10.48,10.48,10.3101,10.3101,1384
15:19,10.41,10.41,10.225,10.32,6201
15:21,9.7163,9.81,9.66,9.66,363
15:33,9.81,9.81,9.8,9.8,910
15:34,9.81,9.82,9.79,9.82,1541
15:39,9.795,9.795,9.795,9.795,150
15:55,9.84,9.84,9.84,9.84,251
15:59,9.84,9.88,9.75,9.75,1781
