time,open,high,low,close,volume
09:30,13.11,13.11,13,13,3028
09:31,13,13,13,13,149
09:32,13.01,13.0499,12.8701,13.0499,14421
09:33,13.01,13.01,12.87,12.87,5438
09:34,12.85,12.9518,12.84,12.9518,1070
09:35,12.74,12.74,12.39,12.665,7779
09:36,12.845,12.845,12.66,12.7,2556
09:37,12.6833,12.6833,12.6095,12.6095,5139
09:38,12.575,12.99,12.575,12.99,10710
09:39,13.08,13.32,12.99,13.22,2879
09:40,13.3134,13.32,13.01,13.2975,3501
09:41,13.2908,13.2908,13.0755,13.17,6221
09:42,13.16,13.16,13.0852,13.09,2532
09:43,13.1,13.11,12.91,12.91,5020
09:44,12.82,12.82,12.69,12.705,3005
09:45,12.7452,12.7452,12.69,12.7432,3468
09:46,12.68,12.68,12.41,12.41,7061
09:47,12.402,12.69,12.4,12.69,8424
09:48,12.74,12.8142,12.62,12.79,1871
09:49,12.79,13.0671,12.79,13.0671,2458
09:50,13.1051,13.3152,13.1051,13.3152,13671
09:51,13.28,13.3998,13.24,13.3428,9317
09:52,13.2629,13.4999,13.2629,13.45,3607
09:53,13.4073,13.4073,13.08,13.27,11691
09:54,13.15,13.2514,13.09,13.1,4774
09:55,13.145,13.25,13.145,13.25,2808
09:56,13.145,13.145,13.0831,13.108,1021
09:57,13.2236,13.2236,12.82,12.9,4963
09:58,12.9034,12.95,12.7159,12.721,3983
09:59,12.78,12.84,12.7,12.8199,10333
10:00,12.8016,12.8022,12.62,12.6355,15586
10:01,12.65,12.67,12.63,12.6486,2111
10:02,12.6605,12.6605,12.595,12.595,810
10:03,12.5,12.59,12.475,12.5286,7889
10:04,12.5286,12.6,12.523,12.5881,2470
10:05,12.55,12.55,12.55,12.55,147
10:06,12.57,12.67,12.5153,12.67,2235
10:08,12.665,12.665,12.665,12.665,148
10:09,12.5459,12.5459,12.5459,12.5459,107
10:11,12.615,12.615,12.6082,12.6082,2034
10:12,12.5648,12.5648,12.4,12.4,8990
10:13,12.38,12.41,12.351,12.3638,3192
10:14,12.35,12.35,12.3,12.31,2517
10:15,12.3061,12.375,12.28,12.35,1397
10:16,12.31,12.335,12.26,12.28,1887
10:17,12.222,12.2571,12.222,12.255,898
10:18,12.29,12.43,12.29,12.43,2427
10:19,12.44,12.44,12.44,12.44,101
10:21,12.459,12.459,12.342,12.342,605
10:23,12.4052,12.4052,12.15,12.15,3096
10:24,12.15,12.15,12.12,12.12,2161
10:25,12.1,12.12,12.085,12.1,1975
10:26,12.1,12.15,12.1,12.15,1653
10:27,12.18,12.18,12.18,12.18,553
10:28,12.18,12.34,12.18,12.34,653
10:29,12.165,12.2229,12.165,12.2229,1265
10:30,12.1101,12.3186,12.1101,12.3186,1135
10:31,12.23,12.3156,12.23,12.3156,1072
10:32,12.2147,12.31,12.21,12.21,2957
10:33,12.1001,12.21,12.1001,12.18,2646
10:34,12.2551,12.2551,12.2551,12.2551,433
10:36,12.165,12.165,12.165,12.165,576
10:38,12.0829,12.26,12.0829,12.26,967
10:40,12.21,12.27,12.2,12.265,1836
10:41,12.3002,12.3002,12.3002,12.3002,373
10:43,12.1029,12.155,11.93,11.96,4560
10:44,11.9043,12.01,11.9,11.91,4320
10:45,11.96,12.05,11.96,12.05,3406
10:46,12.05,12.05,12.03,12.04,921
10:47,12.0342,12.0342,12.0342,12.0342,303
10:48,11.9188,11.9188,11.9188,11.9188,501
10:49,11.93,12.02,11.93,12.02,1141
10:50,12.03,12.16,12.03,12.115,1106
10:51,12.1656,12.22,12.13,12.1662,4195
10:52,12.2,12.23,12.15,12.23,2544
10:53,12.16,12.217,12.16,12.16,523
10:54,12.11,12.115,12.11,12.115,366
10:55,12.1846,12.1846,12.1846,12.1846,266
10:56,12.1988,12.1988,12.17,12.17,380
10:57,12.1868,12.1868,12.1868,12.1868,329
10:59,12.125,12.15,12.125,12.15,903
11:00,12.17,12.2,12.17,12.2,1664
11:03,12.2,12.2,12.2,12.2,167
11:04,12.1678,12.1678,12.1678,12.1678,5046
11:05,12.27,12.29,12.1633,12.1633,667
11:08,12.3556,12.3556,12.3556,12.3556,420
11:09,12.295,12.305,12.295,12.305,1618
11:10,12.3599,12.3599,12.3599,12.3599,200
11:13,12.31,12.31,12.31,12.31,311
11:15,12.3489,12.3489,12.3489,12.3489,500
11:16,12.34,12.34,12.34,12.34,112
11:17,12.35,12.35,12.26,12.26,590
11:18,12.26,12.26,12.26,12.26,132
11:23,12.19,12.19,12.16,12.185,1543
11:24,12.135,12.21,12.0443,12.21,1606
11:26,12.1525,12.1525,12.1525,12.1525,166
11:30,12.18,12.1864,12.18,12.18,1208
11:31,12.18,12.18,12.18,12.18,120
11:34,12.13,12.13,12.05,12.13,6126
11:35,12.135,12.135,12.135,12.135,722
11:38,12.13,12.13,12.0601,12.0601,502
11:39,12.06,12.11,12.0534,12.105,561
11:41,12.105,12.1591,12.105,12.1591,813
11:45,12.15,12.235,12.15,12.235,1896
11:47,12.26,12.26,12.26,12.26,246
11:52,12.32,12.32,12.305,12.305,237
11:53,12.3225,12.3225,12.32,12.32,332
11:55,12.38,12.38,12.38,12.38,103
11:56,12.35,12.38,12.35,12.38,551
11:57,12.38,12.38,12.38,12.38,124
12:01,12.45,12.54,12.45,12.54,2084
12:02,12.5999,12.7055,12.5999,12.68,4999
12:03,12.7521,12.7521,12.7521,12.7521,210
12:04,12.6771,12.76,12.6771,12.688,7007
12:06,12.7654,12.92,12.7654,12.92,2310
12:08,12.9321,12.9321,12.8573,12.8573,920
12:09,12.95,12.95,12.95,12.95,318
12:10,12.94,12.94,12.94,12.94,111
12:11,12.8891,12.897,12.8891,12.897,934
12:12,12.88,12.8865,12.74,12.7486,7088
12:13,12.75,12.75,12.6046,12.6046,2480
12:14,12.7397,12.7397,12.7397,12.7397,200
12:16,12.74,12.74,12.74,12.74,262
12:17,12.7754,12.7754,12.705,12.75,1012
12:20,12.775,12.775,12.775,12.775,388
12:21,12.7728,12.7728,12.7554,12.7554,442
12:22,12.6777,12.6777,12.67,12.67,228
12:23,12.6,12.6,12.6,12.6,334
12:24,12.66,12.67,12.66,12.66,1613
12:29,12.6,12.6,12.6,12.6,288
12:31,12.6,12.6,12.6,12.6,108
12:33,12.595,12.6721,12.595,12.6721,398
12:43,12.575,12.575,12.575,12.575,196
12:46,12.61,12.61,12.61,12.61,500
12:50,12.55,12.55,12.55,12.55,937
12:51,12.48,12.48,12.48,12.48,546
12:52,12.4845,12.54,12.4845,12.54,356
12:54,12.5927,12.5927,12.5927,12.5927,510
12:58,12.54,12.55,12.54,12.55,253
12:59,12.55,12.64,12.55,12.64,1004
13:00,12.5721,12.5721,12.5721,12.5721,246
13:01,12.56,12.56,12.48,12.48,2521
13:04,12.49088,12.525,12.49088,12.51,1849
13:07,12.5676,12.5676,12.52,12.52,420
13:08,12.55,12.55,12.55,12.55,104
13:09,12.54,12.54,12.5117,12.5117,705
13:10,12.5116,12.5116,12.495,12.495,969
13:11,12.455,12.455,12.455,12.455,247
13:12,12.46,12.46,12.46,12.46,110
13:13,12.5,12.5,12.5,12.5,330
13:15,12.5884,12.5884,12.5884,12.5884,320
13:19,12.475,12.475,12.475,12.475,351
13:23,12.55,12.55,12.475,12.475,300
13:31,12.55,12.585,12.55,12.57,1018
13:32,12.65,12.65,12.65,12.65,288
13:37,12.6363,12.6363,12.6363,12.6363,301
13:42,12.645,12.645,12.645,12.645,596
13:45,12.6854,12.6854,12.64,12.64,210
13:47,12.6115,12.6115,12.54,12.54,1234
13:54,12.525,12.5305,12.525,12.5305,660
13:55,12.53,12.53,12.48,12.48,388
13:56,12.503,12.503,12.503,12.503,500
13:57,12.4706,12.4761,12.4706,12.4761,903
13:58,12.5,12.5,12.4905,12.4905,833
14:01,12.475,12.475,12.4346,12.4346,1075
14:02,12.54,12.54,12.54,12.54,601
14:03,12.472,12.472,12.47,12.47,1325
14:04,12.5386,12.5386,12.5386,12.5386,232
14:09,12.4871,12.4871,12.4871,12.4871,522
14:10,12.455,12.455,12.455,12.455,360
14:12,12.43,12.43,12.4193,12.4193,632
14:13,12.4,12.47,12.4,12.47,602
14:14,12.45,12.45,12.45,12.45,312
14:15,12.475,12.475,12.475,12.475,142
14:17,12.475,12.475,12.475,12.475,163
14:18,12.4,12.435,12.4,12.435,410
14:21,12.435,12.435,12.435,12.435,112
14:22,12.4,12.43,12.4,12.43,670
14:23,12.4,12.4,12.4,12.4,164
14:24,12.405,12.405,12.36,12.36,988
14:25,12.34,12.34,12.34,12.34,282
14:26,12.3,12.3,12.3,12.3,257
14:30,12.35,12.35,12.35,12.35,686
14:31,12.4,12.4,12.4,12.4,330
14:37,12.35,12.35,12.34,12.35,653
14:38,12.39,12.39,12.39,12.39,628
14:41,12.34,12.3515,12.34,12.3515,1061
14:42,12.3835,12.3835,12.3835,12.3835,106
14:43,12.4,12.48,12.378,12.48,8685
14:44,12.44,12.455,12.44,12.455,443
14:46,12.46,12.89,12.46,12.795,20427
14:47,12.76,12.76,12.69,12.72,639
14:48,12.74,12.74,12.72,12.72,223
14:49,12.74,12.74,12.74,12.74,114
14:53,12.645,12.645,12.645,12.645,415
14:54,12.6412,12.6412,12.6355,12.6355,441
14:56,12.6954,12.6954,12.56,12.56,1175
14:59,12.65,12.65,12.65,12.65,994
15:00,12.62,12.62,12.62,12.62,110
15:01,12.623,12.623,12.623,12.623,143
15:02,12.62,12.62,12.59,12.59,723
15:04,12.535,12.535,12.535,12.535,169
15:05,12.53,12.53,12.53,12.53,144
15:06,12.5855,12.5855,12.5855,12.5855,192
15:07,12.58,12.588,12.54,12.54,1000
15:08,12.535,12.535,12.535,12.535,818
15:12,12.4855,12.51,12.47,12.48,1611
15:13,12.42,12.42,12.42,12.42,227
15:15,12.48,12.48,12.48,12.48,881
15:20,12.5,12.54,12.49,12.54,873
15:22,12.575,12.6,12.575,12.58,2703
15:24,12.6487,12.6487,12.6487,12.6487,278
15:25,12.69,12.69,12.59,12.68,7564
15:26,12.6501,12.6501,12.6501,12.6501,501
15:27,12.5973,12.5973,12.57,12.57,1456
15:28,12.4858,12.4858,12.4858,12.4858,204
15:29,12.5528,12.5528,12.5528,12.5528,1005
15:30,12.56,12.6,12.55,12.6,1129
15:32,12.5914,12.5914,12.5914,12.5914,353
15:35,12.5927,12.64,12.5927,12.64,692
15:36,12.646,12.7,12.61,12.61,1596
15:39,12.5212,12.605,12.5212,12.605,320
15:40,12.595,12.595,12.595,12.595,224
15:41,12.595,12.595,12.595,12.595,101
15:42,12.595,12.595,12.595,12.595,368
15:45,12.64,12.65,12.64,12.64,338
15:47,12.585,12.61,12.57,12.57,2594
15:49,12.575,12.575,12.575,12.575,316
15:50,12.58,12.58,12.575,12.575,984
15:51,12.61,12.64,12.605,12.605,3024
15:52,12.6,12.6,12.585,12.59,1692
15:53,12.59,12.595,12.56,12.56,2529
15:54,12.595,12.595,12.56,12.585,803
15:55,12.585,12.64,12.57,12.615,4250
15:56,12.615,12.615,12.535,12.55,7689
15:57,12.56,12.56,12.55,12.555,1082
15:58,12.555,12.695,12.55,12.57,19186
15:59,12.6,12.69,12.52,12.69,8792
16:00,12.72,12.72,12.72,12.72,1908
