time,open,high,low,close,volume
09:30,1.17,1.17,1.17,1.17,695
09:39,1.14,1.15,1.14,1.1499,5127
09:40,1.0955,1.13,1.0955,1.13,1100
09:41,1.13,1.13,1.1299,1.1299,200
09:53,1.1,1.1,1.1,1.1,1000
09:54,1.07,1.0701,1.07,1.07,2425
09:55,1.1,1.1,1.07,1.0701,1238
09:56,1.1,1.13,1.1,1.13,1100
10:12,1.13,1.14,1.13,1.14,4100
10:16,1.15,1.1501,1.14,1.1501,2524
10:22,1.14,1.1401,1.14,1.1401,2000
10:24,1.149,1.149,1.149,1.149,100
10:32,1.149,1.149,1.149,1.149,1000
10:36,1.152592,1.152592,1.152592,1.152592,500
10:40,1.14,1.1469,1.14,1.1469,1166
10:54,1.147,1.147,1.14,1.14,2000
10:55,1.15,1.15,1.15,1.15,100
11:01,1.14,1.15,1.14,1.15,1122
11:07,1.1476,1.1476,1.1476,1.1476,300
11:11,1.14,1.153,1.14,1.153,1033
11:12,1.14,1.1401,1.14,1.1401,1000
11:13,1.14,1.16,1.14,1.16,1500
11:14,1.149,1.149,1.14,1.14,1000
11:21,1.149,1.149,1.149,1.149,220
11:28,1.14,1.14,1.06,1.083,18900
11:37,1.115,1.13,1.115,1.13,650
11:41,1.15,1.15,1.15,1.15,1800
11:57,1.1278,1.1278,1.1278,1.1278,500
12:00,1.13,1.1449,1.0901,1.1449,1600
12:04,1.09,1.0901,1.09,1.0901,200
12:08,1.09,1.0901,1.09,1.0901,200
12:20,1.1,1.1,1.1,1.1,450
12:23,1.09,1.0901,1.09,1.0901,600
12:38,1.0914,1.0914,1.0914,1.0914,139
12:41,1.09,1.0901,1.09,1.0901,3600
12:50,1.09,1.09,1.09,1.09,153
13:00,1.1,1.1,1.1,1.1,200
13:11,1.0861,1.0861,1.0861,1.0861,1315
13:14,1.07,1.0701,1.07,1.0701,500
13:21,1.0949,1.0949,1.0949,1.0949,300
13:22,1.0949,1.0949,1.0949,1.0949,200
13:46,1.1,1.1,1.1,1.1,505
13:47,1.11,1.11,1.11,1.11,173
13:49,1.12,1.12,1.12,1.12,600
13:57,1.105,1.1055,1.105,1.1055,1308
13:59,1.11,1.11,1.1099,1.1099,202
14:07,1.1,1.1,1.1,1.1,2000
14:10,1.0849,1.0855,1.0849,1.0855,2750
14:12,1.085,1.085,1.085,1.085,250
14:13,1.0881,1.0881,1.0881,1.0881,300
14:14,1.0846,1.0846,1.08,1.08,1300
14:15,1.0846,1.0846,1.0846,1.0846,1000
14:19,1.08,1.0801,1.08,1.08,1439
14:22,1.0807,1.0807,1.0807,1.0807,2720
14:24,1.08,1.0836,1.078,1.083,3040
14:25,1.0819,1.0819,1.0819,1.0819,1000
14:26,1.083,1.083,1.0808,1.0808,2183
14:27,1.07,1.08,1.06,1.075,12601
14:28,1.05,1.0601,1.05,1.0601,4000
14:29,1.0682,1.09,1.0682,1.09,3000
14:30,1.06,1.0749,1.06,1.0749,3100
14:31,1.066,1.09,1.03,1.0501,8400
14:32,1.065,1.0716,1.04,1.0716,4000
14:33,1.0762,1.0762,1.0608,1.0608,4000
14:34,1.06,1.0749,1.0501,1.062,3600
14:35,1.0501,1.0501,1.05,1.05,3505
14:36,1.04,1.04,1.04,1.04,4001
14:37,1.03,1.0349,1.02,1.0349,8102
14:38,1.0175,1.0262,1.01,1.0262,3007
14:39,1.01,1.0262,1.01,1.02,9979
14:40,1.02,1.0201,1.01,1.01,6769
14:41,1.03,1.03,1.03,1.03,500
14:42,1.02,1.02,1.02,1.02,405
14:43,1.0254,1.0254,1.0254,1.0254,1002
14:45,1.0242,1.0242,1.0242,1.0242,1002
14:46,1.02,1.03,1.01,1.0298,7614
14:47,1.025,1.03,1.025,1.03,700
14:48,1.025,1.025,1.02,1.02,4120
14:49,1.0144,1.02,1.0144,1.02,1774
14:50,1.035,1.035,1.035,1.035,3000
14:51,1.02,1.0287,1.02,1.0287,4600
14:52,1.01,1.0299,1,1.005,17873
14:53,0.99,1.005,0.99,1.005,4912
14:54,0.99,1.02,0.99,0.9901,5200
14:55,1.0055,1.0055,0.98,1,1500
14:56,0.99,0.99,0.98,0.99,7254
14:57,0.9887,0.9926,0.98,0.9926,2200
14:58,0.9812,1,0.98,0.9813,8375
14:59,0.9825,0.985,0.9825,0.985,700
15:00,0.99,0.9981,0.99,0.995,2500
15:01,0.995,0.9953,0.99,0.9953,7432
15:02,0.9965,1.01,0.995,0.9999,11202
15:03,1.01,1.04,1.0099,1.0101,3600
15:05,1.02,1.05,1.02,1.0499,15700
15:06,1.05,1.06,1.05,1.06,1400
15:07,1.06,1.08,1.06,1.08,10100
15:11,1.0713,1.1,1.0713,1.1,11096
15:15,1.085,1.085,1.085,1.085,1000
15:19,1.1,1.1,1.0854,1.0854,3000
15:20,1.085,1.085,1.085,1.085,100
15:26,1.0757,1.0757,1.0757,1.0757,101
15:29,1.085,1.1,1.085,1.09,5318
15:30,1.079,1.079,1.079,1.079,480
15:31,1.0862,1.0862,1.0862,1.0862,2000
15:36,1.0871,1.1,1.0871,1.1,1500
15:41,1.0786,1.0837,1.0786,1.0837,840
15:42,1.085,1.085,1.085,1.085,500
15:43,1.0813,1.0813,1.0813,1.0813,130
15:45,1.0862,1.0862,1.0862,1.0862,1000
15:46,1.1,1.1,1.0838,1.0838,2507
15:48,1.07,1.07,1.07,1.07,1414
15:54,1.0745,1.08,1.0745,1.08,2413
15:56,1.0769,1.0769,1.0769,1.0769,150
15:58,1.07,1.09,1.07,1.09,767
15:59,1.09,1.09,1.02,1.02,4207
