time,open,high,low,close,volume
09:30,8.59,8.738,8.42,8.738,69303
09:31,8.74,9.045,8.7,9.045,63802
09:32,9.09,9.2289,9.05,9.15,20082
09:33,9.15,9.2499,9.13,9.2,17954
09:34,9.17,9.234,9,9.1,28222
09:35,9.14,9.39,9.1,9.3,25187
09:36,9.24,9.39,9.23,9.3608,14455
09:37,9.41,9.43,9.35,9.365,7355
09:38,9.34,9.41,9.28,9.36,7786
09:39,9.39,9.4066,9.38,9.4066,2013
09:40,9.39,9.39,9.29,9.36,8713
09:41,9.36,9.36,9.2015,9.2133,6233
09:42,9.242,9.27,9.15,9.27,11018
09:43,9.27,9.27,9.19,9.195,3815
09:44,9.205,9.22,9.18,9.21,6244
09:45,9.21,9.21,9.08,9.18,8462
09:46,9.141,9.18,9.1,9.1,4734
09:47,9.0702,9.13,9.07,9.13,4638
09:48,9.134,9.1552,9.082,9.1205,4463
09:49,9.125,9.15,9.125,9.13,904
09:50,9.15,9.29,9.13,9.18,18034
09:51,9.18,9.23,9.08,9.09,8632
09:52,9.15,9.15,9.05,9.05,682
09:53,9.06,9.1292,9.06,9.1292,6125
09:54,9.085,9.13,9.05,9.1,3888
09:55,9.1,9.2,9.09,9.09,6087
09:56,9.05,9.11,9.03,9.07,7387
09:57,9.08,9.11,9.08,9.11,315
09:58,9.13277,9.22,9.08,9.19,20652
09:59,9.22,9.2494,9.06,9.08,7448
10:00,9.13,9.13,9.07,9.07,1306
10:01,9.12,9.12,9.08,9.12,1937
10:02,9.084,9.34,9.06,9.31,20064
10:03,9.31,9.34,9.27,9.27,3589
10:04,9.32,9.35,9.3,9.325,2158
10:05,9.34,9.43,9.34,9.42,5208
10:06,9.426,9.515,9.42,9.48,7085
10:07,9.49,9.49,9.4,9.42,8721
10:08,9.49,9.49,9.29,9.351,10938
10:09,9.28,9.32,9.28,9.32,759
10:10,9.29,9.49,9.28,9.47,10052
10:11,9.505,9.55,9.47,9.52,9745
10:12,9.49,9.49,9.38,9.38,4242
10:13,9.415,9.435,9.37,9.4,3560
10:14,9.45,9.5241,9.45,9.49,2652
10:15,9.49,9.53,9.46,9.49,6314
10:16,9.5,9.5699,9.5,9.535,5054
10:17,9.535,9.535,9.5,9.535,7295
10:18,9.535,9.62,9.51,9.55,6825
10:19,9.58,9.62,9.56,9.6,3329
10:20,9.57,9.585,9.47,9.47,5977
10:21,9.49,9.52,9.48,9.495,1880
10:22,9.51,9.53,9.48,9.52,5235
10:23,9.52,9.52,9.47,9.47,2451
10:24,9.45,9.56,9.45,9.51,3613
10:25,9.5,9.505,9.48,9.505,1358
10:26,9.505,9.53,9.4912,9.5,1449
10:27,9.5,9.525,9.46,9.46,6772
10:28,9.485,9.51,9.45,9.45,1917
10:29,9.46,9.46,9.4,9.4266,5119
10:30,9.4175,9.42,9.38,9.4,5353
10:31,9.42,9.59,9.4,9.5865,15676
10:32,9.51,9.565,9.4709,9.56,18108
10:33,9.5,9.5,9.44,9.5,4510
10:34,9.49,9.6,9.49,9.57,2977
10:35,9.61,9.61,9.5,9.54,10621
10:36,9.51,9.55,9.44,9.55,10100
10:37,9.525,9.55,9.51,9.51,1956
10:38,9.545,9.545,9.5,9.5,2014
10:39,9.49,9.49,9.46,9.46,715
10:41,9.5,9.54,9.49,9.535,4101
10:42,9.53,9.54,9.47,9.49,4358
10:43,9.48,9.5166,9.45,9.485,3606
10:44,9.47,9.48,9.4001,9.41,4803
10:45,9.43,9.43,9.41,9.43,1463
10:46,9.425,9.44,9.33,9.33,9063
10:47,9.355,9.38,9.355,9.38,1408
10:48,9.38,9.43,9.37,9.43,3567
10:49,9.41,9.41,9.41,9.41,1201
10:50,9.4093,9.415,9.38,9.39,3093
10:51,9.38,9.38,9.36,9.37,4711
10:52,9.3703,9.41,9.3703,9.4,3966
10:53,9.415,9.42,9.39,9.4,3306
10:54,9.4,9.41,9.38,9.38,4532
10:55,9.35,9.36,9.32,9.34,5084
10:56,9.32,9.355,9.32,9.355,1339
10:57,9.36,9.375,9.325,9.33,8552
10:58,9.33,9.33,9.33,9.33,632
10:59,9.35,9.39,9.35,9.35,8740
11:00,9.365,9.365,9.3234,9.3234,1940
11:01,9.335,9.35,9.3033,9.3033,3358
11:02,9.3033,9.33,9.28,9.29,4812
11:03,9.29,9.31,9.29,9.31,1783
11:04,9.3,9.32,9.3,9.3001,2997
11:05,9.32,9.35,9.3,9.35,2966
11:06,9.36,9.37,9.36,9.37,1429
11:07,9.37,9.37,9.37,9.37,436
11:08,9.38,9.46,9.38,9.46,7469
11:09,9.46,9.51,9.46,9.51,3047
11:10,9.545,9.545,9.52,9.535,1415
11:11,9.53,9.535,9.48,9.485,4952
11:12,9.45,9.49,9.37,9.4,16680
11:13,9.43,9.44,9.41,9.41,1361
11:14,9.4,9.44,9.4,9.43,2411
11:15,9.41,9.41,9.39,9.39,1458
11:16,9.395,9.4,9.395,9.4,674
11:17,9.4,9.4,9.39,9.39,1931
11:18,9.4,9.44,9.4,9.43,3810
11:19,9.435,9.44,9.43,9.43,1397
11:20,9.44,9.44,9.36,9.37,7707
11:21,9.38,9.38,9.37,9.37,500
11:22,9.36,9.36,9.35,9.36,1827
11:23,9.35,9.35,9.31,9.31,1762
11:24,9.3,9.3,9.3,9.3,534
11:25,9.29,9.29,9.29,9.29,749
11:26,9.29,9.29,9.26,9.26,2859
11:27,9.255,9.29,9.24,9.27,5887
11:28,9.27,9.2783,9.24,9.26,1897
11:29,9.248,9.275,9.248,9.275,1794
11:30,9.275,9.275,9.275,9.275,246
11:31,9.28,9.29,9.275,9.285,1970
11:32,9.285,9.31,9.2801,9.295,2392
11:33,9.295,9.46,9.295,9.45,23380
11:34,9.48,9.5,9.48,9.48,2916
11:35,9.48,9.48,9.44,9.44,2532
11:36,9.44,9.44,9.42,9.42,4678
11:37,9.44,9.465,9.44,9.465,1858
11:38,9.455,9.455,9.43,9.43,2615
11:39,9.44,9.44,9.44,9.44,1064
