time,open,high,low,close,volume
09:30,2.53,2.56,2.53,2.56,4574
09:31,2.5599,2.74,2.5599,2.652,38730
09:32,2.6687,2.6687,2.6265,2.66,2704
09:33,2.65,2.67,2.65,2.67,733
09:34,2.6698,2.75,2.6698,2.75,4411
09:35,2.735,2.735,2.735,2.735,228
09:36,2.71,2.71,2.7,2.7031,4634
09:37,2.7,2.7399,2.7,2.7,737
09:38,2.74,2.74,2.3,2.38,46869
09:39,2.36,2.36,2.36,2.36,377
09:40,2.38,2.38,2.38,2.38,205
09:45,2.39,2.39,2.39,2.39,103
09:47,2.3765,2.3765,2.3765,2.3765,1020
09:48,2.3898,2.3898,2.3898,2.3898,316
09:50,2.37,2.3899,2.37,2.3899,1442
09:51,2.39,2.39,2.384,2.384,700
09:52,2.3501,2.3501,2.3501,2.3501,300
09:57,2.39,2.4,2.39,2.4,651
09:59,2.36,2.36,2.35,2.35,3008
10:00,2.35,2.35,2.3,2.3,5467
10:01,2.3,2.3,2.25,2.25,5883
10:02,2.25,2.315,2.25,2.315,13745
10:03,2.28,2.28,2.28,2.28,929
10:04,2.2101,2.2101,2.2101,2.2101,1137
10:06,2.245,2.28,2.245,2.28,544
10:07,2.26,2.28,2.259,2.28,31106
10:08,2.28,2.35,2.28,2.35,13634
10:10,2.35,2.35,2.35,2.35,677
10:18,2.3193,2.3193,2.3193,2.3193,1000
10:26,2.315,2.315,2.315,2.315,2000
10:27,2.28,2.4,2.275,2.36,32288
10:28,2.365,2.41,2.25,2.4001,10920
10:29,2.42,2.42,2.4,2.4,5021
10:31,2.4,2.4,2.4,2.4,2502
10:33,2.41,2.41,2.41,2.41,326
10:35,2.405,2.41,2.405,2.41,998
10:37,2.41,2.41,2.41,2.41,100
10:38,2.41,2.41,2.41,2.41,106
10:39,2.4499,2.4499,2.41,2.41,1100
10:40,2.41,2.475,2.41,2.475,3822
10:42,2.45,2.45,2.45,2.45,101
10:43,2.45,2.45,2.45,2.45,111
10:44,2.45,2.45,2.45,2.45,202
10:45,2.45,2.45,2.45,2.45,133
10:46,2.45,2.45,2.45,2.45,191
10:47,2.45,2.45,2.45,2.45,238
10:48,2.45,2.45,2.45,2.45,110
10:49,2.45,2.45,2.45,2.45,100
10:50,2.45,2.45,2.45,2.45,200
10:51,2.45,2.45,2.45,2.45,205
10:52,2.45,2.45,2.45,2.45,100
10:53,2.5,2.5,2.5,2.5,783
10:55,2.5,2.5,2.5,2.5,103
10:56,2.5,2.51,2.5,2.51,200
10:57,2.5599,2.5599,2.51,2.51,1100
10:58,2.51,2.51,2.51,2.51,100
10:59,2.51,2.56,2.51,2.5599,3183
11:00,2.51,2.51,2.51,2.51,201
11:02,2.51,2.51,2.51,2.51,200
11:03,2.51,2.51,2.51,2.51,100
11:04,2.51,2.51,2.45,2.45,566
11:07,2.5,2.5,2.5,2.5,176
11:13,2.57,2.575,2.57,2.575,652
11:17,2.6,2.6,2.6,2.6,173
11:18,2.62,2.63,2.6,2.6,2474
11:20,2.57,2.57,2.57,2.57,1067
11:21,2.555,2.555,2.5,2.5,4106
11:24,2.52,2.5599,2.45,2.45,33912
11:29,2.505,2.53,2.505,2.53,3662
11:31,2.5599,2.5599,2.5,2.5,2495
11:32,2.5599,2.56,2.5599,2.56,3013
11:35,2.56,2.6,2.56,2.56,1067
11:36,2.5999,2.5999,2.5999,2.5999,500
11:37,2.5999,2.5999,2.4685,2.4685,2978
11:40,2.47,2.47,2.47,2.47,341
11:41,2.5393,2.5393,2.5393,2.5393,2050
11:46,2.589,2.589,2.58,2.58,4818
11:47,2.5712,2.5712,2.5712,2.5712,6210
11:52,2.5659,2.5659,2.5659,2.5659,4218
11:59,2.575,2.575,2.575,2.575,1000
12:00,2.57,2.57,2.57,2.57,1000
12:04,2.57,2.57,2.57,2.57,100
12:09,2.58,2.6,2.58,2.585,3835
12:12,2.6,2.6,2.6,2.6,975
12:13,2.5999,2.5999,2.5999,2.5999,3000
12:17,2.5863,2.5863,2.57,2.57,366
12:18,2.57,2.57,2.57,2.57,676
12:19,2.57,2.57,2.57,2.57,400
12:20,2.57,2.57,2.565,2.565,1098
12:23,2.57,2.58,2.57,2.58,1077
12:26,2.6,2.6,2.6,2.6,100
12:27,2.5984,2.6,2.59,2.6,1458
12:28,2.6,2.6,2.6,2.6,2021
12:30,2.6,2.6,2.6,2.6,700
12:31,2.59,2.6,2.59,2.6,514
12:32,2.5999,2.5999,2.5999,2.5999,768
12:33,2.6,2.6,2.6,2.6,193
12:37,2.59,2.59,2.59,2.59,258
12:42,2.5903,2.5903,2.5903,2.5903,500
12:44,2.58,2.58,2.58,2.58,182
12:47,2.59,2.59,2.58,2.58,522
12:48,2.58,2.59,2.58,2.59,1439
12:49,2.5994,2.5994,2.5994,2.5994,390
12:50,2.5999,2.5999,2.595,2.595,4633
