time,open,high,low,close,volume
09:30,9.49,9.49,9.2701,9.2701,4345
09:32,9.38,9.38,9.38,9.38,104
09:33,9.4625,9.4625,9.4625,9.4625,163
09:38,9.34,9.41,9.34,9.41,500
09:41,9.28,9.28,9.27,9.27,390
09:42,9.27,9.27,8.89,8.89,1059
09:46,9.21,9.2931,9.14,9.14,940
09:50,8.6101,8.875,8.6101,8.875,402
09:53,8.8,8.8,8.8,8.8,302
10:17,9.1399,9.1399,9.1399,9.1399,100
10:18,8.81,8.81,8.81,8.81,111
10:23,8.9,8.9,8.9,8.9,343
10:31,8.8032,8.8032,8.8032,8.8032,2750
10:33,8.83,8.83,8.83,8.83,250
10:38,8.8,8.8,8.8,8.8,500
10:39,9.0925,9.0925,9.0925,9.0925,250
10:49,8.8,8.8,8.8,8.8,248
10:50,8.69,8.705,8.69,8.705,1111
10:54,8.1901,8.7,8.1901,8.7,824
11:27,8.28,8.28,8.28,8.28,250
11:39,8.19,8.19,8.19,8.19,100
11:54,8.7999,8.7999,8.7999,8.7999,117
12:39,8.19,8.19,8.19,8.19,100
13:09,8.19,8.19,8.19,8.19,100
13:22,8.395,8.395,8.395,8.395,150
13:51,8.3,8.3999,8.3,8.3999,2000
13:52,8.2001,8.398,8.2001,8.398,1000
14:13,8.3,8.3,8.3,8.3,500
14:17,8.2,8.2,8.2,8.2,100
14:18,8.308,8.308,8.308,8.308,500
15:03,8.19,8.19,8.19,8.19,100
15:04,8.4,8.4,8.31,8.31,1949
15:08,8.6,8.61,8.6,8.61,851
15:10,8.6,8.6,8.6,8.6,523
15:16,8.3501,8.3501,8.3501,8.3501,500
15:17,8.649,8.649,8.649,8.649,1000
15:20,8.3501,8.3501,8.3501,8.3501,1000
15:22,8.649,8.649,8.649,8.649,700
15:28,8.6801,8.6801,8.6801,8.6801,800
15:29,8.8272,8.8272,8.8272,8.8272,1000
15:30,8.85,9,8.85,9,1720
15:31,8.85,8.8501,8.85,8.8501,2682
15:32,8.8545,8.8545,8.8545,8.8545,322
15:33,8.6801,8.7,8.6801,8.6894,2533
15:34,8.69,8.86,8.685,8.8599,7600
15:35,8.7642,8.7642,8.7642,8.7642,500
15:36,8.8812,8.8812,8.8812,8.8812,2034
15:45,8.8101,8.815,8.81,8.81,2019
15:55,8.976,8.976,8.976,8.976,120
15:59,8.8207,8.8207,8.8207,8.8207,129
09:30,9,9,9,9,348
09:31,8.2289,8.2289,8.2289,8.2289,470
10:36,8.8136,8.8136,8.8136,8.8136,110
10:56,8.8391,8.8391,8.8391,8.8391,500
13:28,8.8511,8.8511,8.8511,8.8511,1000
14:16,8.42,8.45,8.42,8.45,200
14:46,8.85,8.85,8.85,8.85,200
15:22,8.765,8.765,8.765,8.765,300
15:29,8.85,8.889,8.85,8.889,700
15:32,8.8793,8.8793,8.8793,8.8793,500
15:33,8.7501,8.89,8.7501,8.89,2087
15:52,8.96,9,8.96,8.96,1792
15:53,9.06,9.06,9.06,9.06,100
15:58,9.08,9.11,9.08,9.11,405
