time,open,high,low,close,volume
09:30,2.79,2.79,2.75,2.75,16657
09:32,2.7309,2.75,2.7309,2.75,997
09:34,2.75,2.75,2.7,2.7,3119
09:35,2.71,2.71,2.71,2.71,411
09:36,2.7062,2.7062,2.7062,2.7062,1207
09:38,2.72,2.72,2.69,2.69,2947
09:39,2.705,2.7189,2.705,2.7189,868
09:40,2.6909,2.6909,2.6909,2.6909,230
09:41,2.6974,2.7,2.6974,2.7,552
09:43,2.7,2.73,2.7,2.73,32669
09:44,2.6801,2.73,2.6801,2.72,4618
09:47,2.7113,2.7299,2.7113,2.722,2941
09:48,2.722,2.73,2.7203,2.73,2652
09:49,2.7299,2.73,2.7299,2.73,607
09:50,2.722,2.725,2.722,2.725,2082
09:51,2.73,2.73,2.73,2.73,130
09:52,2.73,2.73,2.73,2.73,617
09:53,2.73,2.73,2.7201,2.73,549
09:54,2.73,2.73,2.73,2.73,232
09:55,2.73,2.77,2.7299,2.75,20100
09:56,2.75,2.77,2.75,2.77,403
09:57,2.7516,2.76,2.7502,2.7502,1372
09:58,2.7502,2.77,2.7502,2.77,753
10:00,2.76,2.77,2.76,2.77,3727
10:01,2.77,2.77,2.77,2.77,1280
10:05,2.7509,2.76,2.7509,2.76,6291
10:06,2.7502,2.76,2.75,2.75,7057
10:07,2.75,2.76,2.75,2.76,2962
10:08,2.75,2.75,2.75,2.75,401
10:10,2.74,2.74,2.74,2.74,347
10:12,2.74,2.74,2.74,2.74,5245
10:13,2.76,2.7616,2.76,2.76,4232
10:14,2.7597,2.7597,2.7597,2.7597,236
10:16,2.75,2.75,2.75,2.75,3792
10:18,2.7675,2.7675,2.7675,2.7675,180
10:20,2.76,2.76,2.7503,2.7503,1577
10:21,2.75,2.75,2.75,2.75,213
10:22,2.73,2.73,2.73,2.73,5129
10:24,2.7301,2.7301,2.7,2.71,11255
10:26,2.71,2.71,2.71,2.71,248
10:27,2.71,2.711,2.71,2.711,2457
10:29,2.7101,2.7101,2.71,2.71,2476
10:30,2.72,2.72,2.72,2.72,1592
10:31,2.72,2.72,2.72,2.72,204
10:33,2.71,2.71,2.71,2.71,600
10:35,2.735,2.735,2.72,2.72,2307
10:37,2.7289,2.7289,2.7289,2.7289,376
10:39,2.7101,2.73,2.7101,2.7287,1145
10:41,2.73,2.73,2.7145,2.7145,300
10:43,2.7289,2.7289,2.72,2.72,426
10:44,2.73,2.73,2.73,2.73,156
10:48,2.73,2.73,2.73,2.73,1000
10:51,2.74,2.74,2.739,2.74,697
10:53,2.7174,2.7174,2.7174,2.7174,248
10:57,2.72,2.72,2.71,2.71,1345
11:02,2.71,2.71,2.71,2.71,540
11:03,2.7098,2.71,2.7098,2.71,1023
11:05,2.705,2.705,2.7045,2.7045,1000
11:09,2.709,2.709,2.709,2.709,234
11:10,2.71,2.71,2.71,2.71,207
11:14,2.7441,2.7441,2.71,2.71,264
11:15,2.7415,2.7415,2.725,2.725,3011
11:16,2.74,2.74,2.73,2.73,283
11:17,2.72,2.72,2.72,2.72,211
11:26,2.7301,2.7301,2.72,2.72,713
