time,open,high,low,close,volume
09:30,7.89,7.89,7.89,7.89,2661
09:31,7.89,7.89,7.89,7.89,459
09:38,7.72,7.72,7.72,7.72,547
09:42,7.865,7.865,7.5501,7.5501,248
10:11,7.4442,7.4442,7.4442,7.4442,200
10:40,7.6,7.6,7.6,7.6,274
11:03,7.61,7.61,7.61,7.61,300
11:05,7.61,7.61,7.61,7.61,300
11:32,7.69,7.69,7.69,7.69,225
11:44,7.36,7.8329,7.36,7.8329,210
11:45,7.8341,7.8341,7.8341,7.8341,110
11:50,7.8492,7.8492,7.8492,7.8492,1004
13:45,7.3,7.3,7.3,7.3,263
14:33,7.1953,7.1953,7.1953,7.1953,203
15:59,7.76,7.8,7.76,7.8,533
09:30,8.5,8.5,8.5,8.5,383
10:05,7.72,7.72,7.72,7.72,676
10:10,7.7,7.7,7.7,7.7,101
10:11,7.7,7.7,7.7,7.7,125
10:12,7.65,7.65,7.65,7.65,101
10:31,7.9629,7.9629,7.9629,7.9629,102
15:05,7.6275,7.6275,7.6275,7.6275,132
15:59,8.24,8.24,8.24,8.24,486
