time,open,high,low,close,volume
09:30,1.25,1.2552,1.25,1.2552,3559
09:31,1.2786,1.2786,1.2499,1.2499,3200
09:32,1.2695,1.2695,1.265,1.265,5817
09:33,1.27,1.27,1.27,1.27,100
09:34,1.27,1.27,1.27,1.27,460
09:35,1.265,1.265,1.265,1.265,241
09:36,1.26,1.26,1.26,1.26,3000
09:39,1.27,1.275,1.27,1.275,1000
09:41,1.266,1.266,1.266,1.266,180
09:44,1.26,1.26,1.24,1.24,2794
09:45,1.24,1.24,1.23,1.23,859
09:46,1.23,1.23,1.23,1.23,200
09:50,1.24,1.24,1.24,1.24,460
09:52,1.2311,1.24,1.2311,1.24,1290
09:57,1.23,1.2396,1.23,1.2396,2050
10:03,1.2306,1.235,1.2306,1.235,1497
10:04,1.2398,1.2398,1.2391,1.2391,600
10:05,1.2399,1.2399,1.2399,1.2399,200
10:06,1.2399,1.25,1.2399,1.25,2800
10:08,1.27,1.27,1.27,1.27,181
10:09,1.26,1.26,1.26,1.26,121
10:10,1.27,1.27,1.27,1.27,101
10:12,1.28,1.28,1.28,1.28,170
10:13,1.2782,1.2782,1.2312,1.2312,374
10:15,1.24,1.24,1.24,1.24,110
10:25,1.2696,1.2696,1.2696,1.2696,800
10:37,1.25,1.25,1.25,1.25,491
10:39,1.25,1.25,1.25,1.25,275
10:44,1.2521,1.2521,1.2521,1.2521,100
10:46,1.2799,1.2799,1.2799,1.2799,568
10:53,1.2728,1.2728,1.2728,1.2728,576
11:00,1.2529,1.2529,1.25,1.25,260
11:01,1.2504,1.2504,1.2504,1.2504,283
11:12,1.255,1.255,1.255,1.255,164
11:13,1.25,1.25,1.25,1.25,291
11:30,1.2762,1.2762,1.2543,1.2543,565
11:37,1.26,1.2695,1.26,1.2695,792
11:49,1.2504,1.2504,1.2504,1.2504,100
12:04,1.231,1.231,1.231,1.231,1707
12:05,1.2305,1.2305,1.2305,1.2305,2139
12:06,1.2301,1.2301,1.2301,1.2301,2100
12:14,1.235,1.235,1.235,1.235,503
12:15,1.2399,1.2399,1.2399,1.2399,1020
12:18,1.2399,1.2399,1.2399,1.2399,1017
12:19,1.2392,1.2392,1.2392,1.2392,350
12:23,1.24,1.24,1.24,1.24,724
12:41,1.245,1.26,1.245,1.26,650
12:56,1.2343,1.2343,1.2343,1.2343,120
13:01,1.24,1.24,1.24,1.24,1500
13:18,1.24,1.24,1.24,1.24,4908
13:25,1.24,1.25,1.24,1.25,2501
13:38,1.25,1.25,1.25,1.25,500
13:52,1.25,1.25,1.25,1.25,500
13:55,1.25,1.25,1.25,1.25,4171
14:20,1.2359,1.2359,1.2359,1.2359,100
14:27,1.24,1.24,1.24,1.24,500
14:37,1.235,1.235,1.235,1.235,100
14:40,1.2301,1.2301,1.23,1.23,3050
14:41,1.2301,1.2309,1.23,1.2309,1611
14:54,1.235,1.235,1.23,1.23,500
15:03,1.2313,1.2313,1.2313,1.2313,104
15:12,1.235,1.235,1.235,1.235,401
