time,open,high,low,close,volume
09:30,3.39,3.4,3.34,3.3402,36827
09:31,3.33,3.4,3.33,3.3818,5103
09:32,3.37,3.4417,3.37,3.44,2715
09:33,3.44,3.5897,3.44,3.5865,7274
09:34,3.5841,3.5841,3.45,3.48,6349
09:35,3.52,3.52,3.45,3.5,26969
09:36,3.5,3.5,3.45,3.45,10990
09:37,3.45,3.4799,3.4,3.4799,5590
09:38,3.4305,3.4305,3.36,3.3759,20397
09:39,3.3895,3.3899,3.36,3.37,3481
09:40,3.36,3.36,3.31,3.32,2599
09:41,3.355,3.355,3.32,3.32,691
09:42,3.32,3.34,3.29,3.31,15683
09:43,3.37,3.37,3.2583,3.27,15469
09:44,3.27,3.2944,3.27,3.29,3434
09:45,3.28,3.3,3.27,3.271,3161
09:46,3.3599,3.3599,3.27,3.28,10953
09:47,3.3,3.3,3.27,3.28,1338
09:48,3.27,3.315,3.27,3.315,626
09:49,3.27,3.34,3.27,3.3,1099
09:50,3.28,3.305,3.28,3.28,3517
09:51,3.285,3.2855,3.27,3.27,1027
09:52,3.285,3.285,3.27,3.27,1745
09:53,3.26,3.26,3.26,3.26,1223
09:54,3.26,3.261,3.2513,3.2513,2274
09:55,3.26,3.2792,3.25,3.2792,1726
09:56,3.28,3.3,3.269,3.27,20457
09:57,3.3151,3.3151,3.3138,3.3138,350
09:58,3.315,3.33,3.3,3.3,1426
09:59,3.35,3.35,3.29,3.3296,7321
10:00,3.315,3.36,3.3,3.325,1701
10:01,3.325,3.325,3.29,3.29,10211
10:02,3.29,3.29,3.28,3.285,2896
10:04,3.28,3.285,3.25,3.25,7980
10:05,3.245,3.28,3.2401,3.28,9019
10:06,3.28,3.28,3.28,3.28,130
10:07,3.2766,3.28,3.2766,3.28,786
10:08,3.2445,3.26,3.241,3.241,620
10:09,3.2791,3.2791,3.2405,3.2563,1750
10:10,3.2414,3.2414,3.2414,3.2414,596
10:11,3.25,3.25,3.24,3.2495,2504
10:12,3.25,3.27,3.2429,3.26,2650
10:13,3.26,3.2646,3.24,3.2646,2817
10:14,3.2545,3.2545,3.2545,3.2545,605
10:15,3.24,3.24,3.24,3.24,101
10:17,3.24,3.24,3.21,3.2107,8799
10:18,3.225,3.225,3.225,3.225,3003
10:19,3.225,3.23,3.165,3.17,21188
10:20,3.22,3.22,3.1704,3.1704,401
10:21,3.24,3.24,3.22,3.22,547
10:22,3.2075,3.2284,3.2075,3.2284,426
10:23,3.23,3.23,3.23,3.23,460
10:24,3.23,3.24,3.23,3.24,623
10:25,3.24,3.24,3.24,3.24,151
10:26,3.26,3.26,3.26,3.26,266
10:27,3.26,3.26,3.24,3.24,753
10:28,3.26,3.26,3.238,3.238,913
10:29,3.26,3.26,3.26,3.26,565
10:30,3.26,3.2671,3.255,3.255,1004
10:31,3.27,3.27,3.26,3.26,2935
10:32,3.2799,3.28,3.27,3.27,2356
10:33,3.26,3.26,3.26,3.26,150
10:35,3.26,3.26,3.26,3.26,700
10:36,3.2799,3.2799,3.26,3.26,4010
10:37,3.26,3.26,3.26,3.26,307
10:39,3.24,3.28,3.24,3.28,576
10:41,3.2499,3.2499,3.2499,3.2499,429
10:42,3.24,3.25,3.24,3.25,800
10:43,3.23,3.2314,3.23,3.2314,1199
10:44,3.2467,3.2467,3.2467,3.2467,1018
10:46,3.2499,3.2499,3.24,3.24,1000
10:47,3.25,3.27,3.25,3.27,900
10:48,3.27,3.275,3.27,3.27,789
10:49,3.27,3.285,3.27,3.27,3013
10:52,3.3,3.3,3.285,3.285,300
10:53,3.272,3.276,3.27,3.27,436
10:54,3.2999,3.2999,3.27,3.27,1457
10:55,3.27,3.27,3.27,3.27,200
10:56,3.27,3.29,3.27,3.29,230
10:57,3.27,3.2945,3.27,3.27,702
10:58,3.27,3.2914,3.27,3.27,700
10:59,3.27,3.2838,3.27,3.27,300
11:00,3.27,3.35,3.27,3.35,33351
11:01,3.3499,3.3499,3.3444,3.3444,551
11:02,3.332,3.332,3.33,3.33,274
11:03,3.315,3.315,3.28,3.3,5445
11:04,3.28,3.29,3.28,3.29,203
11:05,3.3,3.32,3.3,3.32,312
11:06,3.3,3.33,3.3,3.3,500
11:07,3.32,3.34,3.28,3.299,8319
11:09,3.27,3.28,3.21,3.25,16471
11:10,3.2447,3.28,3.2137,3.2137,4081
11:11,3.255,3.3,3.255,3.255,316
11:13,3.23,3.23,3.23,3.23,145
11:15,3.28,3.28,3.2573,3.2573,1652
11:18,3.31,3.31,3.28,3.28,550
11:19,3.28,3.28,3.28,3.28,200
11:21,3.28,3.28,3.277,3.277,925
11:24,3.31,3.31,3.31,3.31,250
11:26,3.2999,3.2999,3.25,3.25,5194
11:27,3.235,3.2493,3.22,3.22,1079
11:29,3.22,3.22,3.22,3.22,1586
11:32,3.23,3.23,3.23,3.23,452
11:34,3.2388,3.2388,3.2388,3.2388,220
11:35,3.22,3.22,3.22,3.22,185
11:36,3.2205,3.2205,3.22,3.22,2750
11:37,3.23,3.24,3.22,3.24,435
11:38,3.23,3.2394,3.23,3.2394,345
11:39,3.21,3.2181,3.21,3.2181,636
11:40,3.22,3.22,3.211,3.211,559
11:45,3.2024,3.2024,3.18,3.18,1982
11:46,3.1639,3.18,3.1639,3.18,404
11:47,3.19,3.21,3.19,3.21,1314
11:49,3.21,3.21,3.21,3.21,325
11:53,3.23,3.23,3.23,3.23,100
11:54,3.23,3.23,3.2,3.2,1985
11:55,3.219,3.23,3.219,3.23,1500
11:59,3.23,3.23,3.23,3.23,120
12:00,3.24,3.24,3.232609,3.234718,4273
12:07,3.23,3.233,3.23,3.233,2300
12:08,3.24,3.2675,3.24,3.2675,1101
12:09,3.23,3.3,3.23,3.3,7000
12:10,3.265,3.265,3.265,3.265,220
12:11,3.2675,3.3,3.2675,3.3,1100
12:12,3.265,3.265,3.265,3.265,100
12:13,3.3,3.3,3.3,3.3,1034
12:14,3.2622,3.265,3.2622,3.265,310
12:17,3.275,3.275,3.275,3.275,300
12:18,3.26,3.2635,3.2503,3.2635,2282
12:19,3.25,3.25,3.24,3.24,2251
12:20,3.2549,3.2549,3.23,3.23,402
12:21,3.225,3.225,3.22,3.22,355
12:22,3.2284,3.2284,3.2284,3.2284,227
12:23,3.203,3.203,3.203,3.203,272
12:24,3.23,3.26,3.23,3.26,647
12:25,3.23,3.28,3.23,3.26,2720
12:26,3.26,3.26,3.26,3.26,111
12:31,3.2748,3.2748,3.2748,3.2748,164
12:32,3.2362,3.2362,3.2362,3.2362,100
12:33,3.23,3.24,3.23,3.24,300
12:34,3.2258,3.2258,3.2258,3.2258,570
12:35,3.225,3.225,3.225,3.225,146
12:39,3.22,3.22,3.22,3.22,334
12:42,3.22,3.22,3.22,3.22,115
12:44,3.22,3.22,3.22,3.22,200
12:45,3.21,3.21,3.2,3.2,1552
12:49,3.1905,3.1905,3.1905,3.1905,1250
12:51,3.215,3.23,3.2,3.22,1039
12:52,3.2,3.2,3.2,3.2,516
12:54,3.21,3.21,3.21,3.21,191
12:56,3.2063,3.21,3.2,3.2,1343
12:57,3.2,3.2,3.1829,3.1829,844
12:59,3.2065,3.2065,3.2065,3.2065,404
13:03,3.1827,3.1827,3.1827,3.1827,220
13:05,3.209,3.21,3.209,3.2099,4228
13:08,3.204,3.23,3.204,3.23,2167
13:11,3.2599,3.2599,3.2599,3.2599,210
13:14,3.235,3.235,3.23,3.23,2710
13:16,3.235,3.24,3.21,3.21,7666
13:17,3.228,3.228,3.228,3.228,101
13:18,3.21,3.21,3.21,3.21,919
13:20,3.21,3.23,3.21,3.21,1138
13:21,3.22,3.23,3.22,3.22,5408
13:22,3.22,3.25,3.22,3.25,758
13:23,3.23,3.23,3.23,3.23,1012
13:25,3.2399,3.2399,3.22,3.22,3401
13:26,3.2214,3.2214,3.22,3.22,2000
13:28,3.231,3.233,3.23,3.233,1366
13:29,3.23,3.23,3.23,3.23,100
13:33,3.24,3.26,3.24,3.24,840
13:35,3.23,3.23,3.23,3.23,125
13:37,3.22,3.22,3.22,3.22,1198
13:41,3.2,3.2,3.2,3.2,455
13:43,3.22,3.22,3.22,3.22,280
13:46,3.22,3.22,3.22,3.22,100
13:47,3.22,3.23,3.22,3.22,1322
13:48,3.22,3.22,3.22,3.22,378
13:57,3.24,3.24,3.24,3.24,120
13:58,3.215,3.215,3.215,3.215,200
14:00,3.19,3.2,3.19,3.2,524
14:01,3.2399,3.2399,3.2399,3.2399,100
14:05,3.22,3.23,3.22,3.22,3101
14:06,3.21,3.21,3.21,3.21,416
14:09,3.21,3.21,3.2,3.2,383
14:11,3.21,3.22,3.2095,3.22,920
14:12,3.1901,3.21,3.1901,3.21,1599
14:16,3.21,3.21,3.21,3.21,736
14:18,3.208,3.208,3.208,3.208,1951
14:20,3.225,3.225,3.225,3.225,100
14:22,3.21,3.21,3.21,3.21,701
14:23,3.24,3.24,3.21,3.21,500
14:24,3.22,3.22,3.2045,3.2045,353
14:26,3.2243,3.2243,3.21,3.21,1444
14:29,3.21,3.21,3.21,3.21,100
14:32,3.21,3.21,3.21,3.21,1200
14:33,3.21,3.24,3.21,3.24,10300
14:34,3.22,3.22,3.22,3.22,510
14:36,3.22,3.24,3.22,3.24,504
14:37,3.24,3.24,3.21,3.21,980
14:38,3.2264,3.2264,3.2264,3.2264,100
14:39,3.21,3.21,3.21,3.21,1000
14:40,3.21,3.21,3.21,3.21,430
