time,open,high,low,close,volume
09:30,4.79,4.79,4.42,4.42,715
09:32,4.44,4.44,4.44,4.44,101
09:33,4.44,4.44,4.44,4.44,100
09:34,4.44,4.44,4.395,4.395,1214
09:36,4.31,4.31,4.31,4.31,100
09:37,4.31,4.31,4.31,4.31,100
09:38,4.31,4.31,4.31,4.31,144
09:39,4.31,4.31,4.31,4.31,100
10:32,4.3,4.3,4.25,4.25,469
10:33,4.29,4.29,4.2644,4.2644,500
11:44,4.07,4.07,4,4,446
11:45,3.9,4.1,3.812,3.812,1400
11:46,4.05,4.1,4.042,4.1,799
12:03,4.16,4.16,4.15,4.15,1600
12:04,4.15,4.15,4.11,4.15,1064
12:39,4.05,4.05,4.05,4.05,1202
12:42,4.1,4.1,4.1,4.1,366
13:38,4.11,4.11,4.1,4.1,800
13:42,4.105,4.105,4.105,4.105,227
13:49,4.15,4.15,4.15,4.15,200
14:40,4.0372,4.0372,4.0372,4.0372,423
15:01,4.15,4.16,4.15,4.16,1120
15:47,4.1934,4.1934,4.1934,4.1934,350
15:59,4.16,4.16,4.16,4.16,360
09:43,3.95,3.95,3.95,3.95,468
10:05,4.0281,4.0281,4.0281,4.0281,393
10:50,3.95,3.95,3.95,3.95,295
10:52,3.99,3.99,3.9,3.9,1507
10:53,3.9,4,3.9,4,4180
10:56,4,4,4,4,100
10:57,4.0075,4.0075,4.0075,4.0075,196
11:09,3.93,3.93,3.92,3.92,483
12:50,3.925,3.925,3.925,3.925,108
13:35,3.907,3.907,3.907,3.907,390
13:36,3.91,3.91,3.9,3.9,274
14:35,3.95,3.99,3.95,3.99,300
15:39,4,4,4,4,1221
15:45,4,4,4,4,225
15:46,3.9517,3.9517,3.9517,3.9517,1000
15:48,4,4,4,4,100
15:57,3.9093,3.9093,3.9093,3.9093,333
15:59,4,4,4,4,243
