time,open,high,low,close,volume
09:30,2.72,2.81,2.72,2.81,783
09:31,2.8,2.8,2.8,2.8,386
09:32,2.89,2.89,2.89,2.89,1114
09:35,2.9,2.9,2.86,2.865,12292
09:36,2.9,2.9,2.83,2.83,9208
09:38,2.89,2.9,2.89,2.9,1024
09:39,2.9,2.9,2.88,2.88,945
09:40,2.85,2.85,2.85,2.85,632
09:42,2.83,2.83,2.82,2.82,1025
09:43,2.81,2.81,2.81,2.81,129
09:44,2.81,2.82,2.78,2.78,11386
09:45,2.76,2.8,2.76,2.8,984
09:48,2.7828,2.7828,2.7828,2.7828,192
09:49,2.77,2.77,2.77,2.77,625
09:50,2.78,2.78,2.77,2.77,277
09:51,2.81,2.81,2.81,2.81,253
09:53,2.82,2.86,2.82,2.86,8205
09:54,2.84,2.84,2.84,2.84,127
09:57,2.85,2.85,2.85,2.85,400
09:58,2.85,2.85,2.85,2.85,200
09:59,2.88,2.88,2.87,2.87,500
10:00,2.85,2.87,2.83,2.84,1597
10:01,2.85,2.86,2.82,2.83,2100
10:02,2.81,2.82,2.81,2.81,2338
10:03,2.81,2.83,2.81,2.82,947
10:04,2.83,2.88,2.82,2.88,1292
10:05,2.84,2.84,2.84,2.84,473
10:15,2.88,2.88,2.85,2.86,28997
10:17,2.86,2.86,2.86,2.86,199
10:24,2.89,2.89,2.89,2.89,501
10:25,2.89,2.89,2.89,2.89,600
10:26,2.89,2.89,2.89,2.89,878
10:27,2.89,2.89,2.89,2.89,702
10:28,2.89,2.9,2.89,2.9,1468
10:29,2.89,2.89,2.85,2.88,27725
10:30,2.89,2.89,2.85,2.89,1497
10:45,2.85,2.85,2.82,2.82,610
11:04,2.85,2.85,2.85,2.85,1000
11:09,2.85,2.86,2.84,2.86,5750
11:10,2.875,2.875,2.87,2.87,3100
11:11,2.87,2.94,2.87,2.94,5443
11:12,2.92,2.95,2.9,2.95,12111
11:13,2.94,2.96,2.925,2.93,4930
11:20,2.95,2.95,2.95,2.95,572
11:21,2.94,2.94,2.94,2.94,114
11:22,2.95,2.95,2.95,2.95,108
11:24,2.92,2.92,2.92,2.92,1012
11:27,2.96,2.96,2.96,2.96,102
11:28,2.96,2.96,2.92,2.92,336
11:30,2.96,2.96,2.96,2.96,166
11:34,2.95,2.95,2.91,2.91,1520
11:37,2.93,2.93,2.93,2.93,132
11:43,2.93,2.95,2.93,2.94,2008
11:44,2.95,3,2.95,3,8932
11:46,3,3.03,3,3.03,1028
11:47,2.99,3.03,2.99,3.03,1239
11:48,3.03,3.1,3.03,3.1,1097
11:49,3.2,3.21,3.1,3.1,7760
11:51,3.0935,3.1,3.0935,3.1,966
11:52,3.09,3.09,3.09,3.09,417
11:53,3.0306,3.0306,3.0306,3.0306,260
11:59,3.1,3.1,3.1,3.1,778
12:01,3.07,3.07,3.07,3.07,100
12:04,3.05,3.1,3.05,3.09,6450
12:06,3.0691,3.11,3.0691,3.11,718
12:07,3.12,3.15,3.12,3.13,521
12:08,3.13,3.13,3.13,3.13,622
12:09,3.13,3.13,3.13,3.13,582
12:11,3.13,3.13,3.13,3.13,200
12:12,3.15,3.15,3.12,3.12,1850
12:13,3.15,3.15,3.105,3.105,2058
12:14,3.13,3.13,3.1,3.1,1380
12:15,3.1,3.1,3.1,3.1,300
12:17,3,3,3,3,300
12:18,3,3,3,3,1510
12:19,2.97,2.97,2.92,2.94,1816
12:20,2.95,2.95,2.95,2.95,4755
12:21,2.95,3.1,2.95,3,2600
12:22,3,3,3,3,212
12:23,2.98,3,2.98,3,1500
12:25,2.99,3,2.99,3,492
12:40,2.98,2.98,2.98,2.98,112
12:41,2.97,2.99,2.95,2.95,2910
12:43,3,3,3,3,112
12:44,3.08,3.08,3.08,3.08,100
12:47,3,3,3,3,100
12:50,2.92,2.92,2.92,2.92,2403
13:47,2.95,2.95,2.95,2.95,186
