time,open,high,low,close,volume
09:30,11.01,11.01,10.9572,10.9572,1570
09:33,10.9,10.9,10.9,10.9,258
09:49,10.87,10.87,10.87,10.87,319
09:51,11.0657,11.13,11.0657,11.13,3330
09:53,11.13,11.13,11.13,11.13,171
09:58,11.15,11.15,11.15,11.15,508
09:59,11.05,11.05,11.05,11.05,215
10:00,11.095,11.095,11.095,11.095,207
10:01,11.19,11.2,11.19,11.2,633
10:04,11.325,11.325,11.325,11.325,640
10:05,11.39,11.54,11.39,11.54,1009
10:06,11.59,11.66,11.59,11.66,1040
10:07,11.74,11.78,11.67,11.67,1301
10:09,11.79,11.79,11.79,11.79,280
10:11,11.78,11.8,11.78,11.8,250
10:12,11.68,11.68,11.34,11.34,1936
10:13,11.34,11.34,11.34,11.34,1000
10:17,11.6585,11.6585,11.6585,11.6585,140
10:22,11.3673,11.5,11.3673,11.5,222
10:23,11.9473,11.9473,11.9473,11.9473,262
10:24,11.665,11.665,11.665,11.665,307
10:25,11.66,11.66,11.66,11.66,123
10:27,11.75,11.75,11.75,11.75,100
10:30,11.75,11.75,11.75,11.75,100
10:31,11.75,11.79,11.75,11.79,907
10:35,11.79,11.79,11.79,11.79,352
10:36,11.92,11.92,11.92,11.92,164
10:38,11.94,11.94,11.94,11.94,289
10:40,11.76,11.76,11.76,11.76,102
10:42,11.7437,11.76,11.7437,11.76,1476
10:43,11.93,11.93,11.93,11.93,157
10:47,11.904,11.904,11.904,11.904,339
11:03,11.71,11.71,11.6601,11.6601,669
11:05,11.755,11.85,11.4011,11.85,2985
11:06,11.85,11.9,11.85,11.9,2990
11:07,11.6605,11.6605,11.6605,11.6605,100
11:08,11.93,11.93,11.93,11.93,164
11:15,11.815,11.815,11.815,11.815,100
11:20,11.87,11.87,11.87,11.87,100
11:21,11.87,11.87,11.87,11.87,1000
11:22,11.94,11.94,11.94,11.94,100
11:30,11.93,11.94,11.93,11.94,653
11:35,11.94,12,11.94,11.99,4130
11:36,12,12,12,12,100
11:37,12,12,12,12,100
11:38,12,12,11.99,11.99,566
11:41,12,12,11.94,11.94,1007
11:43,12.08,12.08,12.08,12.08,395
11:44,12.255,12.255,12.255,12.255,150
11:49,12.307,12.307,12.307,12.307,174
11:52,12,12,12,12,305
11:53,12,12,12,12,396
11:59,12.2745,12.2745,12.2745,12.2745,200
12:06,11.9,11.9,11.9,11.9,133
12:14,11.81,12.025,11.81,12.025,636
12:15,11.8101,11.8101,11.8101,11.8101,983
12:27,11.8479,11.8479,11.8479,11.8479,250
13:03,11.81,11.81,11.81,11.81,347
13:24,11.55,11.55,11.46,11.46,1975
13:26,11.45,11.45,11.45,11.45,386
13:36,11.33,11.33,11.33,11.33,150
13:39,11.3,11.3,11.3,11.3,588
13:43,11.235,11.235,11.2,11.2,889
14:17,11.25,11.25,11.25,11.25,290
14:22,11.24,11.24,11.24,11.24,102
14:30,11.5204,11.5204,11.5204,11.5204,231
14:33,11.42,11.42,11.42,11.42,195
14:41,11.43,11.43,11.43,11.43,247
14:44,11.28,11.28,11.28,11.28,100
14:53,11.41,11.41,11.2,11.2,1288
14:57,11.39,11.39,11.39,11.39,170
15:23,11.5638,11.5638,11.5638,11.5638,1000
15:25,11.4,11.4,11.2,11.2,257
15:26,11.405,11.405,11.405,11.405,180
15:27,11.405,11.405,11.405,11.405,290
15:49,11.455,11.455,11.455,11.455,100
15:53,11.5,11.5,11.5,11.5,330
15:54,11.41,11.6,11.41,11.6,942
15:56,11.42,11.42,11.42,11.42,128
15:57,11.4,11.5,11.4,11.5,507
15:58,11.5833,11.5833,11.5,11.5,366
15:59,11.49,11.49,11.42,11.42,503
09:30,11.67,11.67,11.67,11.67,662
09:33,11.62,11.62,11.62,11.62,494
09:52,11.875,12.1,11.875,12.1,1151
10:11,11.94,11.94,11.94,11.94,168
10:18,11.8,11.8,11.8,11.8,155
10:30,11.93,11.93,11.93,11.93,192
10:38,11.8,11.8,11.7916,11.7916,257
10:48,11.922407,11.922407,11.922407,11.922407,102
10:50,11.94,11.94,11.94,11.94,108
10:56,11.865,11.865,11.865,11.865,135
10:57,11.94,12.1,11.94,12.1,812
11:01,12.02,12.02,12.02,12.02,329
11:11,12,12,12,12,386
11:14,11.995,11.995,11.995,11.995,138
11:23,12.09,12.09,12.075,12.075,257
11:24,12.075,12.075,12.075,12.075,415
11:27,12.2499,12.2499,12.2499,12.2499,100
11:28,12,12,12,12,1025
11:31,12.03,12.03,12.03,12.03,203
11:54,12,12,12,12,120
11:58,12.0177,12.0177,12.01,12.01,2325
12:00,12.02,12.02,12.01,12.01,1154
12:08,12.02,12.02,12.02,12.02,129
12:16,12.15,12.15,12.15,12.15,367
12:19,11.91,11.91,11.91,11.91,332
12:24,11.88,11.88,11.88,11.88,501
12:25,11.95,11.95,11.95,11.95,100
12:27,12.15,12.15,12.15,12.15,1115
12:33,12,12,12,12,105
12:47,12,12,12,12,224
12:56,12.005,12.005,12.005,12.005,100
13:10,11.88,11.88,11.88,11.88,102
13:25,12.01,12.01,12.01,12.01,420
13:28,12.02,12.15,12.02,12.04,1388
13:38,12.02,12.02,12.02,12.02,596
13:49,11.9,11.93,11.9,11.91,680
13:54,12,12.075,12,12.075,477
13:55,12.08,12.08,12.08,12.08,100
13:58,12.08,12.08,12.08,12.08,300
14:00,12.08,12.08,12.08,12.08,408
14:01,12.08,12.08,12.08,12.08,300
14:03,12.08,12.1319,12.08,12.08,1912
14:15,12.14,12.15,12.07,12.07,1171
14:16,12.07,12.07,12.07,12.07,100
14:18,12.07,12.07,12.07,12.07,100
14:27,12.0622,12.12,12.0622,12.11,6537
14:34,12.2,12.2,12.03,12.065,3617
14:36,12.065,12.065,12.065,12.065,230
14:53,12.0001,12.1,12.0001,12.1,266
14:55,12.01,12.0228,12.01,12.0228,200
14:56,12.115,12.115,12.115,12.115,138
14:59,12.005,12.005,12.005,12.005,200
15:00,12.005,12.005,12.005,12.005,300
15:02,12.05,12.05,12.05,12.05,317
15:03,12.01,12.01,12.01,12.01,100
15:08,12.03,12.2,12,12.0901,2939
15:09,12.16,12.24,12.05,12.24,2785
15:13,12.075,12.075,12.075,12.075,100
15:21,12.2157,12.2157,12.2157,12.2157,234
15:23,12.15,12.15,12.15,12.15,224
15:25,12.1963,12.1963,12.1963,12.1963,100
15:27,12.09,12.09,12.09,12.09,244
15:29,12.12,12.12,12.12,12.12,106
15:30,12.12,12.14,12.1,12.14,1058
15:39,12.17,12.17,12.17,12.17,106
15:40,12.22,12.22,12.17,12.17,968
15:41,12.17,12.17,12.17,12.17,141
15:42,12.165,12.165,12.165,12.165,114
15:43,12.1,12.1,12.1,12.1,212
15:45,12.065,12.065,12.04,12.04,542
15:48,12.045,12.045,12.04,12.04,1086
15:49,11.885,12.08,11.885,12.08,2087
15:51,11.9668,11.9668,11.9668,11.9668,326
15:54,11.855,11.855,11.855,11.855,134
15:55,11.97,11.97,11.96,11.96,210
15:56,11.96,12.15,11.96,12.11,1208
15:57,12.01,12.01,12.01,12.01,1851
15:59,12.01,12.11,12.01,12.02,915
