time,open,high,low,close,volume
09:30,2.48,2.48,2.48,2.48,500
09:46,2.36,2.36,2.36,2.36,401
09:47,2.33,2.33,2.33,2.33,233
09:48,2.35,2.35,2.35,2.35,477
10:53,2.2537,2.2537,2.2537,2.2537,100
11:46,2.2856,2.2856,2.2856,2.2856,100
12:27,2.2762,2.2762,2.2762,2.2762,240
12:49,2.3655,2.3655,2.3655,2.3655,100
12:52,2.2666,2.2666,2.2666,2.2666,455
13:05,2.3689,2.3689,2.3689,2.3689,321
15:15,2.44,2.44,2.41,2.41,292
15:41,2.41,2.41,2.4,2.4,427
15:42,2.41,2.41,2.41,2.41,151
15:45,2.4,2.4,2.4,2.4,241
15:50,2.48,2.48,2.48,2.48,107
11:14,2.5198,2.5198,2.5198,2.5198,400
11:36,2.5366,2.5366,2.5366,2.5366,1000
11:44,2.42,2.42,2.42,2.42,120
12:40,2.5263,2.5263,2.5263,2.5263,100
13:27,2.4975,2.4975,2.4975,2.4975,200
14:19,2.5,2.5,2.5,2.5,162
14:36,2.54,2.55,2.54,2.55,2217
14:57,2.6,2.6,2.6,2.6,200
14:58,2.6,2.65,2.6,2.65,2533
14:59,2.64,2.65,2.625,2.625,630
15:06,2.65,2.65,2.65,2.65,406
15:08,2.7,2.7,2.7,2.7,971
15:09,2.7203,2.7203,2.7203,2.7203,462
15:10,2.75,2.75,2.75,2.75,253
15:11,2.8014,2.8014,2.8014,2.8014,104
15:12,2.7636,2.7636,2.7636,2.7636,200
15:15,2.7397,2.7397,2.7397,2.7397,247
15:23,2.74,2.74,2.74,2.74,396
15:24,2.82,2.82,2.82,2.82,335
15:27,2.84,2.84,2.84,2.84,1806
15:30,2.81,2.85,2.8,2.81,3876
15:31,2.83,2.83,2.83,2.83,491
15:48,2.74,2.74,2.7,2.7,590
15:57,2.79,2.79,2.79,2.79,105
15:58,2.79,2.87,2.78,2.8,1986
