time,open,high,low,close,volume
11:45,2.16,2.28,2.16,2.28,44645
11:46,2.25,2.25,2.25,2.25,1106
11:51,2.4084,2.4084,2.4084,2.4084,1000
11:56,2.28,2.38,2.28,2.31,5742
11:58,2.39,2.39,2.39,2.39,100
12:01,2.375,2.39,2.375,2.39,461
12:06,2.375,2.39,2.35,2.35,2200
12:08,2.29,2.32,2.29,2.32,314
12:16,2.26,2.26,2.25,2.25,722
12:18,2.28,2.28,2.25,2.25,600
12:19,2.25,2.25,2.25,2.25,500
12:24,2.31,2.32,2.31,2.31,3500
12:26,2.33,2.33,2.3292,2.3292,853
12:33,2.3,2.3,2.3,2.3,2500
12:39,2.33,2.33,2.33,2.33,1000
12:40,2.33,2.33,2.3236,2.33,6100
12:41,2.33,2.33,2.3236,2.3236,4200
12:42,2.3292,2.33,2.328,2.33,19000
12:43,2.33,2.35,2.32,2.35,15048
12:44,2.38,2.4,2.38,2.4,3380
12:45,2.405,2.405,2.4,2.4,2708
12:49,2.36,2.36,2.36,2.36,220
12:50,2.32,2.4104,2.32,2.4104,9100
12:51,2.4104,2.4104,2.4104,2.4104,2000
12:52,2.41,2.41,2.41,2.41,100
12:53,2.4266,2.4266,2.4266,2.4266,1900
12:54,2.43,2.43,2.43,2.43,1000
12:56,2.44,2.44,2.44,2.44,2000
13:00,2.43,2.43,2.41,2.43,1300
13:01,2.432,2.45,2.41,2.4499,18225
13:02,2.45,2.45,2.425,2.425,10000
13:03,2.45,2.45,2.4496,2.4496,6000
13:04,2.4497,2.45,2.4335,2.45,4897
13:08,2.45,2.45,2.4499,2.4499,10000
13:09,2.45,2.45,2.4499,2.45,5000
13:10,2.45,2.45,2.45,2.45,243
13:11,2.45,2.45,2.4499,2.45,14200
13:12,2.48,2.5,2.48,2.5,700
13:13,2.5,2.51,2.4999,2.5,3300
13:16,2.65,2.65,2.6,2.6,5099
13:17,2.6,2.65,2.6,2.65,500
13:23,2.6,2.6,2.6,2.6,1686
13:34,2.55,2.55,2.5,2.5,4100
13:35,2.5,2.55,2.5,2.5,4100
13:36,2.48,2.48,2.48,2.48,1100
13:39,2.5,2.5,2.5,2.5,4310
13:41,2.5,2.59,2.5,2.5,12085
13:42,2.5,2.5,2.5,2.5,300
13:43,2.53,2.53,2.5,2.5,300
