time,open,high,low,close,volume
09:30,4.93,5.1578,4.93,5.1578,66631
09:31,5.056,5.095,5.056,5.095,356
09:32,5.07,5.28,5.07,5.24,8659
09:33,5.245,5.4,5.2,5.4,13204
09:34,5.395,5.4,5.27,5.3157,8987
09:35,5.3019,5.4,5.3019,5.365,7187
09:36,5.34,5.34,5.19,5.2525,7530
09:37,5.23,5.26,5.15,5.23,11585
09:38,5.272,5.3,5.23,5.265,9262
09:39,5.285,5.285,5.23,5.23,6457
09:40,5.2752,5.2752,5.14,5.215,11229
09:41,5.1902,5.2121,5.1902,5.1957,6518
09:42,5.1945,5.24,5.19,5.24,3807
09:43,5.22,5.2542,5.2162,5.2162,2073
09:44,5.2411,5.2411,5.2411,5.2411,175
09:45,5.235,5.27,5.2119,5.25,6565
09:46,5.2201,5.2301,5.2201,5.2301,5713
09:47,5.245,5.2495,5.2338,5.2338,3284
09:48,5.245,5.2597,5.22,5.22,10165
09:49,5.22,5.22,5.19,5.2195,14238
09:50,5.2,5.21,5.2,5.21,686
09:52,5.2054,5.2099,5.17,5.18,12674
09:53,5.18,5.198,5.1748,5.18,1319
09:54,5.2,5.2,5.1711,5.185,2554
09:55,5.185,5.2,5.16,5.165,10703
09:56,5.18,5.21,5.18,5.19,3086
09:57,5.2,5.2,5.19,5.19,221
09:58,5.18,5.18,5.18,5.18,366
09:59,5.1801,5.199,5.0368,5.105,27723
10:00,5.11,5.11,5.0901,5.0901,6056
10:01,5.115,5.13,5.1001,5.13,4454
10:02,5.14,5.14,5.08,5.09,4261
10:03,5.075,5.11,5.075,5.1,2679
10:04,5.095,5.115,5.07,5.115,7111
10:05,5.15,5.15,5.14,5.14,521
10:06,5.13,5.165,5.13,5.165,2644
10:07,5.165,5.22,5.165,5.22,12056
10:08,5.23,5.25,5.23,5.2401,1516
10:09,5.241,5.26,5.23,5.25,3811
10:10,5.26,5.26,5.26,5.26,397
10:11,5.26,5.26,5.25,5.25,3279
10:12,5.2465,5.26,5.24,5.24,4419
10:13,5.255,5.28,5.255,5.28,3544
10:14,5.28,5.305,5.27,5.305,1711
10:15,5.305,5.32,5.305,5.31,2362
10:16,5.3,5.31,5.3,5.31,1809
10:17,5.32,5.33,5.3016,5.3192,7789
10:18,5.32,5.3581,5.32,5.3465,2551
10:19,5.35,5.36,5.35,5.36,2331
