time,open,high,low,close,volume
09:30,18.3,18.541,18.3,18.541,1736
09:31,18.3628,18.4208,17.84,17.9305,6212
09:32,17.8301,18.1129,17.8301,18.11,2066
09:33,18.12,18.12,17.9391,17.9453,1382
09:34,17.835,17.89,17.8172,17.89,571
09:35,17.7992,17.8054,17.48,17.48,5212
09:36,17.6199,17.6199,17.46,17.5149,5563
09:37,17.5674,17.58,17.5,17.58,1604
09:38,17.49,17.59,17.45,17.59,4873
09:39,17.45,17.46,17.4496,17.46,2944
09:40,17.475,17.475,17.4,17.4,3296
09:41,17.6,17.62,17.57,17.57,1188
09:42,17.5703,17.62,17.5703,17.62,1715
09:43,17.63,17.65,17.63,17.65,252
09:45,17.7122,17.7122,17.63,17.63,1920
09:46,17.41,17.41,17.41,17.41,150
09:47,17.25,17.25,17.2457,17.2457,1639
09:49,17.2,17.2425,17.2,17.2425,983
09:51,17.0686,17.0686,16.93,17.0508,2156
09:52,17,17.05,16.985,17.0345,3500
09:53,17.12,17.12,17.12,17.12,741
09:54,17.1915,17.2,17.1915,17.2,511
09:55,17.21,17.21,17.05,17.05,1185
09:56,17,17,16.8,16.8,3193
09:57,16.7995,16.8,16.7995,16.8,1933
09:58,16.835,16.89,16.835,16.89,401
10:00,16.87,16.87,16.85,16.85,3086
10:04,16.83,16.83,16.7989,16.8,2609
10:05,16.87,16.87,16.87,16.87,529
10:06,16.93,16.93,16.93,16.93,217
10:09,16.9911,17.005,16.9911,17.005,1150
10:10,16.91,16.91,16.84,16.84,1068
10:11,16.84,16.85,16.84,16.84,996
10:12,16.85,16.87,16.85,16.87,838
10:14,16.88,16.88,16.88,16.88,118
10:15,17,17,17,17,542
10:16,17.0228,17.0228,17.0228,17.0228,100
10:17,17,17,17,17,406
10:19,17,17,17,17,413
10:20,17.06,17.14,17.011,17.14,1178
10:21,17.1149,17.1149,17.1149,17.1149,284
10:22,17,17.12,17,17.12,823
10:24,17,17,16.9,16.9,929
10:25,17.0343,17.0343,17.0343,17.0343,111
10:30,17,17,17,17,655
10:33,16.92,17.04,16.9101,16.9101,1011
10:36,17,17.0375,16.9669,16.9669,1233
10:37,16.99,17,16.97,16.97,2100
10:38,16.91,16.91,16.91,16.91,100
10:42,16.8,16.8,16.8,16.8,1072
10:44,16.78,16.85,16.78,16.85,560
10:46,16.78,16.78,16.78,16.78,381
10:47,16.78,16.78,16.72,16.72,833
10:50,16.6965,16.6965,16.64,16.64,672
10:51,16.5501,16.7,16.5501,16.695,6333
10:53,16.7399,16.7399,16.7399,16.7399,104
10:54,16.695,16.695,16.695,16.695,129
10:55,16.64,16.75,16.64,16.75,570
10:57,16.74,16.77,16.74,16.77,2680
11:00,16.9799,16.9799,16.84,16.84,6194
11:02,16.8619,16.8619,16.8619,16.8619,183
11:04,16.93,16.93,16.93,16.93,101
11:08,16.85,16.85,16.85,16.85,121
11:09,16.82,16.82,16.82,16.82,103
11:12,16.915,16.92,16.87,16.87,1694
11:13,16.86,16.86,16.86,16.86,118
11:14,16.9,16.9,16.9,16.9,2011
11:15,16.9,16.9,16.9,16.9,104
11:16,16.9018,16.9018,16.9018,16.9018,1024
11:17,16.92,16.92,16.807901,16.807901,5272
11:18,16.82,16.82,16.82,16.82,141
11:21,17.05,17.05,17.05,17.05,100
11:24,17.39,17.39,17.39,17.39,200
11:26,17.3,17.3,17.3,17.3,180
11:27,17.3,17.3,17.3,17.3,169
11:28,17.32,17.32,17.32,17.32,166
11:29,17.2684,17.2684,17.2684,17.2684,170
11:30,17.15,17.15,17.15,17.15,139
11:32,17.185,17.185,17.185,17.185,200
11:34,17.2,17.2,17.2,17.2,340
11:39,17.1,17.1,17.1,17.1,423
11:42,17.36,17.36,17.36,17.36,1111
11:43,17.44,17.44,17.44,17.44,1050
11:45,17.4685,17.4685,17.43,17.43,200
11:47,17.415,17.415,17.415,17.415,187
11:49,17.42,17.42,17.42,17.42,466
11:51,17.25,17.25,17.25,17.25,350
11:52,17.3275,17.3275,17.3275,17.3275,144
11:57,17.1,17.1,17.1,17.1,2300
12:02,16.9761,16.9761,16.9761,16.9761,216
12:05,16.91,16.91,16.91,16.91,1000
12:07,16.8645,16.8645,16.8,16.807,1172
12:10,16.8,16.8,16.77,16.77,2016
12:14,16.8,16.8,16.8,16.8,250
12:16,16.76,16.76,16.75,16.75,372
12:18,16.64,16.64,16.64,16.64,170
12:21,16.69,16.69,16.69,16.69,107
12:24,16.796,16.81,16.796,16.81,931
12:30,16.79,16.79,16.79,16.79,103
12:35,16.9,16.9,16.9,16.9,315
12:38,16.75,16.75,16.75,16.75,965
12:40,16.75,16.75,16.725,16.725,926
12:46,16.6,16.6,16.56,16.56,1284
12:47,16.55,16.55,16.55,16.55,402
12:48,16.52,16.54,16.52,16.54,1100
13:00,16.73,16.73,16.73,16.73,604
13:04,16.86,16.86,16.86,16.86,171
13:08,16.83,16.83,16.83,16.83,100
13:09,16.76,16.76,16.76,16.76,254
13:10,16.74,16.74,16.74,16.74,493
13:27,16.77,16.77,16.77,16.77,127
13:32,16.89,16.89,16.89,16.89,204
13:34,16.73,16.73,16.73,16.73,142
13:40,16.71,16.71,16.69,16.69,2203
13:42,16.7183,16.7183,16.7183,16.7183,100
13:46,16.6432,16.6432,16.6432,16.6432,600
13:49,16.652,16.652,16.652,16.652,5032
13:56,16.71,16.71,16.71,16.71,100
14:01,16.83,16.83,16.83,16.83,182
14:06,16.79,16.82,16.79,16.82,201
14:07,16.73,16.73,16.73,16.73,373
14:12,16.7315,16.77,16.7315,16.77,1895
14:20,16.7773,16.7773,16.7773,16.7773,101
14:22,16.73,16.73,16.73,16.73,205
14:28,16.84,16.84,16.84,16.84,244
14:30,16.8869,16.8869,16.8869,16.8869,2800
14:32,16.9093,16.9093,16.87,16.87,1111
14:33,16.86,16.91,16.84,16.8444,11500
14:36,16.91,16.95,16.91,16.95,479
14:37,16.86,16.86,16.86,16.86,200
14:42,16.84,16.84,16.84,16.84,170
14:43,16.8,16.8,16.8,16.8,380
14:47,16.81,16.81,16.8014,16.8014,4578
14:48,16.81,16.84,16.81,16.84,568
14:50,16.83,16.83,16.83,16.83,161
14:55,16.88,16.88,16.88,16.88,200
