time,open,high,low,close,volume
10:09,1.54,1.54,1.54,1.54,100
11:34,1.52,1.52,1.52,1.52,100
12:08,1.485,1.485,1.485,1.485,1101
15:50,1.46,1.46,1.46,1.46,202
15:51,1.49,1.49,1.49,1.49,100
10:24,1.475,1.475,1.475,1.475,1500
11:22,1.4999,1.5,1.4999,1.5,308
11:54,1.48,1.48,1.48,1.48,204
12:54,1.45,1.45,1.45,1.45,223
13:03,1.466,1.466,1.466,1.466,1000
13:05,1.4798,1.4799,1.465,1.465,2000
13:07,1.48,1.48,1.4698,1.4698,2000
13:10,1.46,1.46,1.46,1.46,200
13:34,1.46,1.46,1.4599,1.4599,1694
13:35,1.5,1.5,1.4999,1.4999,206
14:49,1.48,1.48,1.48,1.48,200
15:18,1.47,1.47,1.4699,1.4699,2000
15:47,1.47,1.47,1.47,1.47,100
