time,open,high,low,close,volume
09:45,14.51,14.8,14.14,14.39,1270
09:56,14.19,14.19,14.11,14.11,200
10:00,14.65,14.65,14.65,14.65,400
10:15,14.19,14.19,14.19,14.19,100
10:21,14.19,14.19,14.19,14.19,133
10:33,14.59,14.59,14.59,14.59,100
10:49,14.8,14.8,14.2,14.2,332
15:55,12.3,12.3,12.3,12.3,100
09:42,8.5,12.25,8.5,12.25,450
09:43,9.5433,9.5433,9.5433,9.5433,100
10:26,11,11,10.2,10.2,200
10:27,11.25,11.25,11.25,11.25,340
10:30,11.9,12.17,11.9,12.17,1055
10:31,13,13.1,12.99,13.1,1136
10:32,12.75,12.75,12.75,12.75,240
10:34,12.76,12.76,12.76,12.76,498
10:35,12.99,13.51,12.99,13.5,706
10:48,13.49,13.5,12.6,12.6,801
10:50,13.17,13.17,13.15,13.15,504
10:53,13.95,14.22,13.95,14.22,1058
10:59,14.4,14.4,13.9,13.9,665
11:06,15,15,15,15,1999
11:07,15,16.32,15,16.32,2085
11:12,17.27,17.27,17.14,17.14,200
11:13,16,16,16,16,791
11:17,17.11,17.11,17.05,17.05,350
11:18,17.48,17.48,17.48,17.48,104
11:20,16,16.13,15.49,16.13,2660
11:21,16.8,16.8,16.8,16.8,100
11:22,16.8,16.8,15.7,16.05,2226
11:23,16.45,16.45,16.44,16.44,602
11:24,15.99,15.99,15.99,15.99,136
11:25,16.1,16.1,15.72,15.72,340
11:27,16.1,16.45,16.1,16.44,1334
11:29,15.8,15.8,15.8,15.8,202
11:30,16.4,16.4,16.1,16.2,396
11:31,16.1,16.7,16.1,16.36,500
11:32,15.88,15.88,15.88,15.88,100
11:33,16.3,16.3,16.3,16.3,100
11:34,17.1,17.1,16.24,16.34,1611
11:39,17.2,17.2,16.2,16.43,2111
11:40,16.6,16.6,16.6,16.6,100
11:50,16.8,16.8,16.8,16.8,1000
11:51,16.8,16.8,16.8,16.8,1235
12:02,16.7,16.7,16.69,16.7,2102
12:06,16.97,16.98,16.22,16.22,2111
12:09,16.4,16.5,16.17,16.17,404
12:11,15.71,15.72,15.7,15.72,464
12:12,15.63,15.95,15.1,15.95,782
12:14,16.4,16.4,16.4,16.4,1003
12:15,16.1,16.1,15.38,15.77,800
12:16,16.2,16.2,16.2,16.2,700
12:20,16.15,16.15,16.15,16.15,309
12:21,16,16.15,16,16.15,981
12:29,16.7,16.7,15.9,15.9,1050
12:30,15.4,16,15.21,15.36,661
12:34,15.3,15.3,15.3,15.3,100
