time,open,high,low,close,volume
09:30,1.3,1.32,1.3,1.3019,9285
09:31,1.3124,1.3124,1.3124,1.3124,105
09:32,1.3181,1.3181,1.3073,1.31,5894
09:33,1.31,1.3164,1.31,1.31,4000
09:34,1.313,1.313,1.3027,1.31,1150
09:35,1.3094,1.3094,1.3094,1.3094,169
09:36,1.31,1.31,1.305,1.3099,1550
09:37,1.31,1.32,1.31,1.31,22661
09:38,1.3093,1.3093,1.3,1.3,8523
09:39,1.305,1.305,1.29,1.29,10530
09:40,1.2807,1.2807,1.2807,1.2807,4930
09:41,1.29,1.29,1.29,1.29,200
09:42,1.2987,1.2987,1.2987,1.2987,136
09:43,1.29,1.29,1.27,1.27,3515
09:44,1.29,1.29,1.27,1.27,2821
09:45,1.28,1.31,1.28,1.295,15483
09:46,1.2708,1.29,1.2708,1.29,286
09:47,1.29,1.29,1.29,1.29,1097
09:53,1.2864,1.29,1.2864,1.2898,1096
09:54,1.28,1.28,1.28,1.28,152
09:55,1.286,1.29,1.28,1.28,2546
09:56,1.28,1.28,1.28,1.28,763
09:57,1.285,1.285,1.28,1.28,3406
09:58,1.28,1.3,1.28,1.2865,2016
09:59,1.295,1.295,1.27,1.27,2679
10:00,1.2771,1.29,1.2771,1.29,1520
10:01,1.29,1.29,1.28,1.29,2045
10:02,1.285,1.285,1.285,1.285,3516
10:03,1.29,1.29,1.29,1.29,1016
10:04,1.29,1.29,1.29,1.29,513
10:05,1.28,1.28,1.28,1.28,308
10:06,1.28,1.29,1.27,1.27,6223
10:07,1.2786,1.2786,1.2786,1.2786,434
10:08,1.2814,1.29,1.2814,1.29,4359
10:11,1.285,1.29,1.2801,1.29,1081
10:12,1.29,1.29,1.2801,1.2801,2352
10:13,1.28,1.28,1.28,1.28,583
10:14,1.27,1.27,1.27,1.27,987
10:15,1.29,1.29,1.29,1.29,110
10:16,1.29,1.29,1.29,1.29,1000
10:18,1.2833,1.2833,1.2833,1.2833,180
10:19,1.29,1.29,1.29,1.29,507
10:20,1.29,1.29,1.29,1.29,1777
10:21,1.29,1.29,1.26,1.2605,10800
10:22,1.27,1.27,1.2601,1.27,5124
10:23,1.265,1.265,1.265,1.265,250
10:25,1.27,1.27,1.2699,1.27,7117
10:32,1.2701,1.283,1.2701,1.2701,5751
10:33,1.2713,1.2713,1.2713,1.2713,200
10:38,1.29,1.29,1.28,1.28,300
10:40,1.29,1.2975,1.28,1.2975,715
10:41,1.29,1.2901,1.28,1.28,20047
10:46,1.28,1.28,1.2601,1.275,11730
10:49,1.2793,1.2793,1.2793,1.2793,254
10:53,1.28,1.29,1.28,1.285,1338
10:54,1.285,1.285,1.28,1.28,613
10:55,1.29,1.29,1.29,1.29,506
10:56,1.2714,1.2714,1.2714,1.2714,4085
10:58,1.2999,1.2999,1.2999,1.2999,112
10:59,1.2898,1.2898,1.2891,1.2898,1052
11:03,1.2794,1.2794,1.2794,1.2794,2341
11:08,1.2701,1.28,1.27,1.28,5330
11:13,1.28,1.28,1.28,1.28,158
11:17,1.27,1.28,1.27,1.28,11727
11:20,1.27,1.27,1.27,1.27,1295
11:21,1.27,1.28,1.27,1.28,1853
11:24,1.2862,1.2862,1.27,1.27,1709
11:26,1.275,1.275,1.275,1.275,130
11:27,1.2775,1.2792,1.275,1.275,1835
11:29,1.275,1.28,1.275,1.28,1645
11:33,1.28,1.28,1.28,1.28,672
11:34,1.28,1.28,1.28,1.28,2658
11:39,1.28,1.28,1.28,1.28,340
11:40,1.28,1.28,1.28,1.28,159
11:41,1.29,1.29,1.29,1.29,567
11:48,1.29,1.29,1.29,1.29,2159
11:49,1.29,1.29,1.29,1.29,328
11:51,1.29,1.29,1.29,1.29,165
11:52,1.2889,1.2889,1.2889,1.2889,395
11:53,1.29,1.29,1.29,1.29,2657
11:54,1.29,1.3,1.2863,1.295,14768
11:55,1.29,1.29,1.285,1.285,3313
11:57,1.2888,1.3,1.2801,1.29,6518
11:58,1.285,1.285,1.285,1.285,200
11:59,1.29,1.29,1.29,1.29,200
12:00,1.3,1.3,1.3,1.3,10000
12:01,1.29,1.29,1.29,1.29,422
12:05,1.29,1.29,1.29,1.29,200
12:06,1.28,1.28,1.28,1.28,1709
12:10,1.29,1.29,1.285,1.285,571
12:19,1.28,1.29,1.26,1.26,45985
12:20,1.25,1.26,1.18,1.215,35743
12:24,1.21,1.21,1.21,1.21,2251
12:25,1.22,1.22,1.22,1.22,230
12:26,1.2192,1.2192,1.2192,1.2192,182
12:28,1.25,1.25,1.25,1.25,100
12:29,1.2257,1.2257,1.2257,1.2257,100
12:30,1.2201,1.2201,1.2201,1.2201,165
12:31,1.2257,1.2257,1.2257,1.2257,100
12:32,1.2201,1.2201,1.2201,1.2201,164
12:33,1.226,1.2492,1.222,1.2492,3410
12:34,1.2201,1.2201,1.2201,1.2201,243
12:35,1.235,1.235,1.235,1.235,100
12:36,1.235,1.235,1.235,1.235,150
12:37,1.25,1.25,1.24,1.24,1806
12:38,1.24,1.24,1.24,1.24,167
12:39,1.2321,1.2321,1.2321,1.2321,100
12:40,1.24,1.24,1.24,1.24,100
12:41,1.2321,1.2321,1.2321,1.2321,293
12:42,1.2301,1.2301,1.2301,1.2301,383
12:43,1.25,1.25,1.2321,1.2321,1495
12:44,1.2321,1.24,1.2321,1.24,200
12:45,1.2401,1.255,1.24,1.255,2944
12:46,1.255,1.255,1.2436,1.2436,200
12:47,1.2401,1.2401,1.2401,1.2401,114
12:48,1.255,1.27,1.255,1.27,500
12:49,1.2401,1.26,1.24,1.26,1209
12:50,1.25,1.25,1.25,1.25,106
12:52,1.27,1.27,1.27,1.27,114
12:56,1.27,1.27,1.27,1.27,431
12:58,1.27,1.27,1.27,1.27,119
13:00,1.27,1.27,1.27,1.27,120
13:01,1.27,1.27,1.27,1.27,100
13:11,1.26,1.26,1.25,1.25,261
13:14,1.2687,1.2687,1.2687,1.2687,788
13:16,1.2517,1.2517,1.2517,1.2517,500
13:19,1.26,1.26,1.26,1.26,155
13:28,1.2688,1.2688,1.2688,1.2688,1181
13:30,1.26,1.26,1.26,1.26,220
13:31,1.2685,1.2685,1.2685,1.2685,100
13:34,1.25,1.26,1.25,1.26,588
13:37,1.2502,1.27,1.2502,1.27,830
13:38,1.2518,1.2518,1.2518,1.2518,305
13:39,1.2688,1.2688,1.2688,1.2688,500
13:52,1.26,1.26,1.26,1.26,422
13:55,1.25,1.25,1.25,1.25,100
14:00,1.252,1.252,1.25,1.25,430
14:04,1.26,1.26,1.26,1.26,172
14:17,1.25,1.25,1.25,1.25,100
14:19,1.2545,1.2545,1.2545,1.2545,2300
14:21,1.26,1.26,1.25,1.25,200
14:22,1.2516,1.26,1.25,1.25,1473
14:23,1.25,1.25,1.25,1.25,200
14:24,1.25,1.25,1.25,1.25,200
