time,open,high,low,close,volume
09:30,3.06,3.18,3.06,3.18,3788
09:31,3.19,3.2,3.1479,3.2,614
09:32,3.2,3.2,3.18,3.18,1144
09:33,3.21,3.23,3.21,3.23,3820
09:34,3.24,3.27,3.2136,3.2136,1161
09:36,3.21,3.2192,3.21,3.21,1011
09:37,3.0803,3.0803,3,3,1261
09:38,3.1943,3.1943,3.1943,3.1943,350
09:39,3.0002,3.0002,3.0001,3.0001,839
09:40,3.181,3.181,3.09,3.09,388
09:42,3.03,3.03,3,3,753
09:44,3.024,3.024,3.0007,3.0007,510
09:49,3.0292,3.0292,3.0292,3.0292,161
09:51,3.22,3.22,3.22,3.22,439
09:54,3.1841,3.1841,3.1841,3.1841,188
10:00,3,3,3,3,357
10:01,3,3,3,3,449
10:04,3.1667,3.1667,3.1667,3.1667,216
10:07,3.0952,3.0952,3.0952,3.0952,300
10:18,3.0813,3.0813,3.04,3.04,839
10:19,3,3,3,3,952
10:23,2.9298,2.94,2.9298,2.94,480
10:24,2.9862,2.9862,2.9862,2.9862,341
10:30,3.0747,3.1,3.015,3.1,3903
10:31,3.067,3.1,3.067,3.1,2113
10:32,3.07,3.07,3.07,3.07,500
10:35,3.13,3.165,3.13,3.165,635
10:36,3.17,3.17,3.17,3.17,200
10:37,3.1699,3.17,3.1699,3.17,3699
10:38,3.2,3.25,3.2,3.25,1426
10:39,3.25,3.25,3.25,3.25,193
10:40,3.24,3.3252,3.24,3.32,2107
10:41,3.3259,3.3259,3.3008,3.3008,1213
10:42,3.3352,3.3352,3.3352,3.3352,1168
10:43,3.38,3.3999,3.34,3.3435,4019
10:44,3.3453,3.3453,3.3453,3.3453,201
10:45,3.34,3.393,3.34,3.393,801
10:46,3.3534,3.3823,3.3534,3.3823,593
10:48,3.3698,3.405028,3.3698,3.405028,1039
10:49,3.39,3.4,3.37,3.4,1154
10:50,3.41,3.41,3.37,3.37,2905
10:51,3.37,3.3872,3.37,3.3872,3153
10:52,3.3842,3.3842,3.3763,3.3763,650
10:59,3.39,3.39,3.39,3.39,211
11:00,3.382,3.3825,3.382,3.3825,300
11:01,3.3921,3.3921,3.3921,3.3921,500
11:02,3.39,3.39,3.39,3.39,430
11:03,3.4,3.5,3.4,3.5,4377
11:04,3.5,3.6,3.5,3.6,5864
11:05,3.5954,3.5954,3.4,3.4,1854
11:06,3.4073,3.4396,3.4,3.4171,2753
11:07,3.4861,3.4861,3.4201,3.4201,1063
11:08,3.485,3.55,3.42,3.42,1732
11:09,3.4852,3.536,3.4852,3.536,200
11:10,3.4383,3.5847,3.4383,3.5847,449
11:12,3.4927,3.4927,3.4927,3.4927,101
11:13,3.4322,3.4648,3.4309,3.4648,703
11:14,3.42,3.42,3.35,3.35,1139
11:15,3.2801,3.2801,3.2801,3.2801,294
11:16,3.28,3.38,3.2,3.38,2230
11:18,3.4818,3.4818,3.4818,3.4818,569
11:25,3.4,3.4,3.4,3.4,146
11:26,3.39,3.4,3.39,3.4,352
11:30,3.3176,3.3176,3.3176,3.3176,181
11:32,3.3001,3.3001,3.3001,3.3001,200
11:33,3.3503,3.4,3.3503,3.4,1200
11:37,3.425,3.425,3.425,3.425,152
11:42,3.43,3.49,3.43,3.49,510
11:45,3.45,3.45,3.45,3.45,134
11:49,3.43,3.43,3.43,3.43,177
11:52,3.43,3.43,3.43,3.43,230
11:56,3.3238,3.375,3.3001,3.3001,931
11:59,3.317,3.317,3.317,3.317,199
12:06,3.3302,3.4487,3.3302,3.4487,300
12:11,3.4331,3.4331,3.37,3.37,1156
12:12,3.3234,3.3234,3.3234,3.3234,288
12:14,3.43,3.43,3.43,3.43,100
12:17,3.35,3.38,3.35,3.38,200
12:20,3.36,3.36,3.36,3.36,100
12:22,3.43,3.43,3.43,3.43,100
12:23,3.3301,3.3301,3.3301,3.3301,100
12:25,3.38,3.38,3.38,3.38,100
12:26,3.3306,3.3306,3.3306,3.3306,1500
12:27,3.4,3.4,3.4,3.4,100
12:28,3.42,3.42,3.41,3.41,209
12:40,3.43,3.562,3.43,3.5554,1650
12:41,3.5799,3.5799,3.4581,3.515,1396
12:42,3.5519,3.562,3.45,3.56,3513
12:43,3.46,3.46,3.46,3.46,152
12:44,3.5602,3.5602,3.5602,3.5602,206
12:45,3.5701,3.65,3.56,3.6299,10813
12:46,3.645,3.6791,3.645,3.6675,1707
12:47,3.6316,3.6316,3.6316,3.6316,2032
12:48,3.68,3.68,3.62,3.645,2426
12:49,3.7186,3.7186,3.5893,3.71,2506
12:50,3.6997,3.6997,3.6472,3.6472,570
12:51,3.6654,3.75,3.6654,3.69,2586
12:52,3.7917,3.8684,3.7917,3.8684,1081
12:53,3.8682,3.9899,3.845,3.9899,3700
12:54,3.925,3.925,3.4,3.6639,8267
12:55,3.7,3.7,3.5676,3.58,5281
12:56,3.5733,3.68,3.55,3.55,1002
12:57,3.5686,3.5772,3.5668,3.5668,1112
12:58,3.57,3.62,3.57,3.62,240
13:00,3.579,3.579,3.5777,3.5777,359
13:01,3.6068,3.6068,3.6054,3.6054,350
13:02,3.57,3.57,3.57,3.57,733
13:03,3.57,3.5855,3.57,3.5855,961
13:04,3.58,3.58,3.5765,3.5765,2120
13:05,3.585,3.59,3.585,3.59,528
13:07,3.57,3.57,3.57,3.57,1036
13:08,3.55,3.55,3.55,3.55,287
13:10,3.4801,3.5055,3.4,3.5055,1705
13:12,3.4858,3.4858,3.4857,3.4857,201
13:13,3.4857,3.4857,3.4857,3.4857,111
13:15,3.39,3.39,3.36,3.36,820
13:16,3.3381,3.3381,3.3381,3.3381,100
13:17,3.36,3.36,3.3,3.3,1125
13:18,3.2,3.2485,3.2,3.2485,636
13:19,3.4842,3.4842,3.3722,3.38,690
13:20,3.39,3.39,3.39,3.39,2166
13:22,3.49,3.5,3.49,3.5,448
13:24,3.49,3.49,3.49,3.49,290
13:27,3.47,3.47,3.47,3.47,297
13:28,3.54,3.54,3.54,3.54,176
13:29,3.39,3.5314,3.3,3.5314,4334
13:34,3.425,3.425,3.3372,3.3372,351
13:36,3.3379,3.3379,3.3379,3.3379,158
13:45,3.4436,3.4436,3.4436,3.4436,101
13:51,3.4333,3.4333,3.4333,3.4333,510
13:52,3.5308,3.55,3.43,3.43,1930
13:59,3.5052,3.5052,3.5052,3.5052,230
14:05,3.5646,3.5646,3.55,3.55,1135
14:06,3.4501,3.515,3.4501,3.515,1138
14:11,3.57,3.605,3.57,3.605,4403
14:13,3.6709,3.6709,3.6709,3.6709,148
14:14,3.6747,3.69,3.65,3.69,4023
14:16,3.6721,3.6721,3.6721,3.6721,158
14:17,3.65,3.65,3.65,3.65,326
14:24,3.65,3.65,3.65,3.65,589
14:25,3.675,3.675,3.675,3.675,1001
14:26,3.7,3.7,3.69,3.69,2066
14:27,3.6576,3.6576,3.6576,3.6576,131
14:29,3.69,3.75,3.69,3.73,817
14:31,3.73,3.73,3.73,3.73,184
14:32,3.8,3.8,3.8,3.8,2127
14:34,3.7876,3.84,3.7876,3.84,1829
14:35,3.8355,3.8355,3.8355,3.8355,168
14:36,3.8343,3.85,3.8343,3.85,765
14:37,3.78,3.78,3.78,3.78,198
14:38,3.7463,3.7463,3.7463,3.7463,153
14:39,3.83,3.88,3.83,3.88,730
14:41,3.7546,3.78,3.73,3.7799,4372
14:42,3.765,3.7767,3.75,3.7767,860
14:43,3.77,3.77,3.7307,3.7375,1540
14:44,3.73,3.7301,3.6503,3.6503,3966
14:45,3.5,3.5,3.5,3.5,222
14:50,3.64,3.65,3.64,3.65,747
14:58,3.5001,3.5001,3.5001,3.5001,135
15:01,3.51,3.51,3.51,3.51,125
15:11,3.51,3.51,3.51,3.51,216
15:13,3.51,3.513,3.5,3.513,2000
15:21,3.5245,3.5245,3.5245,3.5245,103
15:25,3.5168,3.5168,3.5168,3.5168,300
15:29,3.5244,3.5244,3.5244,3.5244,130
15:30,3.53,3.715,3.53,3.715,1127
15:31,3.715,3.715,3.6886,3.6886,630
15:32,3.68,3.7,3.68,3.7,534
15:41,3.5392,3.5392,3.5392,3.5392,300
15:46,3.61,3.61,3.61,3.61,400
15:48,3.6,3.6,3.6,3.6,200
15:53,3.63,3.63,3.63,3.63,128
15:55,3.7,3.7,3.69,3.7,811
15:58,3.6405,3.68,3.6,3.68,2342
09:30,4.24,4.24,3.8802,4.0879,4832
09:31,4.0419,4.0419,3.8819,3.8819,1480
09:32,4.0471,4.0471,4.0471,4.0471,244
09:33,4.0252,4.0252,3.94,3.9495,1009
09:34,3.92,3.92,3.89,3.89,455
09:37,3.9024,3.9024,3.9024,3.9024,382
09:38,3.899,3.9,3.899,3.9,536
09:39,3.81,3.85,3.81,3.85,512
09:40,3.8058,3.8215,3.8058,3.8215,393
09:41,3.8048,3.82,3.8048,3.82,260
09:42,3.8011,3.8015,3.8,3.8,574
09:44,3.7657,3.7657,3.76,3.76,421
09:47,3.77,3.82,3.77,3.82,377
09:52,3.8458,3.8458,3.8458,3.8458,120
09:56,3.8357,3.8357,3.8357,3.8357,553
10:05,3.94,3.99,3.9354,3.99,739
10:08,3.9734,3.9734,3.9734,3.9734,273
10:10,4.08,4.08,4.08,4.08,664
10:11,3.9734,4.08,3.9734,4.08,655
10:13,4.08,4.08,4.08,4.08,478
10:14,4.0735,4.0735,4.0735,4.0735,447
