time,open,high,low,close,volume
09:30,7.15,7.745,7.15,7.745,1006
09:32,7.5527,7.5527,7.5527,7.5527,330
09:33,7.46,7.46,7.46,7.46,180
09:36,7.08,7.2499,6.9899,7.2499,2492
09:45,7.1228,7.1228,7.1228,7.1228,300
09:56,7.15,7.15,7.15,7.15,210
10:01,7.01,7.01,6.9,6.9,1001
10:02,6.81,6.81,6.81,6.81,129
10:03,7.015,7.015,7.015,7.015,504
10:10,7.21,7.21,7.21,7.21,100
10:19,7.2199,7.3,7.18,7.3,6038
10:23,6.94,6.95,6.9383,6.9383,1568
10:24,6.9588,7.1434,6.9588,7.1434,500
10:25,6.96,6.96,6.95,6.95,1019
10:26,6.94,6.94,6.9,6.9,1477
10:27,6.9,6.9,6.55,6.7316,28539
10:28,6.7322,6.7322,6.58,6.58,2572
10:38,6.7,6.7,6.7,6.7,623
10:40,6.8518,6.8518,6.8518,6.8518,146
11:00,6.85,6.85,6.85,6.85,200
11:06,6.55,6.55,6.33,6.515,9269
11:21,6.36,6.36,6.3,6.3,2054
11:24,6.585,6.585,6.585,6.585,100
11:28,6.26,6.26,6.26,6.26,135
11:32,6.3,6.3,6.3,6.3,210
11:33,6.51,6.51,6.51,6.51,501
11:39,6.71,6.71,6.71,6.71,150
11:51,6.32,6.32,6.28,6.3,1453
12:16,6.47,6.47,6.36,6.36,221
12:17,6.38,6.38,6.38,6.38,100
12:18,6.3622,6.3622,6.36,6.36,200
12:20,6.42,6.42,6.42,6.42,100
12:25,6.42,6.42,6.42,6.42,125
12:28,6.26,6.26,6.2,6.2,1677
12:29,6.1803,6.1803,6.1803,6.1803,100
12:30,6.18,6.18,6.1234,6.1234,400
12:32,6.12,6.12,6.12,6.12,100
12:34,6.073,6.2279,6.02,6.2279,2855
12:43,6.1476,6.1476,6.1476,6.1476,300
12:44,6.12,6.2499,6.12,6.2499,572
13:07,6.2297,6.2297,6.2297,6.2297,120
13:11,6.24,6.24,6.24,6.24,502
13:13,6.01,6.02,5.84,5.84,3074
13:15,5.9796,5.9796,5.9796,5.9796,270
13:16,5.9567,5.9567,5.9567,5.9567,212
13:17,5.9899,5.9899,5.9899,5.9899,161
13:37,6.01,6.01,6.01,6.01,104
13:49,5.98,5.98,5.95,5.95,376
13:54,5.95,5.95,5.95,5.95,100
13:56,5.95,5.95,5.95,5.95,300
14:19,5.75,5.75,5.75,5.75,1264
14:21,5.728,5.728,5.728,5.728,100
14:27,5.9696,5.9696,5.9696,5.9696,893
14:28,5.9682,5.9682,5.9682,5.9682,550
14:44,5.97,5.97,5.97,5.97,200
15:00,5.9,5.9,5.9,5.9,251
15:08,6,6,6,6,1093
15:17,5.97,5.97,5.97,5.97,200
15:23,5.945,5.945,5.945,5.945,101
15:32,5.95,5.95,5.95,5.95,308
15:41,6,6,6,6,222
15:59,6.03,6.06,6,6,798
09:30,6.31,6.31,6.31,6.31,829
09:38,6.3292,6.3292,6.3292,6.3292,516
09:39,6.0301,6.0301,5.91,5.91,2263
09:41,6.06,6.06,6.06,6.06,838
09:50,6,6,6,6,384
09:54,5.92,5.93,5.91,5.91,1781
09:56,5.7834,6.025,5.7834,5.93,793
09:57,5.93,5.93,5.93,5.93,344
10:05,5.7,5.7,5.7,5.7,300
10:07,5.706,5.9819,5.706,5.9819,2004
10:09,5.7,5.7,5.7,5.7,100
10:10,5.7,5.7,5.7,5.7,216
10:11,5.72,5.72,5.56,5.56,1034
10:15,5.635,5.635,5.635,5.635,170
10:16,5.635,5.635,5.635,5.635,107
10:20,5.57,5.57,5.46,5.46,938
10:21,5.395,5.395,5.395,5.395,335
10:23,5.42,5.42,5.3101,5.3101,662
10:25,5.4797,5.48,5.4774,5.48,300
10:26,5.4899,5.4899,5.48,5.48,339
10:29,5.489,5.489,5.4886,5.4886,1000
10:35,5.45,5.45,5.45,5.45,300
10:39,5.4,5.4,5.4,5.4,106
10:40,5.39,5.39,5.39,5.39,380
10:41,5.38,5.38,5.31,5.31,812
10:42,5.3946,5.3946,5.3946,5.3946,200
10:49,5.39,5.39,5.39,5.39,100
10:52,5.4328,5.4328,5.4328,5.4328,550
10:54,5.445,5.445,5.4,5.4,404
11:00,5.36,5.37,5.36,5.37,300
11:05,5.36,5.36,5.36,5.36,272
11:09,5.31,5.31,5.31,5.31,150
11:10,5.31,5.31,5.31,5.31,240
11:15,5.31,5.31,5.31,5.31,333
11:20,5.33,5.33,5.33,5.33,250
11:25,5.38,5.38,5.31,5.31,537
11:27,5.4169,5.4169,5.4169,5.4169,104
11:30,5.47,5.4899,5.47,5.4899,2180
11:32,5.4842,5.49,5.4842,5.49,603
11:35,5.3301,5.3301,5.33,5.33,2719
11:39,5.41,5.41,5.41,5.41,102
