time,open,high,low,close,volume
09:33,4.4388,4.625,4.4388,4.6,1700
09:34,4.625,4.625,4.625,4.625,400
09:36,4.4388,4.5696,4.24,4.45,1600
10:09,4.3196,4.3196,4.3196,4.3196,1000
10:40,4.5,4.5,4.5,4.5,115
10:45,4.3305,4.3305,4.3305,4.3305,175
11:44,4.355,4.355,4.355,4.355,130
11:48,4.37,4.37,4.26,4.26,1160
11:49,4.2947,4.34,4.26,4.34,2557
11:52,4.3779,4.3779,4.25,4.25,2122
13:09,4.15,4.25,4.01,4.01,900
13:20,4.15,4.15,4.15,4.15,103
13:21,4.15,4.15,4.15,4.15,113
13:53,4.075,4.1,4.075,4.1,8869
14:20,4.24,4.24,4.23,4.23,401
14:45,4.06,4.06,4.06,4.06,100
15:01,4.15,4.15,4.15,4.15,100
15:02,4.2499,4.2499,4.2499,4.2499,333
15:48,4.18,4.18,4.18,4.18,100
09:30,4.21,4.21,4.21,4.21,123
09:36,4.05,4.05,4.01,4.03,2361
09:38,3.93,3.93,3.93,3.93,1059
09:48,4.09,4.09,4.09,4.09,1000
09:49,3.97,3.97,3.97,3.97,1050
09:52,3.97,3.97,3.97,3.97,1000
09:53,3.9355,3.9355,3.9355,3.9355,1000
09:58,3.93,3.9811,3.9008,3.9008,1340
09:59,3.9,3.9,3.9,3.9,399
10:00,3.86,3.86,3.8,3.8,2427
10:02,3.6993,3.6993,3.6993,3.6993,100
10:03,3.629,3.629,3.629,3.629,100
10:07,3.72,3.86,3.72,3.86,310
10:23,3.8583,3.8583,3.8583,3.8583,4000
10:29,3.7821,3.7821,3.7821,3.7821,2000
10:46,3.6901,3.6901,3.6901,3.6901,573
10:50,3.6901,3.6901,3.6901,3.6901,101
10:59,3.8108,3.8108,3.8108,3.8108,100
11:01,3.7699,3.7699,3.7699,3.7699,1000
11:05,3.7606,3.7606,3.7,3.7,2579
11:06,3.69,3.6901,3.69,3.6901,1264
11:07,3.7,3.7,3.7,3.7,204
11:25,3.754,3.754,3.754,3.754,300
11:28,3.75,3.75,3.5,3.5,2925
11:29,3.51,3.51,3.5,3.5,420
11:30,3.699,3.7,3.699,3.7,3059
11:32,3.695,3.695,3.695,3.695,303
11:38,3.65,3.65,3.65,3.65,1300
11:43,3.73,3.73,3.73,3.73,300
11:45,3.6,3.6,3.6,3.6,200
11:58,3.72,3.72,3.72,3.72,200
12:00,3.75,3.75,3.75,3.75,600
12:03,3.7001,3.7001,3.7001,3.7001,400
12:23,3.8,3.8,3.8,3.8,204
12:34,3.88,3.88,3.88,3.88,101
15:10,3.8,3.8,3.75,3.8,646
15:23,3.7987,3.7987,3.7987,3.7987,100
15:28,3.86,3.86,3.86,3.86,200
