time,open,high,low,close,volume
09:30,1.02,1.02,1.02,1.02,3035
09:44,0.999,0.999,0.999,0.999,1000
09:48,0.96,0.96,0.96,0.96,1301
09:54,1,1,1,1,200
09:56,0.9835,0.9835,0.9835,0.9835,100
10:13,0.9601,0.9601,0.9601,0.9601,110
10:18,1,1,1,1,400
10:27,0.9924,0.9924,0.9612,0.9612,5140
10:29,0.9788,0.9788,0.9788,0.9788,1275
11:33,0.9612,0.9612,0.9612,0.9612,598
11:34,0.96,0.96,0.96,0.96,754
11:42,0.96,0.96,0.96,0.96,367
11:48,0.9632,0.9632,0.9632,0.9632,127
12:18,0.96,0.96,0.96,0.96,167
12:26,0.9632,0.9632,0.9632,0.9632,1713
13:03,0.96,0.96,0.96,0.96,200
13:06,0.96,0.96,0.96,0.96,100
13:09,0.96,0.96,0.96,0.96,200
13:22,0.9562,0.9562,0.95,0.9562,3000
13:41,0.9524,0.9562,0.95,0.9524,1000
13:53,0.95,0.95,0.95,0.95,200
14:02,0.95,0.95,0.95,0.95,100
14:04,0.95,0.95,0.95,0.95,100
14:10,0.96,0.96,0.96,0.96,100
14:11,0.9515,0.9515,0.9515,0.9515,700
14:12,0.9515,0.9515,0.95,0.95,335
14:20,0.9515,0.9515,0.9515,0.9515,100
14:22,0.9515,0.9515,0.9515,0.9515,100
14:26,0.9515,0.9515,0.9515,0.9515,100
14:29,0.9515,0.9515,0.9515,0.9515,100
14:33,0.9515,0.9515,0.9515,0.9515,100
14:37,0.9515,0.9515,0.9515,0.9515,100
14:40,0.9515,0.9515,0.9515,0.9515,101
14:42,0.945,0.945,0.9413,0.9413,600
14:43,0.94,0.94,0.94,0.94,145
14:44,0.96,0.96,0.96,0.96,500
15:01,0.98,0.98,0.98,0.98,6026
15:02,0.9912,1.01,0.99,1.01,9282
15:03,1.05,1.06,1.05,1.06,6393
15:05,1.065,1.065,1.065,1.065,248
15:07,1.0763,1.0781,1.07,1.0781,2111
15:08,1.0655,1.0668,1.0655,1.0668,1659
15:09,1.07,1.0899,1.07,1.085,8974
15:11,1.07,1.07,1.07,1.07,102
15:13,1.0544,1.0544,1.05,1.05,500
15:14,1.06,1.065,1.06,1.065,1478
15:15,1.0668,1.0668,1.0668,1.0668,1200
15:16,1.07,1.07,1.07,1.07,490
15:22,1.0899,1.1222,1.08,1.1222,9856
15:23,1.0939,1.0939,1.09,1.09,821
15:30,1.11,1.11,1.11,1.11,2293
15:34,1.11,1.11,1.11,1.11,5107
15:35,1.11,1.1299,1.11,1.1299,13363
15:36,1.1299,1.15,1.1212,1.1427,21785
15:38,1.15,1.15,1.15,1.15,410
15:39,1.14,1.14,1.13,1.13,533
15:40,1.14,1.14,1.13,1.13,3101
15:41,1.14,1.1489,1.14,1.1489,3279
15:42,1.15,1.15,1.1427,1.1427,7360
15:43,1.16,1.17,1.1599,1.1699,980
15:44,1.19,1.2,1.19,1.2,249
15:45,1.19,1.19,1.19,1.19,100
15:46,1.2,1.2,1.2,1.2,324
15:47,1.2,1.2,1.2,1.2,700
15:48,1.2,1.21,1.2,1.2,17861
15:49,1.2065,1.2065,1.2065,1.2065,1119
15:50,1.205,1.205,1.16,1.16,23957
15:51,1.16,1.16,1.16,1.16,1078
15:52,1.1591,1.16,1.1585,1.1585,973
15:55,1.1509,1.1509,1.14,1.14,1682
15:56,1.14,1.14,1.14,1.14,244
15:57,1.13,1.13,1.13,1.13,2199
15:58,1.13,1.13,1.1134,1.12,1550
15:59,1.115,1.115,1.11,1.115,631
16:00,1.11,1.11,1.11,1.11,100
