time,open,high,low,close,volume
09:30,4.59,4.68,4.34,4.39,70974
09:31,4.5908,4.5908,4.4,4.4,9928
09:32,4.36,4.6099,4.31,4.4104,33029
09:33,4.5971,4.5971,4.24,4.31,19664
09:34,4.43,4.5,4.2,4.25,16065
09:35,4.247,4.25,4.1406,4.183,10292
09:36,4.225,4.5,4.225,4.475,10049
09:37,4.36,4.5,4.22,4.36,6155
09:38,4.43,4.43,4.3,4.37,5404
09:39,4.37,4.48,4.35,4.4638,11072
09:40,4.405,4.4499,4.3943,4.4499,3018
09:41,4.36,4.405,4.25,4.2992,8324
09:42,4.33,4.33,4.3,4.3,656
09:43,4.3,4.3,4.3,4.3,2023
09:44,4.31,4.31,4.15,4.15,19465
09:45,4.1564,4.21,3.95,3.95,30092
09:46,3.99,4.14,3.99,4.099,3742
09:47,4.0717,4.1984,4.054,4.0901,8196
09:48,4.0677,4.1627,4.05,4.05,2808
09:49,4.05,4.19,4.05,4.0651,1687
09:50,4.19,4.2735,4.1,4.1,5059
09:51,4.0801,4.29,4.0801,4.24,2087
09:52,4.2381,4.2381,4.1799,4.1799,3314
09:53,4.15,4.2463,4.15,4.1501,7936
09:54,4.1547,4.2406,4.1547,4.2,4253
09:55,4.208,4.21,4.18,4.2,2660
09:56,4.1844,4.2069,4.1588,4.19,1750
09:57,4.1501,4.25,4.1501,4.1683,6350
09:58,4.225,4.225,4.1727,4.22,1533
09:59,4.2812,4.2812,4.21,4.235,6661
10:00,4.26,4.2895,4.23,4.2786,2507
10:01,4.29,4.35,4.2069,4.2874,2991
10:02,4.315,4.35,4.315,4.35,1559
10:03,4.3235,4.4,4.31,4.3888,3199
10:04,4.38,4.4,4.26,4.26,7682
10:05,4.27,4.28,4.27,4.28,681
10:06,4.3,4.3,4.26,4.2614,1006
10:07,4.26,4.3211,4.26,4.3211,813
10:08,4.31,4.32,4.15,4.15,8989
10:09,4.1518,4.2922,4.1518,4.235,1494
10:10,4.22,4.32,4.22,4.32,10053
10:11,4.15,4.23,4.15,4.23,965
10:12,4.25,4.2524,4.21,4.25,1994
10:13,4.2127,4.23,4.185,4.185,3820
10:14,4.16,4.195,4.16,4.195,1422
10:15,4.15,4.16,4.15,4.16,4829
10:16,4.1519,4.24,4.15,4.1501,3143
10:17,4.1528,4.195,4.15,4.195,1924
10:18,4.1509,4.18,4.15,4.16,3612
10:19,4.157,4.157,4.157,4.157,352
10:20,4.1509,4.2399,4.1509,4.2399,3782
10:22,4.195,4.23,4.195,4.23,600
10:23,4.24,4.24,4.195,4.195,477
10:24,4.23,4.23,4.23,4.23,471
10:25,4.2495,4.28,4.2495,4.28,1709
10:26,4.25,4.25,4.25,4.25,272
10:27,4.2001,4.2999,4.2001,4.2999,2517
10:28,4.25,4.33,4.25,4.3,3900
10:29,4.3,4.35,4.3,4.35,380
10:30,4.38,4.4,4.35,4.3985,8386
10:31,4.325,4.35,4.3122,4.3122,912
10:32,4.3583,4.4,4.325,4.4,1980
10:33,4.393,4.43,4.3071,4.4,6235
10:34,4.3919,4.4,4.35,4.4,1523
10:35,4.45,4.45,4.3828,4.3828,2414
10:36,4.3834,4.418,4.38,4.38,6819
10:37,4.38,4.39,4.3288,4.365,1552
10:38,4.39,4.395,4.3411,4.36,2286
10:39,4.4,4.41,4.35,4.35,3079
10:40,4.449,4.449,4.449,4.449,399
10:41,4.3501,4.49,4.3501,4.49,12952
10:42,4.4847,4.4847,4.455,4.455,1251
10:43,4.475,4.505,4.46,4.505,4366
10:44,4.49,4.5142,4.4694,4.5142,2952
10:45,4.52,4.52,4.37,4.47,5941
10:47,4.46,4.46,4.37,4.3703,3522
10:48,4.4526,4.4586,4.42,4.4586,4793
10:49,4.4176,4.46,4.38,4.4153,4955
10:50,4.37,4.4199,4.37,4.4099,1254
10:51,4.3829,4.42,4.3829,4.4189,3903
10:52,4.38,4.3989,4.35,4.3961,3210
10:53,4.37,4.37,4.37,4.37,104
10:54,4.37,4.38,4.37,4.38,1132
10:55,4.34,4.3814,4.34,4.3401,4155
10:56,4.365,4.37,4.35,4.37,1623
