time,open,high,low,close,volume
09:30,5.88,5.88,5.88,5.88,1088
09:38,5.955,5.955,5.955,5.955,500
09:44,5.7275,5.7275,5.7275,5.7275,1000
09:45,5.62,5.62,5.61,5.61,371
10:13,5.655,5.655,5.655,5.655,407
10:23,5.66,5.66,5.66,5.66,1664
10:24,5.615,5.615,5.615,5.615,1004
10:38,5.5127,5.5127,5.5127,5.5127,500
10:39,5.52,5.635,5.5,5.635,1655
10:42,5.6079,5.6079,5.5,5.6032,2600
10:48,5.56,5.56,5.56,5.56,408
11:08,5.5,5.5,5.5,5.5,500
11:48,5.36,5.36,5.31,5.31,701
11:49,5.3,5.3,5.3,5.3,693
11:54,5.14,5.14,5.14,5.14,176
11:55,5.26,5.26,5.26,5.26,302
12:11,5.156,5.156,5.156,5.156,340
12:20,5.2112,5.2112,5.2112,5.2112,500
12:23,5.2,5.2,5.2,5.2,380
12:28,5.12,5.12,5.1,5.1,1910
12:29,5.02,5.02,5.02,5.02,100
12:35,5.05,5.05,5.05,5.05,500
12:36,5.05,5.05,5.05,5.05,100
12:37,5.09,5.1,5.09,5.1,211
12:40,5.01,5.01,5.01,5.01,580
12:42,5.01,5.01,5,5,755
12:47,4.99,5.02,4.88,4.88,2488
12:48,5.0206,5.0206,5.0206,5.0206,117
12:51,4.905,4.98,4.72,4.72,1066
12:54,4.96,4.96,4.77,4.77,1000
12:56,4.7632,4.7632,4.7632,4.7632,1121
13:04,4.77,4.77,4.7699,4.7699,2014
13:18,4.82,4.82,4.82,4.82,150
13:35,4.92,4.92,4.92,4.92,500
13:46,4.8645,4.8645,4.8645,4.8645,111
13:55,4.92,4.92,4.92,4.92,900
13:57,5.1275,5.1275,5.1275,5.1275,500
14:09,5,5,5,5,822
14:10,5,5,5,5,456
14:13,4.87,4.87,4.87,4.87,196
14:48,5.0486,5.0486,4.87,4.87,1598
15:05,4.88,4.88,4.88,4.88,150
15:51,4.9531,4.9531,4.9531,4.9531,501
15:55,4.965,4.965,4.965,4.965,182
15:57,4.92,4.92,4.92,4.92,312
15:59,4.92,4.92,4.92,4.92,189
