time,open,high,low,close,volume
09:30,1.48,1.48,1.4504,1.4799,5921
09:31,1.41,1.41,1.41,1.41,1000
09:32,1.49,1.49,1.4495,1.49,1139
09:34,1.4957,1.4957,1.4957,1.4957,568
09:42,1.4,1.4002,1.4,1.4002,2660
09:44,1.4001,1.4092,1.4001,1.4092,2000
09:46,1.4242,1.4242,1.34,1.4001,3040
09:47,1.35,1.35,1.34,1.3401,1489
10:08,1.42,1.42,1.42,1.42,100
10:10,1.4,1.4,1.4,1.4,200
10:25,1.4499,1.4499,1.4499,1.4499,600
10:34,1.393,1.393,1.35,1.35,1500
10:48,1.35,1.3865,1.35,1.3865,4900
11:14,1.41,1.43,1.41,1.43,469
11:25,1.36,1.36,1.36,1.36,100
11:54,1.35,1.35,1.35,1.35,100
12:29,1.35,1.35,1.35,1.35,100
13:52,1.34,1.34,1.34,1.34,100
14:07,1.34,1.34,1.3,1.3011,8000
14:51,1.31,1.31,1.31,1.31,150
15:35,1.32,1.32,1.32,1.32,100
15:51,1.3521,1.3521,1.3521,1.3521,123
15:55,1.32,1.32,1.32,1.32,100
